udtryk_id	talemaade_udtryk	ddo_definition
59003482	ikke være nogens kop te	ikke være noget eller nogen som nogen bryder sig om eller er interesseret i
59005163	det ene ord tager det andet	bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed
59007132	være høj i hatten	være overlegen eller arrogant; føle sig betydningsfuld
59000987	feje ind under gulvtæppet	skjule, hemmeligholde; ignorere, fortrænge
59006007	nissen flytter med	selvskabte problemer forfølger én hvis man blot flygter fra dem i stedet for at finde deres egentlige årsag
59011613	være ved sine sansers fulde brug	være i stand til at tænke klart; være tilregnelig
59005763	kæmpe mod vindmøller	kæmpe forgæves; kæmpe mod indbildte fjender eller vanskeligheder
59002352	have spidse albuer	hævde sig på andres bekostning
59002370	kaste med mudder	tale nedsættende og fornærmende om eller til nogen
59011203	for fulde gardiner	for fuld kraft; uden hæmninger eller begrænsninger
59012880	religion er opium for folket	religion er skadelig fordi den giver folket en falsk følelse af tilfredshed og hindrer sand erkendelse
59002257	én fugl i hånden er bedre end ti på taget	de (få) ting man ejer eller har opnået, har større værdi end de (mange) ting som man tror man kan få
59005274	med arme og ben	af al magt; uhæmmet
59000892	have ryggen mod muren	være i en ubehagelig eller trængt situation som det er svært at komme ud af
59005355	have alle trumfer på hånden	have meget gode chancer; være i en meget fordelagtig situation
59009665	det er en dårlig fugl der skider i sin egen rede	man skal ikke skade eller tale nedsættende om sin egen familie eller det miljø man selv tilhører eller kommer fra
59012622	med lodder og trisser	med (lidt held og) hvad man kan finde på af hjælpemidler; på bedst mulige, men ikke altid helt vellykkede måde; med kniberi
59002217	man kan ikke klippe håret af en skaldet	man kan ikke tage noget, fx penge, fra én der ingenting har
59012915	flyde med mælk og honning	være præget af overflod, rigdom eller frugtbarhed
59005551	kigge for dybt i flasken	indtage større mængder af alkoholiske drikke
59004465	stå på gloende pæle	være i en tilstand præget af forvirring, ophidselse, travlhed eller hektisk aktivitet
59006569	belåne til op over skorstenen	belåne en bygning eller anden fast ejendom helt op til eller over dens værdi
59003915	der går tretten på dusinet af noget	noget adskiller sig ikke fra mængden, er uden særlige kvaliteter, eller lignende
59001159	på sine grædende knæ	med tilkendegivelse af al tænkelig ydmyghed; meget indtrængende
59000466	køre med klatten	være suveræn til noget; brillere
59003907	græsset er altid grønnere i naboens have	det som andre har, opfatter man (altid) som bedre end det man selv har
59012368	behandle nogen som et råddent æg	omgås en person på en meget diplomatisk og forsigtig måde fordi vedkommende er meget nærtagende og besværlig
59012103	kigge nogen i kortene	aflure nogen deres hensigter eller fremgangsmåde
59007635	være i ilden	være på en hård prøve; være i centrum for nærgående opmærksomhed
59004421	have brød i ovnen	være gravid; vente barn
59012105	den åbne dørs politik	internationalt politisk princip om at lade flere stater i et bestemt område have lige vilkår mht. handel og skibsfart
59010596	i den kolde sne	i en tilstand af udelukkelse og forladthed
59011733	og så er den potte ude	og så er der ikke yderligere forhold at tage i betragtning; og så er den sag afgjort
59004506	man kan ikke lære en gammel hund nye kunster	en (ældre) person med indgroede vaner har svært ved at omstille sig og lære nyt
59009737	ikke kunne huske fra næse til mund	have en meget dårlig hukommelse
59009055	et ord er et ord	det man med ord har lovet, er man forpligtet til at holde
59002120	kende sine lus på travet	af erfaring være klar over hvem man har med at gøre, eller hvordan noget hænger sammen
59004178	lægge sin klamme hånd på noget	bemægtige sig noget, fx penge; få magten over noget
59005075	tampen brænder	man er tæt ved at nå til en erkendelse
59008080	holde på den forkerte hest	tage et parti eller træffe et valg som man senere fortryder
59008512	en streg i luften	en meget tynd person
59000491	bide i græsset	lide nederlag; give op; give efter
59010303	gammel kærlighed ruster ikke	én gang opstået kærlighed forgår ikke på trods af adskillelse eller tidens gang
59000613	gå til de evige jagtmarker	dø
59007610	komme på slagtebænken	blive ødelagt, nedlagt, opsplittet, hængt ud i pressen eller lignende
59003706	være solgt til stanglakrids	være ekstremt fascineret af eller forelsket i
59002221	eneste hane i kurven	eneste hankønsvæsen i en gruppe eller forsamling
59004431	koste blod, sved og tårer	(kræve) stor anstrengelse og offervilje
59010840	rive nogen noget i næsen	lade nogen høre for noget; kritisere nogen for noget
59005524	når solen går ned i en sæk, står den op i en bæk	når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag
59004702	noget er ikke det papir værd det er skrevet på	noget er (næsten) værdiløst, indholdsløst, ubrugeligt eller lignende
59002041	få en på frakken	få tæv
59011970	tale samme sprog	have fælles opfattelse af en sag, hvilket gør det lettere at samarbejde og nå til enighed i sagen
59011207	spille på hele klaviaturet	udnytte alsidige evner og muligheder
59002775	hvem har tisset på din sukkermad	hvorfor er du sur; er der nogen der har fornærmet dig
59009337	have det som blommen i et æg	leve trygt og godt
59007645	stå med det ene ben i graven	være nær ved at dø
59006493	munden står ikke stille på nogen	nogen snakker hele tiden
59005166	lægge et godt ord ind for nogen	omtale en person eller sag positivt for at yde støtte
59009245	gøre rent bord	bringe orden i tingene så man kan begynde på en frisk
59003279	der er ingen smalle steder	der er rigeligt, og der bliver ikke sparet på noget
59002231	gå på akkord	slække på sine ønsker, krav eller principper
59006734	være vaccineret med en grammofonstift	være tilbøjelig til at snakke for meget
59010251	dansen om guldkalven	den overdrevne tilbedelse af eller stræben efter rigdom
59011841	der falder en sten fra éns hjerte	man bliver fri for en sorg eller bekymring; man bliver lettet
59004060	gå ud som et lys	pludselig miste bevidstheden
59008561	krybe langs panelerne	opføre sig meget tilbageholdende, fx af generthed eller skamfuldhed
59002771	tabe både næse og mund	blive meget forbavset eller benovet over noget
59005618	ligge lige til højrebenet	være en indlysende og nærliggende mulighed
59006854	gaven der bliver ved med at give	bruges som udtryk for noget der ikke kun har en positiv effekt én gang, men fortsætter med at give udbytte
59007075	tage pungen frem	(modvilligt) betale et stort beløb
59003618	træde i karakter	blive synlig; vise sin personlighed for omverdenen
59003703	villa, Volvo og vovhund	bruges som symbol på det etablerede og trygge, lidt kedelige liv med fast arbejde og statussymboler
59003281	kæden er hoppet af	et forløb, et foretagende eller lignende er gået i stå eller har udviklet sig uheldigt
59005321	døden skal have en årsag	bruges for at udtrykke en almenmenneskelig tendens til at fremhæve én simpel og afgrænset årsagssammenhæng som forklaring på noget
59009018	der ryger en finke af panden	nogen kommer til at sige eller gøre noget dumt, især af tankeløshed
59010403	have fingeren på pulsen	være orienteret om den aktuelle udvikling på et bestemt (fagligt) område eller i samfundslivet
59006268	få enden på komedie	få en endefuld; få prygl
59004059	skriften på væggen	sikre tegn på en uundgåelig og som regel ugunstig eller farlig udvikling
59004175	fiske i rørte vande	prøve at drage fordel af en situation hvor der er uro eller forvirring, eller hvor nogen er uenige
59001861	bide sig fast	blive en fast bestanddel af noget; fastholde en erobret position
59004083	slå to fluer med ét smæk	opnå to mål eller fordele med en enkelt handling
59011749	stå malet i ansigtet på nogen	fremgå klart af nogens ansigtsudtryk
59001962	noget kan blive både en dreng og en pige	et udfald er forbundet med samme usikkerhed som kønnet på et endnu ufødt barn, dvs. er ikke til at forudsige
59003445	vride bananen	tisse
59005550	ikke lægge fingrene imellem	ikke være skånsom eller tilbageholdende, men direkte i ord eller handling
59012614	åbne sit hjerte	betro sig
59002252	gå rundt med noget i maven	have (skjulte) ambitioner eller drømme om at blive noget bestemt
59001162	helt ude i skoven	uden fornuft, mening eller forbindelse med virkeligheden; helt gal
59000854	klæder skaber folk	man vurderer folk (bl.a.) ud fra deres påklædning
59003651	op ad bakke	forbundet med modgang eller vanskeligheder der skal overvindes for at opnå et resultat
59005734	tage hatten af for	udtrykke respekt eller beundring for
59007201	Lars Tyndskids mark	sted langt ude på landet
59010069	går den, så går den	man kan lige så godt prøve at udføre en ofte dristig, mistænkelig eller ufin handling, for hvis det lykkes, er det godt, og lykkes det ikke, er der sikkert ikke tabt noget ved det
59002936	højt at flyve, dybt at falde	jo større ambitioner eller succes man har, desto mere risikerer man at miste
59001196	gøre sine hoser grønne	indsmigre sig; forsøge at få succes hos nogen
59005669	gassen går af ballonen	en begivenhed eller et fænomen bliver mindre spændende; nogen mister handlekraften eller interessen
59004513	køre kanonerne i stilling	gøre klar til en aktion eller vanskelig forhandling for at fremme egne interesser eller angribe andres
59005304	en pose blandede bolsjer	helhed bestående af indbyrdes meget forskelligartede elementer
59007154	der må være en blonde	der er grænser for hvad man kan tillade sig
59009895	gå op og ned som kong Volmers røv	bruges om noget der er ujævnt, eller om et stykke arbejde der er dårligt udført
59007399	have det hele i munden	kun snakke om noget i stedet for at handle
59000761	skomager, bliv ved din læst	bruges for at minde om at man bør nøjes med at beskæftige sig med de ting som man har kvalifikationer til
59001748	væggene har ører	man skal være forsigtig når man siger noget fortroligt, for der er måske uvedkommende der lytter
59000606	vende tingene på hovedet	se på tingene på en ny måde; gøre noget anderledes end sædvanligt
59008562	ville give sin højre arm for noget	være parat til at bringe et meget stort offer for at opnå noget; brændende ønske sig noget
59009658	brænde sit lys i begge ender	arbejde med for mange ting samtidig; slide sig op
59002318	vække den slumrende løve	fremkalde vrede hos en ellers fredsommelig person
59011009	kæmpe mod vejrmøller	kæmpe forgæves; kæmpe mod indbildte fjender eller vanskeligheder
59009273	høre en knappenål falde til jorden	bruges som udtryk for at der er meget stille
59011316	strø sand på	bringe en (ubehagelig) sag til afslutning eller ud af verden; undlade at gøre mere ved det
59001398	nogens eget kød og blod	nogens (egen) blodsbeslægtede familie
59008503	de ti bud	samling påbud, regler, forslag, løfter, ideer eller lignende med tilsigtet gennemslagskraft som om de kom fra en højere magt
59002774	vende på en tallerken	vende rundt på meget begrænset plads; behøve meget lidt plads for at kunne manøvrere
59011047	være tredje hjul på vognen	være overflødig eller generende, fx i forbindelse med et kærlighedsforhold
59009656	være på tynd is	være i en situation hvor éns argumenter er utilstrækkelige eller uholdbare; være i en situation som man har svært ved at magte
59006163	kunne mere end sit fadervor	kunne noget andet og mere end man umiddelbart skulle forvente
59005328	få noget på halsen	blive udsat for eller udsætte nogen for problemer eller besværligheder
59007127	stikke piben ind	blive mere forsigtig og tilbageholdende; (begynde at) holde lav profil
59009125	grave et par spadestik dybere	være mere grundig; undersøge nærmere
59004232	komme gennem kødhakkeren	blive udsat for en grov behandling eller gennemgribende forandring
59004949	man skal ikke sælge skindet før bjørnen er skudt	man skal ikke bygge noget på forventninger eller usikre formodninger
59004576	hvis man kan være en karl om natten, kan man også være en karl om dagen	hvis man vil more sig (om natten), må man tage konsekvensen og opføre sig ansvarligt (næste dag)
59007349	så du røgen	bruges som kommentar hvis noget ikke er blevet til noget, eller nogen ikke har fået opfyldt sine forventninger
59005016	ikke tro nogen over en dørtærskel	overhovedet ikke tro på hvad nogen siger
59001059	vide hvordan kagen skal skæres	vide hvordan et problem løses, eller hvordan noget gøres på den rigtige måde, fx hvordan samfundsgoder eller løn fordeles mest retfærdigt
59007573	hvor der er hjerterum, er der husrum	gæstfrihed hører til almindelig venlighed; gode mennesker trives, selv hvor pladsen er trang
59004833	det er lettere for en kamel at komme igennem et nåleøje end for en rig at komme ind i Guds rige	bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier
59007485	slå fast med syvtommersøm	konstatere som en ubestridelig kendsgerning
59011369	skrive sig noget bag øret	lægge mærke til og huske på
59007109	den der ager med stude, kommer også frem	selv den der arbejder i et langsomt tempo, når sit mål
59005990	sætte nogens pis i kog	hidse nogen op; gøre nogen vred
59003278	dele sol og vind lige	være retfærdig; tilgodese alle parter i en sag
59000421	fyre godt op under kedlerne	forberede sig på eller yde en krævende eller voldsom præstation
59010021	målet helliger midlet	et godt formål berettiger brugen af mindre fine midler
59004453	være femte hjul på vognen	være malplaceret; være tilovers eller til besvær
59005977	være helt ude i tovene	være i en meget vanskelig situation som påvirker én psykisk
59004979	der er ugler i mosen	der er noget galt; der foregår noget fordækt eller foreligger en skjult fare eller vanskelighed
59002765	falde på et tørt sted	være meget tiltrængt og velkommen
59003384	kysten er klar	der er ingen hindringer i vejen for at påbegynde en bestemt aktivitet
59005436	der gror ikke mos på en rullesten	personer der lever et aktivt og energisk liv, sygner ikke hen (mentalt)
59009101	ind til benet	til det centrale eller væsentlige af noget
59000739	ligeud ad landevejen	uden omsvøb; ukompliceret og ligetil
59012441	skruen uden ende	selvforstærkende uheldig situation som man ikke umiddelbart kan komme ud af
59006046	der går inflation i noget	noget forringes eller mister prestige fordi det bliver lettere tilgængeligt eller mere udbredt
59005647	forsvarsparaderne er oppe	nogen er i en trængt og presset situation hvor vedkommende vil forsvare en holdning eller et synspunkt
59005145	have store tanker om	værdsætte, beundre eller have store forventninger til
59001266	med pistolen for brystet	i en situation hvor man er presset til at gøre noget, ofte under trusler eller med udsigt til et ubehageligt alternativ
59008534	få en spand koldt vand i hovedet	uventet blive afvist; komme ud for en stor skuffelse
59012815	splitte mine bramsejl	bruges som mildt kraftudtryk for at understrege overraskelse, forskrækkelse, fortørnelse eller lignende
59006057	nye koste fejer bedst	nyt er altid bedre end gammelt blot fordi det er nyt
59007598	der skal to til tango	en fælles aktivitet kræver indsats fra begge parter
59001416	store ord og fedt flæsk	tom snak eller tomme løfter
59000333	tilbage til rødderne	tilbage til en oprindelig tilstand eller situation; tilbage til de (gode og enkle) egenskaber som noget oprindeligt havde
59006318	lyse i kuld og køn	anerkende officielt
59012779	spille kong Gulerod	opføre sig på en indbildsk, overlegen eller arrogant måde
59011985	lægge billet ind på noget	vise aktiv interesse for (at opnå) noget
59002694	fra asken og i ilden	fra en ubehagelig eller uønsket situation til én der er endnu værre
59005574	har man sagt A, må man også sige B	er man først begyndt på noget, bør man også fuldføre det
59010838	skønne, spildte kræfter	kræfter der energisk og måske selvopofrende er sat ind på en opgave, men senere viser sig at være anvendt forgæves
59006752	ål i strømperne	folder i strømper der er gledet ned ad benet
59003699	ligge med næsen i vejret	være død og begravet
59006416	have knive i ærmerne	vente på en lejlighed til at foretage et (uventet) angreb
59009303	give bolden op	sætte bolden i spil, ved spillets begyndelse eller efter en scoring
59012565	man kan stille uret efter ham	han er yderst præcis
59012899	vaske sine hænder	fralægge sig ansvaret i en ubehagelig sag
59009096	få fingrene i fedtefadet	rode sig ud i en vanskelig, ubehagelig eller tvivlsom situation
59012998	til punkt og prikke	meget præcist eller omhyggeligt; fuldstændig
59013221	det løber nogen koldt ned ad ryggen	nogen får kuldegysninger pga. stærkt ubehag, angst, bange forudanelser eller lignende
59000608	alle gode gange tre	efter to mislykkede forsøg lykkes det (forhåbentlig) tredje gang
59009731	læsse noget over på nogen	bebyrde nogen med noget, fx arbejdsopgaver eller bekymringer
59006834	bide nogen i haserne	komme lige efter nogen; være meget tæt på nogen; presse nogen
59003954	dagens mand i skysovs	person som (for en dag) hyldes som en helt pga. en særlig bedrift
59000188	det er her det sner	det er her de vigtige eller spændende ting foregår
59004447	tungen på vægtskålen	den afgørende stemme ved en afstemning eller lignende
59012895	smage sin egen medicin	blive udsat for en ubehagelig behandling svarende til den man udsætter andre for
59003893	sætte i et dårligt lys	omtale negativt; give et dårligt ry
59004956	tage hul på noget	begynde på at gøre noget
59007362	køre af sporet	udvikle sig (ukontrolleret) i en forkert retning; komme i uføre
59004159	rene ord for pengene	udtalelse der ikke kan misforstås
59012786	is i maven	ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning
59005120	trække noget op af hatten	(på en let og ubesværet måde) bringe noget frem eller præsentere det som noget nyt og overraskende i fx en debat eller en anden sammenhæng
59012759	hvad man ikke ved, har man ikke ondt af	det er ofte bedre at leve i uvidenhed end at kende den ubehagelige sandhed
59001220	ikke lade solen gå ned over sin vrede	glemme eller tilgive noget man er blevet vred over
59002869	ikke den skarpeste kniv i skuffen	ikke særlig god, klog eller dygtig
59003059	skyde sig selv i foden	ved en bevidst handling komme til at skade sig selv
59003975	våd som en druknet mus	meget våd; gennemblødt
59012621	ikke større end tobak for en skilling	meget lille af vækst eller størrelse
59013075	rage kastanjerne ud af ilden	hjælpe sig selv eller en anden ud af en ubehagelig eller vanskelig situation
59003294	have kniven på struben	være presset til at gøre noget, fx under trusler eller med udsigt til et ubehageligt alternativ
59008446	født med en guldske i munden	født i en velhavende familie
59011822	det må briste eller bære	det må prøves uanset hvordan resultatet bliver
59004113	stikke spaden i jorden	påbegynde et (stort) bygge- eller anlægsarbejde
59012928	stå med håret ned ad nakken	stå modløs og skuffet tilbage; være blevet svigtet eller narret
59013188	uden for lands lov og ret	i et øde område fjernt fra større byer
59004515	ligge og lure i vandskorpen	være nært forestående eller snart bryde løs uden at ret mange venter det
59009812	den ene tjeneste er den anden værd	hvis man gør andre en tjeneste, kan man forvente at de gør gengæld en anden gang
59000593	gå hele vejen	føre en tanke, idé eller aktivitet ud i sin yderste konsekvens
59011764	lige så godt springe som krybe i det	hellere begynde på noget ubehageligt eller vanskeligt straks og få det overstået end udskyde det
59001232	ikke fugls føde	ingenting; intet som helst
59013208	have penge på kistebunden	have en (stor) opsparet sum penge
59012463	trykke på pauseknappen	midlertidigt sætte en udvikling i bero
59001362	bidt af en gal skuespiller	overordentlig begejstret for skuespil
59000960	være på benene	være kommet op at stå; være stået op af sengen
59012395	det kan du tage gift på	bruges for at udtrykke at man er helt sikker i sin sag
59003889	få luft under vingerne	få mulighed for at udfolde sig frit og selvstændigt eller for at opleve noget nyt og spændende
59012918	grave grøfter	skabe splid og uenighed mellem to parter
59008981	ramme hovedet på sømmet	udtrykke præcist; udtrykke det væsentlige
59012227	træde af på naturens vegne	trække sig tilbage for at forrette sin nødtørft
59001071	få noget ud af systemet	slippe af med eller blive fri for en bestemt følelse, tanke, sygdom eller lignende
59009067	ude af øje, ude af sind	det som ikke er synligt eller nærværende, bliver hurtigt glemt
59007606	binde på hænder og fødder	gøre fuldstændig afhængig
59002732	vove det ene øje	risikere noget, fx penge eller troværdighed, ved at gøre eller sige noget bestemt; tage en chance
59004902	der bliver ingen bukser ud af det skind	den idé, den plan, det forslag eller lignende bliver ikke til noget
59004560	for lidt og for meget fordærver alting	man bør ikke overdrive eller gå til yderligheder
59005758	ét spøg, et andet alvor	man bør holde det morsomme og det alvorlige ved en sag adskilt
59004966	ikke ville røre noget med en ildtang	føle væmmelse ved noget; ønske at undgå kontakt eller engagement
59010071	en pæl i kødet	en (medfødt) tilbøjelighed som anses for syndig, men som man ikke kan undslippe
59012525	sætte skibe i søen	være eller gå i gang med flere ting, fx projekter
59008619	få lange arme	blive træt i armene af at bære på noget tungt
59009279	elefanten i rummet	stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om
59002288	det stille vand har den dybe grund	et menneske der ikke siger så meget eller ikke gør sig særlig bemærket, kan følelsesmæssigt eller intellektuelt være rigt udviklet
59003689	føre nogen bag lyset	snyde nogen; lyve for nogen
59003875	man skal høre meget før ørerne falder af	bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende
59008775	lytte på vandrørene	lytte til rygter, sladder og uformel snak og på denne baggrund antage noget bestemt
59000488	købe katten i sækken	blive snydt i en handel ved at købe noget ubeset og derefter opdage at det er ringere end forventet
59005012	tomme tønder buldrer mest	det er ofte de personer som ved mindst eller har mindst betydning, der råber mest op eller gør sig mest gældende
59011611	med skindet på næsen	uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit
59009093	gå op i en spids	udvikle sig i en retning hvor ingen løsning er mulig
