udtryk_id	talemaade_udtryk	korrekt_def	falsk1	falsk2	falsk3
59002217	man kan ikke klippe håret af en skaldet	2	0	3	1
59012915	flyde med mælk og honning	0	3	1	2
59005551	kigge for dybt i flasken	1	3	2	0
59004465	stå på gloende pæle	0	3	2	1
59006569	belåne til op over skorstenen	2	3	0	1
59003915	der går tretten på dusinet af noget	3	0	1	2
59001159	på sine grædende knæ	1	3	2	0
59000466	køre med klatten	1	2	0	3
59003907	græsset er altid grønnere i naboens have	0	2	3	1
59012368	behandle nogen som et råddent æg	1	3	2	0
59012103	kigge nogen i kortene	2	3	1	0
59007635	være i ilden	3	0	1	2
59004421	have brød i ovnen	2	3	0	1
59012105	den åbne dørs politik	0	2	1	3
59010596	i den kolde sne	2	3	0	1
59011733	og så er den potte ude	0	2	1	3
59004506	man kan ikke lære en gammel hund nye kunster	2	0	3	1
59009737	ikke kunne huske fra næse til mund	2	3	1	0
59009055	et ord er et ord	1	0	2	3
59002120	kende sine lus på travet	3	2	1	0
59004178	lægge sin klamme hånd på noget	3	2	1	0
59005075	tampen brænder	0	2	3	1
59008080	holde på den forkerte hest	2	0	3	1
59008512	en streg i luften	1	0	3	2
59000491	bide i græsset	0	2	3	1
59010303	gammel kærlighed ruster ikke	3	0	1	2
59000613	gå til de evige jagtmarker	1	2	3	0
59007610	komme på slagtebænken	3	0	1	2
59003706	være solgt til stanglakrids	1	2	3	0
59002221	eneste hane i kurven	0	1	2	3
59004431	koste blod, sved og tårer	1	2	0	3
59010840	rive nogen noget i næsen	3	0	1	2
59005524	når solen går ned i en sæk, står den op i en bæk	1	3	0	2
59004702	noget er ikke det papir værd det er skrevet på	3	1	0	2
59002041	få en på frakken	2	1	3	0
59011970	tale samme sprog	0	3	1	2
59011207	spille på hele klaviaturet	1	0	2	3
59002775	hvem har tisset på din sukkermad	2	0	1	3
59009337	have det som blommen i et æg	2	1	0	3
59007645	stå med det ene ben i graven	3	1	2	0
59006493	munden står ikke stille på nogen	3	1	0	2
59005166	lægge et godt ord ind for nogen	1	3	2	0
59009245	gøre rent bord	2	1	0	3
59003279	der er ingen smalle steder	2	0	3	1
59002231	gå på akkord	2	1	0	3
59006734	være vaccineret med en grammofonstift	2	0	1	3
59010251	dansen om guldkalven	1	0	3	2
59011841	der falder en sten fra éns hjerte	1	3	2	0
59004060	gå ud som et lys	2	0	1	3
59008561	krybe langs panelerne	1	3	0	2
59002771	tabe både næse og mund	2	3	1	0
59005618	ligge lige til højrebenet	3	1	2	0
59006854	gaven der bliver ved med at give	0	2	1	3
59007075	tage pungen frem	2	0	3	1
59003618	træde i karakter	0	2	3	1
59003703	villa, Volvo og vovhund	1	0	2	3
59003281	kæden er hoppet af	3	2	1	0
59005321	døden skal have en årsag	2	3	1	0
59009018	der ryger en finke af panden	1	2	3	0
59010403	have fingeren på pulsen	0	3	2	1
59006268	få enden på komedie	1	3	0	2
59004059	skriften på væggen	3	2	0	1
59004175	fiske i rørte vande	2	0	3	1
59001861	bide sig fast	1	3	0	2
59004083	slå to fluer med ét smæk	2	0	3	1
59011749	stå malet i ansigtet på nogen	3	2	0	1
59001962	noget kan blive både en dreng og en pige	2	3	1	0
59003445	vride bananen	2	0	1	3
59005550	ikke lægge fingrene imellem	3	2	1	0
59012614	åbne sit hjerte	1	2	0	3
59002252	gå rundt med noget i maven	0	2	3	1
59001162	helt ude i skoven	2	0	1	3
59000854	klæder skaber folk	2	0	3	1
59003651	op ad bakke	1	2	3	0
59005734	tage hatten af for	3	1	2	0
59007201	Lars Tyndskids mark	0	2	1	3
59010069	går den, så går den	0	1	3	2
59002936	højt at flyve, dybt at falde	2	3	0	1
59001196	gøre sine hoser grønne	2	0	1	3
59005669	gassen går af ballonen	0	3	2	1
59004513	køre kanonerne i stilling	3	0	1	2
59005304	en pose blandede bolsjer	2	3	1	0
59007154	der må være en blonde	2	1	3	0
59009895	gå op og ned som kong Volmers røv	2	3	1	0
59007399	have det hele i munden	2	0	3	1
59000761	skomager, bliv ved din læst	3	0	2	1
59001748	væggene har ører	1	3	2	0
59000606	vende tingene på hovedet	0	1	3	2
59008562	ville give sin højre arm for noget	2	0	3	1
59009658	brænde sit lys i begge ender	3	1	2	0
59002318	vække den slumrende løve	0	1	3	2
59011009	kæmpe mod vejrmøller	3	0	2	1
59009273	høre en knappenål falde til jorden	1	3	2	0
59011316	strø sand på	1	3	2	0
59001398	nogens eget kød og blod	0	3	1	2
59008503	de ti bud	3	0	1	2
59002774	vende på en tallerken	1	0	2	3
59011047	være tredje hjul på vognen	3	2	0	1
59009656	være på tynd is	2	0	1	3
59006163	kunne mere end sit fadervor	0	3	2	1
59005328	få noget på halsen	3	0	1	2
59007127	stikke piben ind	1	0	2	3
59009125	grave et par spadestik dybere	0	2	1	3
59004232	komme gennem kødhakkeren	2	0	1	3
59004949	man skal ikke sælge skindet før bjørnen er skudt	1	2	0	3
59004576	hvis man kan være en karl om natten, kan man også være en karl om dagen	2	0	1	3
59007349	så du røgen	1	2	0	3
59005016	ikke tro nogen over en dørtærskel	2	0	1	3
59001059	vide hvordan kagen skal skæres	1	3	2	0
59007573	hvor der er hjerterum, er der husrum	3	2	0	1
59004833	det er lettere for en kamel at komme igennem et nåleøje end for en rig at komme ind i Guds rige	2	0	1	3
59007485	slå fast med syvtommersøm	2	1	0	3
59011369	skrive sig noget bag øret	1	2	0	3
59007109	den der ager med stude, kommer også frem	0	1	2	3
59005990	sætte nogens pis i kog	1	3	0	2
59003278	dele sol og vind lige	1	2	0	3
59000421	fyre godt op under kedlerne	0	3	1	2
59010021	målet helliger midlet	3	1	0	2
59004453	være femte hjul på vognen	0	1	3	2
59005977	være helt ude i tovene	3	2	0	1
59004979	der er ugler i mosen	1	3	0	2
59002765	falde på et tørt sted	2	0	1	3
59003384	kysten er klar	3	2	0	1
59005436	der gror ikke mos på en rullesten	1	0	2	3
59009101	ind til benet	1	3	0	2
59000739	ligeud ad landevejen	3	2	1	0
59012441	skruen uden ende	1	2	0	3
59006046	der går inflation i noget	3	0	1	2
59005647	forsvarsparaderne er oppe	0	2	3	1
59005145	have store tanker om	1	0	3	2
59001266	med pistolen for brystet	1	0	2	3
59008534	få en spand koldt vand i hovedet	3	2	1	0
59012815	splitte mine bramsejl	0	1	3	2
59006057	nye koste fejer bedst	0	2	3	1
59007598	der skal to til tango	2	3	1	0
59001416	store ord og fedt flæsk	3	2	0	1
59000333	tilbage til rødderne	0	2	3	1
59006318	lyse i kuld og køn	0	1	2	3
59012779	spille kong Gulerod	3	2	0	1
59011985	lægge billet ind på noget	2	1	3	0
59002694	fra asken og i ilden	0	3	1	2
59005574	har man sagt A, må man også sige B	3	2	1	0
59010838	skønne, spildte kræfter	2	3	0	1
59006752	ål i strømperne	0	1	2	3
59003699	ligge med næsen i vejret	3	0	1	2
59006416	have knive i ærmerne	2	0	3	1
59009303	give bolden op	1	2	0	3
59012565	man kan stille uret efter ham	3	0	2	1
59012899	vaske sine hænder	2	1	3	0
59009096	få fingrene i fedtefadet	1	0	3	2
59012998	til punkt og prikke	2	3	1	0
59013221	det løber nogen koldt ned ad ryggen	0	2	1	3
59000608	alle gode gange tre	0	3	1	2
59009731	læsse noget over på nogen	2	0	1	3
59006834	bide nogen i haserne	3	2	0	1
59003954	dagens mand i skysovs	1	3	0	2
59000188	det er her det sner	1	3	0	2
59004447	tungen på vægtskålen	1	2	0	3
59012895	smage sin egen medicin	3	1	2	0
59003893	sætte i et dårligt lys	1	2	0	3
59004956	tage hul på noget	1	2	0	3
59007362	køre af sporet	0	2	3	1
59004159	rene ord for pengene	3	2	1	0
59012786	is i maven	3	0	1	2
59005120	trække noget op af hatten	2	0	3	1
59012759	hvad man ikke ved, har man ikke ondt af	2	0	1	3
59001220	ikke lade solen gå ned over sin vrede	3	0	1	2
59002869	ikke den skarpeste kniv i skuffen	2	3	0	1
59003059	skyde sig selv i foden	2	0	1	3
59003975	våd som en druknet mus	3	0	2	1
59012621	ikke større end tobak for en skilling	0	2	3	1
59013075	rage kastanjerne ud af ilden	0	3	1	2
59003294	have kniven på struben	2	3	1	0
59008446	født med en guldske i munden	3	1	2	0
59011822	det må briste eller bære	3	2	1	0
59004113	stikke spaden i jorden	0	1	3	2
59012928	stå med håret ned ad nakken	3	0	1	2
59013188	uden for lands lov og ret	1	0	2	3
59004515	ligge og lure i vandskorpen	0	3	2	1
59009812	den ene tjeneste er den anden værd	2	1	3	0
59000593	gå hele vejen	3	2	0	1
59011764	lige så godt springe som krybe i det	1	0	2	3
59001232	ikke fugls føde	3	2	0	1
59013208	have penge på kistebunden	2	0	3	1
59012463	trykke på pauseknappen	3	0	1	2
59001362	bidt af en gal skuespiller	0	2	1	3
59000960	være på benene	2	0	3	1
59012395	det kan du tage gift på	1	0	2	3
59003889	få luft under vingerne	1	3	2	0
59012918	grave grøfter	1	0	3	2
59008981	ramme hovedet på sømmet	3	0	1	2
59012227	træde af på naturens vegne	2	1	3	0
59001071	få noget ud af systemet	0	2	1	3
59009067	ude af øje, ude af sind	3	2	1	0
59007606	binde på hænder og fødder	0	2	3	1
59002732	vove det ene øje	0	2	3	1
59004902	der bliver ingen bukser ud af det skind	3	2	0	1
59004560	for lidt og for meget fordærver alting	0	3	2	1
59005758	ét spøg, et andet alvor	0	3	2	1
59004966	ikke ville røre noget med en ildtang	1	3	0	2
59010071	en pæl i kødet	1	3	2	0
59012525	sætte skibe i søen	1	3	2	0
59008619	få lange arme	3	0	2	1
59009279	elefanten i rummet	2	1	3	0
59002288	det stille vand har den dybe grund	2	3	0	1
59003689	føre nogen bag lyset	3	0	2	1
59003875	man skal høre meget før ørerne falder af	2	1	3	0
59008775	lytte på vandrørene	2	0	1	3
59000488	købe katten i sækken	2	3	1	0
59005012	tomme tønder buldrer mest	1	0	2	3
59011611	med skindet på næsen	3	0	1	2
59009093	gå op i en spids	2	3	0	1
59007663	der er løbet meget vand gennem åen siden ..	0	3	1	2
59003195	slå til plukfisk	2	3	1	0
59011317	varme nogens ører	3	1	0	2
59008367	få kærligheden at føle	3	1	2	0
59009864	hvor der handles, der spildes	3	0	1	2
59006147	ben i næsen	0	3	2	1
59010071	et plaster på såret	2	0	3	1
59004897	små gryder har også ører	1	3	2	0
59003379	asfaltere mens man kører	2	1	0	3
59005655	være karl for sin hat	3	1	0	2
59011082	som en brækket arm	1	3	0	2
59010217	have et øje på hver finger	0	3	2	1
59000607	hvad hjertet er fuldt af, løber munden over med	1	0	3	2
59009728	koste spidsen af en jetjager	3	1	0	2
59005960	man skal rejse sig ved det træ hvor man er faldet	1	3	0	2
59007370	tabe småkagerne	0	2	1	3
59000604	skille fårene fra bukkene	3	0	1	2
59002210	være på den grønne gren	2	3	0	1
59012243	med omvendt fortegn	3	1	0	2
59004065	lokke nogen ud af busken	1	3	0	2
59005833	hugge en hæl og klippe en tå	1	3	2	0
59010518	ikke være til at styre på en hel tønde land	1	3	2	0
59004304	man skal ikke give bagerbørn hvedebrød	3	0	1	2
59012914	holde kortene tæt til kroppen	3	0	2	1
59004371	have gode kort på hånden	2	0	3	1
59002319	hvad er højest, Rundetårn eller et tordenskrald?	0	1	2	3
59010252	finde melodien	2	0	3	1
59004101	have nogen el. noget i kikkerten	1	2	3	0
59011805	gennemgå med en tættekam	3	0	2	1
59001940	fra hestens egen mund	3	0	2	1
59006462	en sund sjæl i et sundt legeme	2	0	1	3
59002743	hverken se til højre eller venstre	0	1	2	3
59009204	bo i en kuffert	3	2	1	0
59013047	to sjæle, én tanke	3	1	0	2
59001000	hælde benzin på bålet	0	1	3	2
59004185	trække tænderne ud	1	3	2	0
59011876	ved kasse ét	0	3	2	1
59011856	man skal ikke flyve højere end vingerne kan bære	3	0	1	2
59010872	slag på tasken	3	0	2	1
59009045	gnide salt i såret	1	3	2	0
59008485	logik for burhøns	3	2	0	1
59008605	køre på skinner	1	3	0	2
59004826	hånd i hanke med	1	3	2	0
59002289	helt ind i knoglerne	1	3	2	0
59009471	det er ikke studenterhuen der trykker	2	1	3	0
59004716	hvile på laurbærrene	2	1	3	0
59000955	komme ind fra gaden	2	3	0	1
59012461	støde panden mod en mur	0	2	1	3
59012743	når det regner på præsten, drypper det på degnen	2	3	0	1
59005659	være livet om at gøre	2	0	3	1
59009091	goddag mand, økseskaft	3	2	1	0
59010062	dråben der får bægeret til at flyde over	0	2	1	3
59001751	have en høne at plukke med nogen	0	1	3	2
59013131	gå i nogens fodspor	2	3	0	1
59000327	den der kommer først til mølle, får først malet	0	2	3	1
59007121	komme ind med firetoget	3	0	2	1
59003425	ikke kunne se skoven for bare træer	2	0	1	3
59004489	sætte ulven til at vogte får	0	1	3	2
59006074	når skidt kommer til ære, ved det ikke hvordan det skal være	2	1	3	0
59002227	i mørke er alle katte grå	1	3	0	2
59009991	være sulten som en ulv	3	1	0	2
59006721	arbejde sin røv i laser	2	3	0	1
59006149	ikke få et ben til jorden	1	3	2	0
59006696	skrive til skrivebordsskuffen	0	1	2	3
59006670	toppen af kransekagen	3	2	1	0
59000422	det glatte lag	3	2	0	1
59009089	gå i spagat over noget	2	1	0	3
59001735	hellere se éns hæl end éns tå	1	2	0	3
59003442	fryse til is	2	0	3	1
59005560	hvad forstår bønder sig på agurkesalat	0	2	1	3
59000496	skæg for sig og snot for sig	1	2	3	0
59005619	mennesket lever ikke af brød alene	0	2	1	3
59009195	gå bananas	0	2	1	3
59006129	penge lugter ikke	3	0	2	1
59006549	hive sig selv op ved håret	1	0	3	2
59008426	sidde med hænderne i skødet	0	3	1	2
59008955	komme ind under huden	0	1	3	2
59004087	tabe på gulvet	1	0	2	3
59005576	få noget med på vejen	0	3	2	1
59004713	slå knuder på sig selv	1	2	3	0
59010833	vifte nogen om næsen med noget	2	1	3	0
59004733	den hellige grav er vel forvaret	1	2	0	3
59004180	heldet følger de tossede	3	0	2	1
59004827	tanker er toldfri	2	0	3	1
59008427	med hård hånd	1	3	0	2
59010311	være et hestehoved foran	0	3	1	2
59009050	nogens mund er lukket med syv segl	0	1	2	3
59004436	satse alt på ét kort	2	0	3	1
59000624	parkere bussen	1	2	3	0
59012517	guds ord fra landet	2	0	1	3
59001168	feje af bordet	2	3	0	1
59006988	blæse nogen en hatfuld	0	2	1	3
59004903	have jord under neglene	2	3	0	1
59005521	når nøden er størst, er hjælpen nærmest	1	0	3	2
59002737	stikke hånden i en hvepserede	0	3	2	1
59006755	få blod på tanden	3	1	0	2
59006873	vise nogen vintervejen	2	3	1	0
59008983	gå i ét med tapetet	3	0	2	1
59003444	nu er gode råd dyre	3	0	2	1
59002766	gå som varmt brød	2	0	3	1
59011296	se ud som om man er faldet ned fra månen	0	3	2	1
59007123	krølle på halen	0	3	1	2
59000266	levende lig	3	1	2	0
59004124	sætte himmel og hav i bevægelse	3	2	0	1
59000284	ikke kunne gøre en flue fortræd	0	1	3	2
59012226	tage tyren ved hornene	0	1	3	2
59000634	tale nogen efter munden	0	2	1	3
59006619	bestemme hvor skabet skal stå	2	3	0	1
59007544	godt begyndt er halvt fuldendt	2	0	3	1
59009057	have rundsave på albuerne	1	2	3	0
59007152	den ene hånd ved ikke hvad den anden gør	0	1	2	3
59005326	ikke nå nogen til sokkeholderne	3	2	1	0
59006276	hr. og fru Danmark	0	2	1	3
59013163	vende hver en sten	0	1	3	2
59000598	holde dampen oppe	2	1	3	0
59003700	med mand og mus	3	2	1	0
59011489	man skal ikke skue hunden på hårene	1	3	2	0
59006157	ingen roser uden torne	3	1	2	0
59003997	slå hjernen fra	2	0	1	3
59012862	sidde løst i sadlen	2	3	0	1
59005083	ikke kunne se ud over sin egen næsetip	1	3	0	2
59000971	have en kage i ovnen	1	0	2	3
59005541	et vink med en vognstang	1	3	2	0
59003958	gå til makronerne	1	2	0	3
59010377	sådan spiller klaveret ikke	3	0	2	1
59002347	trække nogen rundt ved næsen	2	1	0	3
59012539	lyve så stærkt som en hest kan rende	3	2	0	1
59012353	ikke være tabt bag en vogn	2	3	1	0
59002002	æren er det fejreste træ i skoven	3	1	0	2
59003286	tage ordet ud af munden på nogen	2	0	3	1
59011042	bide til bollen	0	1	2	3
59000318	med åben mund og polypper	2	0	1	3
59002923	glansen går af Sankt Gertrud	3	1	0	2
59007867	den sne der faldt i fjor	0	1	3	2
59008606	lægge hænderne på kogepladen	1	2	0	3
59001760	puste i nakken	0	2	1	3
59009923	have nogen i sin hule hånd	0	1	2	3
59002773	trække noget ned over hovedet på nogen	3	2	0	1
59010184	have en skrue løs	0	1	2	3
59003702	sætte alle sejl til	0	2	3	1
59012416	hår på brystet	0	1	2	3
59004301	sætte hælene i	1	0	3	2
59009169	gøre kort proces	2	3	1	0
59004095	så er det bal forbi	3	0	2	1
59010505	dreje 180 grader	3	2	1	0
59002769	høre en lille fugl synge om noget	1	0	2	3
59000329	ikke have noget liv	2	0	1	3
59012026	i en snæver vending	0	1	2	3
59003460	overlade tøjlerne til nogen	0	1	2	3
59003588	vende sig i sin grav	3	0	2	1
59005361	lediggang er roden til alt ondt	1	2	3	0
59004415	skud fra hoften	0	2	1	3
59012613	stå på god fod med nogen	3	2	0	1
59000258	vende den anden kind til	1	2	3	0
59008984	skrive noget på nogens konto	2	0	1	3
59011467	sno nogen om sin lillefinger	2	1	0	3
59004121	sætte det lange ben foran	0	2	3	1
59004483	ryge fredspibe	2	3	0	1
59001432	stiv time	1	0	2	3
59011737	havkat i hyttefadet	0	2	1	3
59003375	lade fem og syv være lige	3	0	1	2
59007813	dummere end politiet tillader	1	0	2	3
59012816	sætte en ny plade på grammofonen	2	3	0	1
59002149	tage noget på sin kappe	1	2	3	0
59012029	kaste et redningsbælte ud til nogen	0	2	3	1
59013018	have ti tommelfingre	2	0	3	1
59011751	sætte lus i skindpelsen	2	1	0	3
59002772	tabe hovedet	3	1	0	2
59007831	leve på en sten	3	0	2	1
59005417	livet er kort, kunsten er lang	2	3	0	1
59006113	med bred pensel	2	3	1	0
59006803	den blå luft	1	2	0	3
59011593	dreje kniven rundt i såret	2	3	1	0
59001131	drive nogen i armene på nogen	3	0	1	2
59009180	hyppe sine egne kartofler	3	1	2	0
59007569	smede mens jernet er varmt	3	0	1	2
59003031	hurtig i vendingen	1	2	0	3
59009528	få fingeren ud	1	0	2	3
59009689	ikke kende nogen landegrænser	0	1	2	3
59011729	tjene ind på gyngerne hvad man har mistet på karrusellen	1	2	3	0
59004559	stå med hatten i hånden	1	3	2	0
59005295	græde over spildt mælk	0	3	2	1
59002988	historiens vingesus	1	0	3	2
59004102	hellere lille og vågen end stor og doven	1	3	2	0
59005457	langt mellem snapsene	0	2	3	1
59002214	gammel i gårde	0	3	1	2
59002384	ligne udskidt æblegrød	2	3	1	0
59000114	med hovedet under armen	3	0	1	2
59006252	trække store veksler på nogen	0	2	3	1
59005282	ikke lutter lagkage	3	1	0	2
59011699	føle sig hjemme	1	2	3	0
59006426	sætte ræven til at vogte gæs	0	3	1	2
59010388	frem og tilbage er lige langt	3	1	2	0
59011307	mange bække små gør en stor å	1	0	2	3
59008925	gå op i sømmene	0	3	1	2
59005041	glat som en ål	2	1	3	0
59000594	falde nogen for brystet	2	1	0	3
59003623	mele sin egen kage	2	1	0	3
59006770	holde nogen til ilden	0	1	3	2
59012809	gå forkert i byen	0	2	1	3
59007576	det er ikke raketvidenskab	1	0	2	3
59004891	kaste nogen for løverne	2	3	1	0
59006534	spænde ben	2	3	0	1
59011846	ikke ane hvilket ben man skal stå på	1	3	2	0
59003451	slå hånden af nogen	1	2	3	0
59003701	rande under øjnene	0	3	2	1
59013038	hellere ville brække en arm på langs end ..	3	1	0	2
59003351	køre sit eget løb	3	1	0	2
59011182	skide grønne grise	2	1	3	0
59008629	åbne for sluserne	1	3	2	0
59005299	operationen lykkedes, men patienten døde	1	3	2	0
59003629	efter alle kunstens regler	1	0	2	3
59007724	holde nogen på pinebænken	1	0	3	2
59004504	ude på dybt vand	0	1	3	2
59013025	det skal du længere ud på landet med	2	1	3	0
59004154	sætte kroner og øre på noget	0	3	2	1
59004457	ligeved og næsten slår ingen mand af hesten	1	0	2	3
59003974	underskrive sin egen dødsdom	2	1	0	3
59010199	have et horn i siden på	1	0	3	2
59005297	have flossede kanter	2	0	3	1
59005657	komme ud af fjerene	2	3	1	0
59003297	få svesken på disken	3	1	2	0
59012940	tone rent flag	2	1	3	0
59007713	drikke nogen under bordet	2	1	3	0
59009982	smage som at række tungen ud ad vinduet	3	0	2	1
59011753	sætte kikkerten for det blinde øje	2	3	1	0
59010245	vippe af sadlen	1	2	3	0
59000874	riste over en sagte ild	1	2	3	0
59010129	kunne tælles på én hånd	0	2	1	3
59011601	sælge sand i Sahara	2	3	0	1
59001151	lægge kortene på bordet	2	3	0	1
59013019	stikke hovedet i busken	0	1	3	2
59000625	være nogens forlængede arm	3	1	0	2
59008079	en streg i regningen	2	3	0	1
59002397	ikke født i går	0	1	2	3
59004680	hænge ved nogens læber	2	1	0	3
59003695	surt løg	1	0	3	2
59012465	det rager mig en fjer	2	3	0	1
59011931	sætte sig på den høje hest	2	1	0	3
59010835	tage noget tungt	1	3	0	2
59004061	koste en bondegård	1	3	0	2
59009761	løvens gab	3	2	1	0
59006152	nære en slange ved sin barm	3	0	2	1
59000136	spille med skjulte kort	1	3	0	2
59011312	hverken vådt eller tørt	1	0	2	3
59000428	naturens muntre søn	1	3	0	2
59000880	en tynd kop te	0	1	3	2
59000616	jeg vil æde min hat på ..	2	1	3	0
59012617	én gang skal jo være den første	0	2	1	3
59003624	trække en kanin op af hatten	3	1	2	0
59012823	vide hvordan landet ligger	0	1	2	3
59002255	ingen kender dagen før solen går ned	1	2	3	0
59005327	ikke vide hvor man skal ende og begynde	1	2	3	0
59004080	lægge ansigtet i de rette folder	2	3	0	1
59005454	i sit ansigts sved	1	2	0	3
59005319	skære nogen i hjertet	2	1	3	0
59004641	en gave fra himlen	1	3	2	0
59011445	klæde sig i sæk og aske	0	2	3	1
59006693	bevæbnet til tænderne	1	0	2	3
59005780	have mange bolde i luften	2	3	0	1
59000622	løbe åbne døre ind	1	3	0	2
59009730	kvæle i fødslen	1	0	3	2
59005336	de tusind søers land	3	2	1	0
59004948	slå nogen oven i hovedet med noget	3	2	1	0
59006905	sommerfuglestøv på vingerne	2	0	3	1
59003608	nogen vender bøtten	3	0	2	1
