talemaade_udtryk	A	B	C	D
være på egen boldgade	dyrke boldspil på den bane hvor et sportshold sædvanligvis spiller kamp	beherske sine følelser	være på egen hånd; være uden tilsyn	ligne en anden meget, især mht. udseende
male byen rød	drikke og more sig uden for sit eget hjem	sige noget uden særlig meget indhold, fx for at vinde tid eller undskylde noget	male (dele af) væggene i en by røde	have menstruation
løbet er kørt	en sportskonkurrence hvor man skal tilbagelægge en strækning hurtigst muligt på hjul, er overstået	komme godt i gang; få en god start, især i en sportskamp eller -turnering	sagen, foretagendet eller kampen er afsluttet eller afgjort, og det er derfor ikke muligt at påvirke eller ændre på udfaldet	bruges til at påpege at et køretøj skal have nye dæk eller på værksted
lev stærkt, dø ung	være stærk mens man er i live, men dø i en ung alder	bruges for at udtrykke den opfattelse at det er bedre at tage chancer, leve livet fuldt ud og give efter for sine lyster end søge tryghed og faste rammer, også selvom man derved sætter livet på spil og risikerer at dø i en ung alder	glemme eller tilgive noget man er blevet vred over	hvis man har for meget fart på, bliver ens liv kort
stryge med hårene	være modvillig eller genstridig; (prøve at) forhindre noget	rose en persons udseende, især vedkommendes hår eller frisure	ae nogen, fx et barn, på hovedet i den retning håret vokser	prøve at behage; optræde føjeligt og eftergivende
den rygende pistol	overrumple nogen og derved afsløre vedkommende i en pinlig situation eller sammenhæng; overraske nogen og derved gennemføre noget mod vedkommendes vilje	en pistol der netop er affyret	det synlige eller på anden måde uigendrivelige bevis der fælder forbryderen i en kriminalsag	den hændelse der har udløst et negativt forløb af begivenheder
svæve over vandene	diskret eller ubemærket overvære noget	præge noget; være mærkbar	bevæge sig ubemærket rundt	flyve over et vandområde
give en gang lak	hurtigt og uden tid til forberedelse	rose og give komplimenter	give en omgang klø eller skældud	smøre lak på
være på bølgelængde	udsende lyd- eller lysbølger af samme type	nære en ofte umiddelbar og uudtalt forståelse for; have fælles interesser eller samme smag	være af samme størrelse; have samme fysiske udstrækning	svare på en måde der ikke giver mening i forhold til spørgsmålet
spille sine kort godt	født i en velhavende familie	føre en fornuftig og langsigtet økonomisk politik	udnytte sine muligheder; handle klogt	være en dygtig kortspiller
viske tavlen ren	se bort fra tidligere uheldige hændelser eller gerninger; begynde på en frisk	lukke alle åbne vinduer på en computer; lukke alle apps på en telefon	have noget ubehageligt i vente; være i en presset situation, fx arbejdsmæssigt, tidsmæssigt eller økonomisk	fjerne kridt fra en tavle med en tavlesvamp
løbe om hjørner med	for fuld kraft; uden hæmninger eller begrænsninger	narre; snyde	løbe på en rute med adskillige skarpe sving sammen med	more sig sammen med
under én hat	placeret under en enkelt hat	bruges som udtryk for at flere personer har samme holdning eller overbevisning	gøre fuldstændig afhængig	på samme sted, under samme organisation eller under samme institution
så går den vilde jagt	bruges for at betegne den iver der kan opstå som følge af en afvisning	nu starter jagten på råvildt	være overflødig eller generende, fx i forbindelse med et kærlighedsforhold	der foregår en intensiv forfølgelse eller eftersøgning; der foregår en heftig aktivitet med hurtige bevægelser eller handlinger
uden mad og drikke duer helten ikke	man må sørge for at få noget at spise og drikke hvis man vil klare sig	hvis ikke man får opfyldt sine basale behov kan man ikke være lykkelig	(være nødt til at) acceptere noget man tidligere har forkastet	man kan ikke udføre heltegerninger på tom mave
ikke være mange sure sild værd	have en værdi der svarer til et lille antal sild	være udmattet eller nedtrykt	der sker noget som får afgørende og ofte skæbnesvangre følger	bruges for at udtrykke at indsatsen ikke er udbyttet værd
de bonede gulve	det er for sent at prøve at forhindre noget når skaden er sket	gulve som er behandlet med bonevoks eller lignende	de finere kredse, etablissementet; inderkredsen (i en politisk magtstruktur)	dansegulvet; kredse der udøver eller interesserer sig for dans
få beskidte hænder	udføre manuelt arbejde; arbejde hårdt eller flittigt	med et tillidvækkende ydre som eneste garanti	være opfyldt af en følelse af skam	foretage sig noget der forårsager at ens hænder bliver snavsede
hul på bylden	påbegynde et (stort) bygge- eller anlægsarbejde	bruges for at udtrykke at en væske ved et uheld flyder ud over et større område	et hul på en byld	gang i noget der har voldt besvær eller været et problem
vejen til en mands hjerte går gennem maven	man er nødt til at træffe et valg; man kan ikke gå aktivt og helhjertet ind for flere helt forskellige sager	man kan let lade sig forblænde af en person der har mange talenter	man vinder en mands kærlighed ved at lave god mad til ham	en mands hjerte findes i nærheden af hans mave
med næb og kløer	af alle kræfter; på en indædt, beslutsom eller meget energisk måde	uden at have fjernet næb og kløer	utilsigtet sige eller gøre noget dumt	bruges om bevægelse som udføres med hele kroppen og ikke kun hovedet
leve som hund og kat	have dårlige levevilkår	hvis man i tilstrækkelig høj grad ønsker at løse et bestemt problem, skal man nok også finde en måde at gøre det på	leve sammen og altid være uenige og skændes	leve på samme måde som hunde og katte gør det
give en god dag i noget	være ligeglad med noget; ikke bekymre sig om noget	fornærme eller på anden vis optræde respektløst eller stødende	afsætte en dag til noget	bruge tid på at more sig; afsætte tid til fornøjelser
male fanden på væggen	male en afbildning af Fanden på en væg	fremstille sig selv som mindre dygtig end man faktisk er	fremstille noget overdrevent negativt; straks tro det værste	energisk, utraditionel og undertiden provokerende fremgangsmåde, handling eller lignende
være tynd i papirerne	være uden interessant og vigtigt indhold - om tekst	advare mod en bestemt, farlig eller uheldig udvikling	være usikker, uvidende, dårligt forberedt eller lignende	være meget slidt -- om bog, tryksag ellerlign.
synge på sidste vers	mod og styrke sådan som en rigtig mand menes at have det	kun synge det første og det sidste vers af en (lang) sang	synge det sidste vers af en sang	nærme sig afslutningen
slå større brød op end man kan bage	ikke have mulighed for at bage en større mængde dej til brød	noget adskiller sig ikke fra mængden, er uden særlige kvaliteter, eller lignende	acceptere noget som man ikke bryder sig om	begynde på noget som man ikke kan gennemføre
spildte Guds ord på Balle-Lars	Balle-Lars forstår ikke det kristne budskab	nogen kan drikke meget, især alkohol	forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft	det kan betale sig at handle mig omhu og forsigtighed
hæve barren	(forsøge at) blive i bedre humør; bestræbe sig på at være positivt indstillet	hæve en barre -- fx i konkurrencer	øge ambitionerne eller kravene; hæve standarden	være retfærdig; tilgodese alle parter i en sag
sandheden er ilde hørt	folk vil ikke høre eller erkende sandheden	det er svært at høre hvad en person forklarer fx fordi den pågældende person mumler	nogen kommer til at sige eller gøre noget dumt, især af tankeløshed	mangle en fundamental evne eller egenskab for at kunne løfte en opgave
det går ned ad bakke	bruges som mildt kraftudtryk for at understrege overraskelse, forskrækkelse, fortørnelse eller lignende	der sker en dårlig udvikling på et bestemt område	det bevæger sig i retning ned ad en bakke	der sker en fordelagtig udvikling på et bestemt område
blind høne finder også korn	hvis den ene sans ikke slår til, må en anden bringes i spil	høns kan finde korn også selvom de ikke kan se noget	fremstille noget overdrevent negativt; straks tro det værste	bruges ofte (selv)ironisk for at udtrykke at selv en person uden de store forudsætninger, med lidt held, kan løse en bestemt opgave
mester for noget	person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende	resolut gøre noget der kræver selvovervindelse	dygtig udøver af et håndværk	person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk
trække en streg i sandet	med sin hånd eller fod lave en synlig bane i en overflade dækket af sand	tydeligt og klart markere en grænse for noget	være uskyldig i forbindelse med en uheldig, kritisabel eller kriminel udvikling eller foreteelse idet man har optrådt ærligt, lovlydigt og ubestikkeligt	score point i beachvolley
bløde fronterne op	pludselig dukke op og gøre sig gældende i en bestemt sammenhæng uden forudgående erfaring	gøre uenige parter mere forsonlige	opbløde den forreste del af noget inden det skal bearbejdes	pakke skrøbelige genstande forsvarligt ind så de ikke går i stykker under fx transport eller opbevaring
langt hen ad vejen	som har et langt forløb langs en vej	skjule, hemmeligholde; ignorere, fortrænge	på en overfladisk, men samtidig langtrukken måde	for størstedelens vedkommende; næsten helt
hænge i sin mors skørter	efterligne sin mors tale- og væremåde	opholde sig tæt ved sin mors tøj	vise aktiv interesse for (at opnå) noget	være meget knyttet til og afhængig af sin mor
grine hele vejen til banken	glæde sig over en økonomisk succes	komme godt ud af en lønforhandling	bruges i udtryk om at nogen yder eller bør yde en engageret indsats for at hjælpe nogen, for at reparere noget, eller lignende	grine mens man bevæger sin hen til en bank
komme ud af busken	sige eller gøre noget som man har været tilbageholdende med; tage et initiativ	komme ud af en busk hvor man har opholdt sig	slå sig løs og more sig	fortælle om sin seksualitet; komme ud af skabet
gå med halm i træskoene	have et livssyn eller en tankegang der traditionelt forbindes med tidligere tiders enkle landliv, uden interesse for moderne udvikling og levevis	gå i træsko der har halm i bunden	gå forsigtigt så ens fodtrin ikke laver støj	en (delvis) kompensation for tab, smerte eller lignende
give med den ene hånd og tage med den anden	pludselig skifte mening	række nogen noget med den ene hånd og derefter tage det igen med den anden	være meget bange, nervøs eller lignende	yde noget til nogen, men derefter fratage vedkommende dét eller noget andet
holde på hat og briller	være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige	holde fast på sin hat og sine briller	være påpasselig med at dele informationer om sig selv	passe på fordi noget (voldsomt) begynder eller finder sted
andre boller på suppen	hverken mel- eller kødboller i en suppe	bruges for at udtrykke at noget ikke smager en	hjælpe nogen der befinder sig i en vanskelig situation	noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng
ligne hinanden som to dråber vand	være ens på overfladen men ikke nødvendigvis i det indre	fastsætte en pris på noget; præcisere et beløb	være ens på samme måde som to vanddråber er ens	ligne hinanden fuldstændig
en dråbe i havet	en dråbe vand i havet	en ubetydelighed; meget lidt	et enkelt menneske ud af mange i en flok	nogen eller noget er sejlivet og trodser forventninger eller håb om udslettelse
lavthængende frugter	udtrykke præcist; udtrykke det væsentlige	personer som fra livets begyndelse har haft dårlige vilkår, og som har oplevet voldsom modgang	mål eller resultater der er lette og hurtige at nå, og som ikke kræver den store indsats	frugter der befinder sig på træets nederste grene, og som derfor er nemme at plukke fra jorden
når man ikke vil høre, må man føle	sommetider er det bedre at prøve sig frem	hvis man ikke ønsker at lytte kan man i stedet mærke sig frem	når man ikke vil lytte til andres råd, må man selv bære de ubehagelige konsekvenser	også børn hører og forstår hvad der bliver sagt omkring dem
nød lærer nøgen kvinde at spinde	håndarbejde er ikke kun fornøjelse	hvis man i tilstrækkelig høj grad ønsker at løse et bestemt problem, skal man nok også finde en måde at gøre det på	hvis en kvinde er utilfreds med ikke at eje tøj til sig selv lærer hun at fremstille det	nogen forstår eller erkender pludselig
der gror mos på nogen el. noget	nogen/noget ældes (og glemmes) med tiden	et lag af mos gror frem på nogen eller noget	fungere tilfredsstillende, uden problemer eller med stor succes	nogen eller noget er trættende for andre at beskæftige sig med
det fagreste træ i skoven	det største og mest levedygtige træ i skoven	det som er vigtigst og betyder mest	den person der udpeges som den smukkeste blandt en gruppe mennesker, fx i en konkurrence	absolut intet kan ..
lakrids mellem tæerne	ikke falde i en persons smag	snavs på steder hvor der sjældent bliver gjort rent	stykke lakrids placeret mellem to tæer	snavs mellem tæerne; snavsede fødder
ikke nå nogen til knæene	være meget lavere end andre mennesker	have meget ringe evner i forhold til en anden	ikke kunne indhente nogen i løb	leve sorgløst selvom der er stor risiko for at noget går galt; optræde letsindigt
gå efter manden i stedet for bolden	mislykkes fuldstændig; ikke blive til noget	(i en diskussion) blive personlig og dermed rette angreb mod personen frem for at beskæftige sig med dennes argumenter	gå efter en mand fremfor en bold	udnytte en arbejdsrelateret situation til personlig vinding
tegn og underlige gerninger	fralægge sig ansvaret i en ubehagelig sag	uforståelige eller forunderlige handlinger eller fænomener	bruges negativt om en svært forståelig meddelelse fra en offentlig myndighed	mystiske tegn og handlinger som man ikke forstår
tage nogen ved hånden	hjælpe eller vejlede nogen	holde nogen i hånden	der er sket meget siden ..; der er gået lang tid siden ..	lære et håndværk ved at se hvordan det udføres, typisk af en faglært
tage nogen med bukserne nede	tilfældigvis opdage og forskrække nogen mens de ikke har bukser på	forbundet med modgang eller vanskeligheder der skal overvindes for at opnå et resultat	overrumple nogen og derved afsløre vedkommende i en pinlig situation eller sammenhæng; overraske nogen og derved gennemføre noget mod vedkommendes vilje	opsøge nogen tidligt om morgenen før det er forventeligt at de er stået op
pakke ind i vat	overbeskytte; forskåne for ubehagelige oplevelser	tage varmt overtøj på	beskytte noget mod fx slag ved at pakke det ind i vat	(komme til at) afsløre noget der var holdt hemmeligt
panik før lukketid	febrilskhed der skyldes at en tidsfrist er tæt ved at være overskredet, eller at noget snart er uigenkaldeligt forbi	person eller ting som er resultatet af den seneste udvikling inden for et område	hastværk i slutningen af åbningstiden	bruges for at udtrykke at småbørn ofte er følelsesmæssigt letpåvirkelige lige inden de skal sove
få skovlen under	komme i gang med et foretagende	besejre eller få overtaget over	lykkes med at få en skovl under det man gerne vil grave op, og dermed være tæt på at gennemføre sit foretagende	spare; indskrænke forbruget
en dans på roser	en let og sorgløs tilværelse, aktivitet, opgave eller lignende	en dans der danses på et underlag af afskårne roser	en vanskelig aktivitet, opgave eller lignende	tingene udvikler sig ikke altid sådan som man havde regnet med
arbejde så blodet springer fra neglene	blive træt (og falde i søvn); miste energi	arbejde så hårdt at fingrene bløder	(arbejde) hårdt og intensivt	ikke arbejde særlig hårdt; ikke gøre sig umage
være i lommen på	ligge i nogens lomme	være betaget af en person; beundre en person	meget farligt eller ubehageligt sted	være helt afhængig af
grus i maskineriet	grus, jord, sand ellerlign. i et maskineri	fejl der nemt kunne være undgået	modgang, problemer, forhindringer eller lignende	man kan lige så godt prøve at udføre en ofte dristig, mistænkelig eller ufin handling, for hvis det lykkes, er det godt, og lykkes det ikke, er der sikkert ikke tabt noget ved det
ikke være helt fin i kanten	være allemandseje; være bredt anset	ikke være (helt) acceptabel moralsk set; ikke være (helt) til at stole på	leve trygt og godt	have en eller flere fejl eller mangler der bryder en ellers perfekt kant
hele dynen	fare omkring; være meget foretagsom	en dyne i sin helhed, inkl. dun eller andet fyld, betræk mv.	al den oppakning man slæber med sig	alt det som er relevant i en bestemt sammenhæng
smage af fugl	ikke være helt identisk med noget bestemt (attraktivt), men dog ligne det lidt; være bedre end ingenting	minde om smagen af fugl	være af forholdsvis høj kvalitet; være på forholdsvis højt niveau	være i sikkerhed eller under god behandling hos kyndige eller venlige mennesker
have blod på hænderne	alt det som er relevant i en bestemt sammenhæng	have udført noget unødig sjusket	have blodige eller grusomme handlinger på samvittigheden	have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse
puste til gløderne	puste til en ild der er ved at dø ud	(være) dygtig, viljestærk og god til at klare sig	få en strid til at udvikle sig (igen)	tilføre romantik til et (langvarigt) kærlighedsforhold
have mange jern i ilden	have romantiske relationer til flere mennesker på samme tid	have mange forskellige jern i sin esse	være beskæftiget med mange ting samtidig	bruges især i sammenlignende konstruktioner for at betegne et fænomen eller en aktivitet som meget kedelig
næsten ikke kunne få armene ned	af erfarne folk får man gode råd	være meget beruset	være overordentlig glad pga. stor succes	have svært ved at sænke hænderne til under skulderhøjde
ikke vide om man er købt eller solgt	ikke vide med sikkerhed hvordan man er stillet (økonomisk) eller vil blive behandlet i nær fremtid	ikke vide om man er solgt eller fortsat er til salg	ikke vide om man fortsat indgår i et romantisk forhold med nogen	føle væmmelse ved noget; ønske at undgå kontakt eller engagement
de forhåndenværende søms princip	en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning	fremgangsmåde hvor man nøjes med de begrænsede midler der umiddelbart er til rådighed	princip i byggeriet hvor man kun benytter søm der allerede har været i brug	levevis hvor man ikke køber nyt
når enden er god, er alting godt	en lykkelig slutning på et forløb overskygger de evt. negative sider der måtte have været undervejs	en god afslutning er væsentlig for kvaliteten	ødelægge eller forspilde nogens chancer eller muligheder for noget	bruges for at udtrykke at man godt kan lide (synet af) numser
komme ud af røret	afslutte en længerevarende telefonsamtale (som man finder ubehagelig eller kedelig)	komme af sted efter lang tids nølen; langt om længe tage sig sammen	dæmpe sin ophidselse eller begejstring; tage det roligt	bevæge sig ud af et smalt og langt rør
skulle have skolepengene tilbage	have penge til gode hos en offentlig instans	være dum eller uvidende om et bestemt forhold	være berettiget til erstatning af et undervisningsgebyr	børn vælger ofte samme levevej eller har samme interesser som deres far eller mor
skære ud i pap	forme en figur i materialet pap	forklare eller meddele på en meget grundig og letforståelig måde	man kan ikke på samme tid gøre to ting der er indbyrdes forskellige eller uforenelige	printe tekst eller billeder ud i stort format, ofte i farver
gå hjem og vug	bruges til at overtale en (små)syg person til at gå hjem i seng	forsvind; gå hjem, for der er ikke brug for dig	hurtig til at handle eller reagere i en situation	gå hjem i seng
krydse nogens vej	overhovedet ikke til nytte; helt overflødigt eller forgæves	overskride nogens grænser	gå over den gade hvor nogen har adresse	mødes med nogen undervejs
gå i brædderne	blive træt (og falde i søvn); miste energi	forøge smerten og pinen, ofte den psykiske	gå igennem et plankegulv	besvime som følge af overdrevent indtag af alkohol
kronen på værket	det er at foretrække at være lille og vågen frem for stor og doven	vente på eller regne med at livets goder kommer til én uden at man skal yde noget særligt for at opnå dem	(fremragende) fuldendelse af en opgave	noget der er placeret usikkert og højt oppe
være i stødet	anstrenge sig for at formulere noget, fx fordi det er svært at udtale eller fordi man vil undvige et pågående spørgsmål	føle sig dårlig eller utilpas; være begyndende syg	være oplagt (til noget)	være under behandling med elektrochok
slippe katten ud af sækken	slippe en kat ud af en sæk	tænke nøje over hvordan man formulerer sig	(komme til at) afsløre noget der var holdt hemmeligt	endelig opnå noget man længe har stræbt efter
være højt på strå	ikke afsløre en hemmelighed eller lignende mens man lever	gå eller være i højt græs	(med vilje) synge i et stemmeleje der ligger over det normale; synge falset	være indflydelsesrig, rig eller heldig og evt. opføre sig overlegent
der er synk i nogen	nogen er i stand til at synke noget	nogen er meget energisk eller handlekraftig	nogen kan drikke meget, især alkohol	give en omgang klø eller skældud
ikke være nogens kop te	tilhøre en anden -- om en kop te	være ubekendt; eksistere uden nogens vidende	uden at tænke sig om	ikke være noget eller nogen som nogen bryder sig om eller er interesseret i
det ene ord tager det andet	hvis man vil more sig (om natten), må man tage konsekvensen og opføre sig ansvarligt (næste dag)	bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed	ord efterfølger ord i en talestrøm	nogen taler længe og hurtigt
være høj i hatten	opføre sig meget tilbageholdende, fx af generthed eller skamfuldhed	føle sig udstillet og til grin pga. sin påklædning	være overlegen eller arrogant; føle sig betydningsfuld	have en meget høj hat på
feje ind under gulvtæppet	gemme noget til senere brug	feje ind under et gulvtæppe	gøre rasende eller (seksuelt) ophidset	skjule, hemmeligholde; ignorere, fortrænge
nissen flytter med	selvskabte problemer forfølger én hvis man blot flygter fra dem i stedet for at finde deres egentlige årsag	når man flytter, bliver en (jule)nisse taget med	være meget sulten	traditioner forgår ikke så let
være ved sine sansers fulde brug	have kontrol med og udbytte af alle fem sanser	handle således at konsekvenserne for éns eksistens, anseelse eller lignende bliver meget alvorlige	være i stand til at tænke klart; være tilregnelig	være udsat for stærk påvirkning af sanserne, fx i form af høj lyd eller stærk lugt
kæmpe mod vindmøller	stå ved sine forpligtelser i forhold til fortid eller oprindelse	kæmpe forgæves; kæmpe mod indbildte fjender eller vanskeligheder	kæmpe mod opstilling af vindmøller i sit lokalområde	sikre en bygning mod storm; kæmpe mod naturens kræfter
have spidse albuer	person der har det meget dårligt fysisk og psykisk	have ophobet vrede over længere tid	hævde sig på andres bekostning	have knogler der træder tydeligt frem på ens albuer
kaste med mudder	kaste med klumper af mudder	få højdepunkter eller interessante begivenheder	tale nedsættende og fornærmende om eller til nogen	bevidst skabe splid i en gruppe, fx på en arbejdsplads
for fulde gardiner	narre nogen til at gøre noget; manipulere med nogen	helt trukket for	uden adgang for offentligheden; skjult for offentligheden	for fuld kraft; uden hæmninger eller begrænsninger
religion er opium for folket	en befolkning foretrækker at dyrke en religion frem for at ryge opium	man skal ikke skade eller tale nedsættende om sin egen familie eller det miljø man selv tilhører eller kommer fra	religion er skadelig fordi den giver folket en falsk følelse af tilfredshed og hindrer sand erkendelse	religion er vejen til et lykkeligt liv uden bekymringer
én fugl i hånden er bedre end ti på taget	det er mere værd at have én partner man stoler på end mange løse forhold	på dette tidspunkt er det positive eller glædelige forbi	det er bedre at have en fugl i sin hånd end at have ti fugle siddende på sit tag	de (få) ting man ejer eller har opnået, har større værdi end de (mange) ting som man tror man kan få
med arme og ben	man skal ikke give nogen noget som vedkommende i forvejen har nok af eller let adgang til	bruges om en aldeles fremragende præstation	hvor man gør brug af både sine arme og ben	af al magt; uhæmmet
have ryggen mod muren	være i en ubehagelig eller trængt situation som det er svært at komme ud af	tage den med ro; slappe af	stå i en position så éns ryg er i kontakt med en mur	komme lige efter nogen; være meget tæt på nogen; presse nogen
have alle trumfer på hånden	snart skulle træffe en afgørende beslutning	ikke være så hurtig eller effektiv som normalt eller forventet	have de bedst mulige kort på hånden i et kortspil	have meget gode chancer; være i en meget fordelagtig situation
det er en dårlig fugl der skider i sin egen rede	fugle der skider i egen rede er ikke livsduelige	man skal ikke skade eller tale nedsættende om sin egen familie eller det miljø man selv tilhører eller kommer fra	man skal være varsom med at kritisere andre	opføre eller udfolde sig uden hensyntagen til gængse normer; gøre som man vil
med lodder og trisser	holdt på plads vha. lodder og trisser -- om fortøjning eller andet tovværk	i en tilstand af udelukkelse og forladthed	med garanti eller forsikring; med alle tænkelige forholdsregler	med (lidt held og) hvad man kan finde på af hjælpemidler; på bedst mulige, men ikke altid helt vellykkede måde; med kniberi
man kan ikke klippe håret af en skaldet	det er umuligt at klippe en skaldet person	blive snydt i en handel ved at købe noget ubeset og derefter opdage at det er ringere end forventet	man kan ikke tage noget, fx penge, fra én der ingenting har	skaldede personer bør beskytte deres isse mod solskoldning
flyde med mælk og honning	være præget af overflod, rigdom eller frugtbarhed	være dækket af rod	fjerne eller overvinde et problem, en hindring eller lignende	være dækket af en blanding af mælk og honning
kigge for dybt i flasken	omstændighederne kan gøre det nødvendigt, relevant eller praktisk (pludselig) at skifte mening eller holdning	indtage større mængder af alkoholiske drikke	hælde for meget alkohol i en ret	kigge dybere ned i en flaske end hvad der er sundt for øjet
stå på gloende pæle	være i en tilstand præget af forvirring, ophidselse, travlhed eller hektisk aktivitet	få en endefuld; få prygl	skylde sine forgængere en stor del af æren for ens øjeblikkelige succes	befinde sig på et underlag af brændende træ
belåne til op over skorstenen	låne mange penge ud	folk man er beslægtet med, vil altid have en fortrinsstilling	belåne en bygning eller anden fast ejendom helt op til eller over dens værdi	optage lån med henblik på at bygge en overetage
der går tretten på dusinet af noget	der skal tretten af en specifik genstand til at udgøre et dusin	bruges for at udtrykke at noget ikke er realistisk eller ikke kan eksistere i virkeligheden	det synlige eller på anden måde uigendrivelige bevis der fælder forbryderen i en kriminalsag	noget adskiller sig ikke fra mængden, er uden særlige kvaliteter, eller lignende
på sine grædende knæ	bruges for at afvise samtalepartnerens forbehold og bekymrede forestillinger om fremtiden	med tilkendegivelse af al tænkelig ydmyghed; meget indtrængende	med et ulykkeligt udgangspunkt; uden håb	på alle fire mens man græder
køre med klatten	køre på en hensynsløs og uansvarlig måde	være suveræn til noget; brillere	køre rundt med en klat	den negative side af noget positivt
græsset er altid grønnere i naboens have	det som andre har, opfatter man (altid) som bedre end det man selv har	nogen/noget ældes (og glemmes) med tiden	smile mens man bevæger sig hen til en bank	bruges til at udtrykke at man bør holde negative holdninger for sig selv
behandle nogen som et råddent æg	stå modløs og skuffet tilbage; være blevet svigtet eller narret	omgås en person på en meget diplomatisk og forsigtig måde fordi vedkommende er meget nærtagende og besværlig	ignorere nogen; behandle nogen strengt og uretfærdigt	kun nødigt omgås nogen fordi man finder dem frastødende
