talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
stryge med hårene,4,2,C,concrete misinterpretation,"ae nogen, fx et barn, på hovedet i den retning håret vokser"
den rygende pistol,4,0,A,random definition,overrumple nogen og derved afsløre vedkommende i en pinlig situation eller sammenhæng; overraske nogen og derved gennemføre noget mod vedkommendes vilje
den rygende pistol,4,1,B,concrete misinterpretation,en pistol der netop er affyret
den rygende pistol,4,3,D,abstract misinterpretation,den hændelse der har udløst et negativt forløb af begivenheder
give en gang lak,2,0,A,random definition,hurtigt og uden tid til forberedelse
viske tavlen ren,3,1,B,abstract misinterpretation,lukke alle åbne vinduer på en computer; lukke alle apps på en telefon
viske tavlen ren,3,3,D,concrete misinterpretation,fjerne kridt fra en tavle med en tavlesvamp
løbe om hjørner med,2,0,A,random definition,for fuld kraft; uden hæmninger eller begrænsninger
under én hat,2,1,B,abstract misinterpretation,bruges som udtryk for at flere personer har samme holdning eller overbevisning
uden mad og drikke duer helten ikke,3,1,B,abstract misinterpretation,hvis ikke man får opfyldt sine basale behov kan man ikke være lykkelig
uden mad og drikke duer helten ikke,3,3,D,concrete misinterpretation,man kan ikke udføre heltegerninger på tom mave
ikke være mange sure sild værd,2,0,A,concrete misinterpretation,have en værdi der svarer til et lille antal sild
ikke være mange sure sild værd,2,3,D,abstract misinterpretation,bruges for at udtrykke at indsatsen ikke er udbyttet værd
de bonede gulve,4,0,A,random definition,det er for sent at prøve at forhindre noget når skaden er sket
de bonede gulve,4,1,B,concrete misinterpretation,gulve som er behandlet med bonevoks eller lignende
de bonede gulve,4,3,D,abstract misinterpretation,dansegulvet; kredse der udøver eller interesserer sig for dans
hul på bylden,3,0,A,random definition,påbegynde et (stort) bygge- eller anlægsarbejde
hul på bylden,3,1,B,abstract misinterpretation,bruges for at udtrykke at en væske ved et uheld flyder ud over et større område
med næb og kløer,3,1,B,concrete misinterpretation,uden at have fjernet næb og kløer
med næb og kløer,3,3,D,abstract misinterpretation,bruges om bevægelse som udføres med hele kroppen og ikke kun hovedet
give en god dag i noget,4,1,B,random definition,fornærme eller på anden vis optræde respektløst eller stødende
give en god dag i noget,4,2,C,concrete misinterpretation,afsætte en dag til noget
give en god dag i noget,4,3,D,abstract misinterpretation,bruge tid på at more sig; afsætte tid til fornøjelser
male fanden på væggen,2,3,D,random definition,"energisk, utraditionel og undertiden provokerende fremgangsmåde, handling eller lignende"
være tynd i papirerne,4,0,A,abstract misinterpretation,være uden interessant og vigtigt indhold - om tekst
være tynd i papirerne,4,1,B,random definition,"advare mod en bestemt, farlig eller uheldig udvikling"
være tynd i papirerne,4,3,D,concrete misinterpretation,"være meget slidt -- om bog, tryksag ellerlign."
synge på sidste vers,2,0,A,random definition,mod og styrke sådan som en rigtig mand menes at have det
spildte Guds ord på Balle-Lars,2,0,A,concrete misinterpretation,Balle-Lars forstår ikke det kristne budskab
hæve barren,4,0,A,abstract misinterpretation,(forsøge at) blive i bedre humør; bestræbe sig på at være positivt indstillet
hæve barren,4,1,B,concrete misinterpretation,hæve en barre -- fx i konkurrencer
hæve barren,4,3,D,random definition,være retfærdig; tilgodese alle parter i en sag
blind høne finder også korn,3,0,A,abstract misinterpretation,"hvis den ene sans ikke slår til, må en anden bringes i spil"
blind høne finder også korn,3,1,B,concrete misinterpretation,høns kan finde korn også selvom de ikke kan se noget
mester for noget,4,0,A,abstract misinterpretation,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende"
mester for noget,4,1,B,random definition,resolut gøre noget der kræver selvovervindelse
mester for noget,4,2,C,concrete misinterpretation,dygtig udøver af et håndværk
trække en streg i sandet,2,0,A,concrete misinterpretation,med sin hånd eller fod lave en synlig bane i en overflade dækket af sand
bløde fronterne op,2,2,C,concrete misinterpretation,opbløde den forreste del af noget inden det skal bearbejdes
grine hele vejen til banken,2,1,B,abstract misinterpretation,komme godt ud af en lønforhandling
komme ud af busken,2,3,D,abstract misinterpretation,fortælle om sin seksualitet; komme ud af skabet
gå med halm i træskoene,3,2,C,abstract misinterpretation,gå forsigtigt så ens fodtrin ikke laver støj
gå med halm i træskoene,3,3,D,random definition,"en (delvis) kompensation for tab, smerte eller lignende"
holde på hat og briller,4,0,A,random definition,være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige
holde på hat og briller,4,1,B,concrete misinterpretation,holde fast på sin hat og sine briller
holde på hat og briller,4,2,C,abstract misinterpretation,være påpasselig med at dele informationer om sig selv
andre boller på suppen,2,2,C,random definition,hjælpe nogen der befinder sig i en vanskelig situation
ligne hinanden som to dråber vand,2,2,C,concrete misinterpretation,være ens på samme måde som to vanddråber er ens
en dråbe i havet,3,0,A,concrete misinterpretation,en dråbe vand i havet
en dråbe i havet,3,2,C,abstract misinterpretation,et enkelt menneske ud af mange i en flok
lavthængende frugter,3,1,B,abstract misinterpretation,"personer som fra livets begyndelse har haft dårlige vilkår, og som har oplevet voldsom modgang"
lavthængende frugter,3,3,D,concrete misinterpretation,"frugter der befinder sig på træets nederste grene, og som derfor er nemme at plukke fra jorden"
"når man ikke vil høre, må man føle",3,0,A,abstract misinterpretation,sommetider er det bedre at prøve sig frem
"når man ikke vil høre, må man føle",3,3,D,random definition,også børn hører og forstår hvad der bliver sagt omkring dem
nød lærer nøgen kvinde at spinde,4,0,A,abstract misinterpretation,håndarbejde er ikke kun fornøjelse
nød lærer nøgen kvinde at spinde,4,2,C,concrete misinterpretation,hvis en kvinde er utilfreds med ikke at eje tøj til sig selv lærer hun at fremstille det
nød lærer nøgen kvinde at spinde,4,3,D,random definition,nogen forstår eller erkender pludselig
der gror mos på nogen el. noget,2,3,D,abstract misinterpretation,nogen eller noget er trættende for andre at beskæftige sig med
lakrids mellem tæerne,3,0,A,random definition,ikke falde i en persons smag
lakrids mellem tæerne,3,1,B,abstract misinterpretation,snavs på steder hvor der sjældent bliver gjort rent
ikke nå nogen til knæene,3,2,C,abstract misinterpretation,ikke kunne indhente nogen i løb
ikke nå nogen til knæene,3,3,D,random definition,leve sorgløst selvom der er stor risiko for at noget går galt; optræde letsindigt
gå efter manden i stedet for bolden,2,3,D,abstract misinterpretation,udnytte en arbejdsrelateret situation til personlig vinding
tegn og underlige gerninger,2,3,D,concrete misinterpretation,mystiske tegn og handlinger som man ikke forstår
pakke ind i vat,4,1,B,abstract misinterpretation,tage varmt overtøj på
pakke ind i vat,4,2,C,concrete misinterpretation,beskytte noget mod fx slag ved at pakke det ind i vat
pakke ind i vat,4,3,D,random definition,(komme til at) afsløre noget der var holdt hemmeligt
panik før lukketid,3,1,B,random definition,person eller ting som er resultatet af den seneste udvikling inden for et område
panik før lukketid,3,2,C,concrete misinterpretation,hastværk i slutningen af åbningstiden
få skovlen under,4,0,A,abstract misinterpretation,komme i gang med et foretagende
få skovlen under,4,2,C,concrete misinterpretation,"lykkes med at få en skovl under det man gerne vil grave op, og dermed være tæt på at gennemføre sit foretagende"
få skovlen under,4,3,D,random definition,spare; indskrænke forbruget
en dans på roser,2,3,D,random definition,tingene udvikler sig ikke altid sådan som man havde regnet med
arbejde så blodet springer fra neglene,2,1,B,concrete misinterpretation,arbejde så hårdt at fingrene bløder
være i lommen på,2,1,B,abstract misinterpretation,være betaget af en person; beundre en person
grus i maskineriet,3,0,A,concrete misinterpretation,"grus, jord, sand ellerlign. i et maskineri"
grus i maskineriet,3,3,D,random definition,"man kan lige så godt prøve at udføre en ofte dristig, mistænkelig eller ufin handling, for hvis det lykkes, er det godt, og lykkes det ikke, er der sikkert ikke tabt noget ved det"
ikke være helt fin i kanten,2,3,D,concrete misinterpretation,have en eller flere fejl eller mangler der bryder en ellers perfekt kant
hele dynen,4,0,A,random definition,fare omkring; være meget foretagsom
hele dynen,4,1,B,concrete misinterpretation,"en dyne i sin helhed, inkl. dun eller andet fyld, betræk mv."
hele dynen,4,2,C,abstract misinterpretation,al den oppakning man slæber med sig
smage af fugl,2,3,D,random definition,være i sikkerhed eller under god behandling hos kyndige eller venlige mennesker
have blod på hænderne,2,3,D,concrete misinterpretation,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse"
puste til gløderne,4,0,A,concrete misinterpretation,puste til en ild der er ved at dø ud
puste til gløderne,4,1,B,random definition,"(være) dygtig, viljestærk og god til at klare sig"
puste til gløderne,4,3,D,abstract misinterpretation,tilføre romantik til et (langvarigt) kærlighedsforhold
næsten ikke kunne få armene ned,3,1,B,abstract misinterpretation,være meget beruset
næsten ikke kunne få armene ned,3,3,D,concrete misinterpretation,have svært ved at sænke hænderne til under skulderhøjde
de forhåndenværende søms princip,3,0,A,random definition,en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning
de forhåndenværende søms princip,3,3,D,abstract misinterpretation,levevis hvor man ikke køber nyt
"når enden er god, er alting godt",2,1,B,concrete misinterpretation,en god afslutning er væsentlig for kvaliteten
komme ud af røret,3,0,A,abstract misinterpretation,afslutte en længerevarende telefonsamtale (som man finder ubehagelig eller kedelig)
komme ud af røret,3,2,C,random definition,dæmpe sin ophidselse eller begejstring; tage det roligt
skulle have skolepengene tilbage,3,0,A,abstract misinterpretation,have penge til gode hos en offentlig instans
skulle have skolepengene tilbage,3,2,C,concrete misinterpretation,være berettiget til erstatning af et undervisningsgebyr
skære ud i pap,3,0,A,concrete misinterpretation,forme en figur i materialet pap
skære ud i pap,3,2,C,random definition,man kan ikke på samme tid gøre to ting der er indbyrdes forskellige eller uforenelige
gå hjem og vug,3,0,A,abstract misinterpretation,bruges til at overtale en (små)syg person til at gå hjem i seng
gå hjem og vug,3,3,D,concrete misinterpretation,gå hjem i seng
krydse nogens vej,2,0,A,random definition,overhovedet ikke til nytte; helt overflødigt eller forgæves
krydse nogens vej,2,1,B,abstract misinterpretation,overskride nogens grænser
gå i brædderne,3,1,B,random definition,"forøge smerten og pinen, ofte den psykiske"
gå i brædderne,3,3,D,abstract misinterpretation,besvime som følge af overdrevent indtag af alkohol
være i stødet,3,0,A,random definition,"anstrenge sig for at formulere noget, fx fordi det er svært at udtale eller fordi man vil undvige et pågående spørgsmål"
være i stødet,3,1,B,abstract misinterpretation,føle sig dårlig eller utilpas; være begyndende syg
være højt på strå,3,0,A,random definition,ikke afsløre en hemmelighed eller lignende mens man lever
være højt på strå,3,2,C,abstract misinterpretation,(med vilje) synge i et stemmeleje der ligger over det normale; synge falset
der er synk i nogen,2,3,D,random definition,give en omgang klø eller skældud
ikke være nogens kop te,2,1,B,abstract misinterpretation,være ubekendt; eksistere uden nogens vidende
det ene ord tager det andet,3,2,C,concrete misinterpretation,ord efterfølger ord i en talestrøm
det ene ord tager det andet,3,3,D,abstract misinterpretation,nogen taler længe og hurtigt
være høj i hatten,2,1,B,abstract misinterpretation,føle sig udstillet og til grin pga. sin påklædning
nissen flytter med,2,3,D,abstract misinterpretation,traditioner forgår ikke så let
være ved sine sansers fulde brug,2,0,A,concrete misinterpretation,have kontrol med og udbytte af alle fem sanser
kaste med mudder,2,3,D,abstract misinterpretation,"bevidst skabe splid i en gruppe, fx på en arbejdsplads"
for fulde gardiner,4,0,A,random definition,narre nogen til at gøre noget; manipulere med nogen
for fulde gardiner,4,1,B,concrete misinterpretation,helt trukket for
for fulde gardiner,4,2,C,abstract misinterpretation,uden adgang for offentligheden; skjult for offentligheden
én fugl i hånden er bedre end ti på taget,2,0,A,abstract misinterpretation,det er mere værd at have én partner man stoler på end mange løse forhold
med arme og ben,3,0,A,random definition,man skal ikke give nogen noget som vedkommende i forvejen har nok af eller let adgang til
med arme og ben,3,1,B,abstract misinterpretation,bruges om en aldeles fremragende præstation
have alle trumfer på hånden,2,2,C,concrete misinterpretation,have de bedst mulige kort på hånden i et kortspil
med lodder og trisser,3,0,A,concrete misinterpretation,holdt på plads vha. lodder og trisser -- om fortøjning eller andet tovværk
med lodder og trisser,3,2,C,abstract misinterpretation,med garanti eller forsikring; med alle tænkelige forholdsregler
stå på gloende pæle,3,1,B,random definition,få en endefuld; få prygl
stå på gloende pæle,3,2,C,abstract misinterpretation,skylde sine forgængere en stor del af æren for ens øjeblikkelige succes
belåne til op over skorstenen,3,0,A,abstract misinterpretation,låne mange penge ud
belåne til op over skorstenen,3,1,B,random definition,"folk man er beslægtet med, vil altid have en fortrinsstilling"
på sine grædende knæ,3,0,A,random definition,bruges for at afvise samtalepartnerens forbehold og bekymrede forestillinger om fremtiden
på sine grædende knæ,3,2,C,abstract misinterpretation,med et ulykkeligt udgangspunkt; uden håb
køre med klatten,3,0,A,abstract misinterpretation,køre på en hensynsløs og uansvarlig måde
køre med klatten,3,3,D,random definition,den negative side af noget positivt
behandle nogen som et råddent æg,4,0,A,random definition,stå modløs og skuffet tilbage; være blevet svigtet eller narret
behandle nogen som et råddent æg,4,2,C,abstract misinterpretation,ignorere nogen; behandle nogen strengt og uretfærdigt
behandle nogen som et råddent æg,4,3,D,concrete misinterpretation,kun nødigt omgås nogen fordi man finder dem frastødende
kigge nogen i kortene,4,0,A,random definition,meddele noget åbent og uden omsvøb; få sandheden på bordet
kigge nogen i kortene,4,1,B,abstract misinterpretation,udsætte nogen for systematisk og gennemgribende overvågning
kigge nogen i kortene,4,3,D,concrete misinterpretation,snige sig til at kigge på en modstanders kort under et kortspil
være i ilden,2,1,B,abstract misinterpretation,være i fuld gang med at skabe eller udvikle noget nyt
i den kolde sne,2,0,A,abstract misinterpretation,på et tidspunkt forholdsvis tidligt om morgenen
og så er den potte ude,3,1,B,abstract misinterpretation,"det pågældende væddemål er afsluttet, typisk fordi resultatet af en sportskamp eller lignende foreligger"
og så er den potte ude,3,3,D,random definition,være overordentlig glad pga. stor succes
man kan ikke lære en gammel hund nye kunster,3,0,A,concrete misinterpretation,det er ikke muligt at oplære en hund i ny adfærd efter den har nået en vis alder
man kan ikke lære en gammel hund nye kunster,3,3,D,abstract misinterpretation,det er svært at ændre indgroede vaner
ikke kunne huske fra næse til mund,2,1,B,abstract misinterpretation,have en meget begrænset viden
et ord er et ord,3,2,C,abstract misinterpretation,verdens forskellige sprog vil altid have nogle ord til fælles
et ord er et ord,3,3,D,random definition,en ubetydelighed; meget lidt
lægge sin klamme hånd på noget,2,1,B,abstract misinterpretation,snavse noget til der ellers var rent
en streg i luften,2,0,A,concrete misinterpretation,en kondensstribe på himlen skabt af en flyvemaskine
en streg i luften,2,3,D,abstract misinterpretation,en bevægelse i klassisk direktion -- om musik
gammel kærlighed ruster ikke,3,0,A,concrete misinterpretation,ældre personers kærlige følelser kan ikke ødelægges
gammel kærlighed ruster ikke,3,1,B,abstract misinterpretation,man ødelægger ikke det man holder af
komme på slagtebænken,2,1,B,abstract misinterpretation,deltage i (hård) fysisk træning
være solgt til stanglakrids,4,0,A,random definition,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden
være solgt til stanglakrids,4,2,C,concrete misinterpretation,"være solgt for et (for) lavt beløb, svarende til prisen for et stykke lakrids"
være solgt til stanglakrids,4,3,D,abstract misinterpretation,have nedsat intelligens
eneste hane i kurven,2,3,D,random definition,alting kan lade sig gøre med de rigtige hjælpemidler eller under de rigtige betingelser
"koste blod, sved og tårer",2,2,C,concrete misinterpretation,"være så anstrengende at det fremkalder både blod, sved og tårer"
rive nogen noget i næsen,3,1,B,abstract misinterpretation,under falske forudsætninger få nogen til at tro på at noget forholder sig på en bestemt måde
rive nogen noget i næsen,3,2,C,random definition,"med (lidt held og) hvad man kan finde på af hjælpemidler; på bedst mulige, men ikke altid helt vellykkede måde; med kniberi"
"når solen går ned i en sæk, står den op i en bæk",3,0,A,abstract misinterpretation,"hvis man går vred i seng, er man trist næste morgen"
"når solen går ned i en sæk, står den op i en bæk",3,2,C,random definition,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig
noget er ikke det papir værd det er skrevet på,2,1,B,concrete misinterpretation,en fysisk tekst er ikke sin produktionsværdi værd
få en på frakken,3,0,A,random definition,narre; snyde
få en på frakken,3,1,B,concrete misinterpretation,"modtage et mærke eller emblem, ofte for en bestemt bedrift, færdighed eller lignende"
tale samme sprog,2,3,D,concrete misinterpretation,beherske det samme sprog så man kan tale sammen uden tolk eller lign.
spille på hele klaviaturet,3,2,C,abstract misinterpretation,have mange laster på én gang -- fx både ryge og drikke alkohol
spille på hele klaviaturet,3,3,D,random definition,"jo større ambitioner eller succes man har, desto mere risikerer man at miste"
hvem har tisset på din sukkermad,3,1,B,abstract misinterpretation,bruges for at påpege at nogen er (meget) kræsen
hvem har tisset på din sukkermad,3,3,D,random definition,nogen trækker sig ud af et forehavende fordi det er på vej til at mislykkes
have det som blommen i et æg,2,1,B,concrete misinterpretation,være indelukket på samme måde som en æggeblomme
stå med det ene ben i graven,2,2,C,abstract misinterpretation,være ved at give op
munden står ikke stille på nogen,3,0,A,abstract misinterpretation,"nogen er dygtig til at skabe kontakter og netværk, især for at fremme egne interesser"
munden står ikke stille på nogen,3,2,C,random definition,"yde noget til nogen, men derefter fratage vedkommende dét eller noget andet"
der er ingen smalle steder,2,1,B,random definition,blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter
gå på akkord,3,1,B,concrete misinterpretation,gå en vis distance alt afhængig af betaling
gå på akkord,3,3,D,random definition,"i en tilstand præget af dårligt humør, sorg, depression eller lignende"
være vaccineret med en grammofonstift,3,0,A,concrete misinterpretation,være blevet stukket med en grammofonstift
være vaccineret med en grammofonstift,3,3,D,random definition,religion er skadelig fordi den giver folket en falsk følelse af tilfredshed og hindrer sand erkendelse
dansen om guldkalven,2,2,C,random definition,følge en modestrømning på en uselvstændig måde
gå ud som et lys,2,0,A,concrete misinterpretation,blive slukket eller afbrudt brat
krybe langs panelerne,3,0,A,abstract misinterpretation,bevæge sig langsomt på alle fire
krybe langs panelerne,3,3,D,concrete misinterpretation,bevæge sig langsomt på alle fire i kanten af et rum så kroppen er i kontakt med træpaneler på væggen
tabe både næse og mund,3,0,A,random definition,"vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv"
tabe både næse og mund,3,1,B,abstract misinterpretation,skælde voldsomt ud; blive meget vred
ligge lige til højrebenet,4,0,A,random definition,bedrage en mand ved at have et seksuelt forhold til hans kone
ligge lige til højrebenet,4,1,B,concrete misinterpretation,ligge godt til at sparke med højre ben -- om bold
ligge lige til højrebenet,4,2,C,abstract misinterpretation,"være nemmere at udføre ved at støtte på højre ben -- om træningsøvelse, yogastilling ellerlign."
gaven der bliver ved med at give,2,2,C,concrete misinterpretation,en gave som kan gives videre
tage pungen frem,3,0,A,concrete misinterpretation,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse
tage pungen frem,3,1,B,random definition,blive årsag til sin egen ulykke
"villa, Volvo og vovhund",3,0,A,concrete misinterpretation,eje villa og en bil af mærket Volvo og holde hund som kæledyr
"villa, Volvo og vovhund",3,2,C,abstract misinterpretation,et liv præget af svenske værdier
kæden er hoppet af,3,1,B,abstract misinterpretation,"noget er gået i stykker, men kan repareres igen"
kæden er hoppet af,3,2,C,concrete misinterpretation,"en kæde der forbinder to tandhjul, er sprunget af det ene eller begge tandhjul"
døden skal have en årsag,2,1,B,abstract misinterpretation,bruges for at udtrykke at noget bliver grundigt forklaret
der ryger en finke af panden,3,0,A,random definition,dø
der ryger en finke af panden,3,3,D,abstract misinterpretation,der kommer børn ud af det
få enden på komedie,3,0,A,abstract misinterpretation,udbryde voldsom latter; grine højlydt
få enden på komedie,3,2,C,random definition,"undlader man at holde opsyn, fører det til kåd opførsel og uorden"
fiske i rørte vande,2,3,D,abstract misinterpretation,forsøge at udnytte at andre er en i udsat position -- ofte i romantisk henseende
bide sig fast,2,0,A,abstract misinterpretation,kæmpe ihærdigt med noget der er svært
slå to fluer med ét smæk,2,0,A,concrete misinterpretation,"ramme to fluer i én, samlet bevægelse med hånden, fx med en fluesmækker"
stå malet i ansigtet på nogen,3,1,B,random definition,hverken noget drikkeligt eller noget spiseligt
stå malet i ansigtet på nogen,3,2,C,concrete misinterpretation,være skrevet i panden eller kinderne på nogen
noget kan blive både en dreng og en pige,3,1,B,abstract misinterpretation,bruges for at udtrykke usikkerhed om hvorvidt man kan lide noget
noget kan blive både en dreng og en pige,3,3,D,concrete misinterpretation,der er en periode under en graviditet hvor man ikke kender kønnet på et foster
vride bananen,4,0,A,concrete misinterpretation,"presse ud af en banan (regnorm, ..)"
vride bananen,4,1,B,abstract misinterpretation,stimulere en penis med hånden
vride bananen,4,3,D,random definition,"bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt"
ikke lægge fingrene imellem,3,0,A,random definition,man skal ikke bygge noget på forventninger eller usikre formodninger
ikke lægge fingrene imellem,3,1,B,abstract misinterpretation,ikke blande sig i andres konflikt
åbne sit hjerte,2,0,A,abstract misinterpretation,udtrykke stærke og kærlige følelser; erklære sin kærlighed til en person
gå rundt med noget i maven,3,1,B,random definition,være ekstremt fascineret af eller forelsket i
gå rundt med noget i maven,3,3,D,abstract misinterpretation,have dårlig samvittighed fordi man ikke har påtaget sig en vigtig opgave
helt ude i skoven,2,1,B,abstract misinterpretation,i et øde område langt fra byer; i den vilde natur
klæder skaber folk,2,0,A,concrete misinterpretation,tøj er med til at forme en persons identitet
op ad bakke,2,2,C,concrete misinterpretation,i retning opad langs en stigning i landskabet
Lars Tyndskids mark,3,1,B,abstract misinterpretation,sted hvor hjemløse og socialt udstødte holder til
Lars Tyndskids mark,3,3,D,random definition,påtage sig en ubehagelig og evt. skæbnesvanger opgave sådan at en anden slipper for den
"går den, så går den",4,1,B,concrete misinterpretation,noget er i gang og fortsætter med at være det
"går den, så går den",4,2,C,random definition,have nogens hele opmærksomhed; have fuld kontrol med nogen
"går den, så går den",4,3,D,abstract misinterpretation,tingene er oftest nøjagtig som de tager sig ud
"højt at flyve, dybt at falde",3,0,A,abstract misinterpretation,i sidste ende går det ud over dig selv hvis du opfører dig dårligt
"højt at flyve, dybt at falde",3,3,D,concrete misinterpretation,"når man befinder sig højt oppe, er der også langt ned"
gøre sine hoser grønne,2,3,D,random definition,være helt ligeglad med nogen; ikke tage hensyn til nogen
gassen går af ballonen,2,3,D,concrete misinterpretation,gassen forlader ballonen fordi den ikke længere udgør en lukket beholder
køre kanonerne i stilling,3,0,A,concrete misinterpretation,placere kanoner i en position hvor er klar til at blive affyret
køre kanonerne i stilling,3,2,C,random definition,tjene lige så meget på én investering som man mister på en anden
en pose blandede bolsjer,4,0,A,random definition,"når alting ser værst ud, er det lige før det begynder at blive bedre"
en pose blandede bolsjer,4,1,B,abstract misinterpretation,"forskellig, men dog med samme oprindelse"
en pose blandede bolsjer,4,3,D,concrete misinterpretation,en pose med bolsjer af forskellig art
der må være en blonde,4,0,A,random definition,sørge for at fastholde nogens interesse eller indsats for noget
der må være en blonde,4,1,B,concrete misinterpretation,her mangler en blonde
der må være en blonde,4,3,D,abstract misinterpretation,der må være en anden løsning på problemet
gå op og ned som kong Volmers røv,3,0,A,random definition,vove sig et sted hen i kort tid; komme på et kort besøg
gå op og ned som kong Volmers røv,3,1,B,abstract misinterpretation,der er både gode og dårlige dage
have det hele i munden,2,1,B,random definition,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser"
"skomager, bliv ved din læst",3,0,A,concrete misinterpretation,en skomager bør ikke forlade sit værksted
"skomager, bliv ved din læst",3,2,C,abstract misinterpretation,pas dig selv og lad være med at blande dig i andres sager
vende tingene på hovedet,2,3,D,abstract misinterpretation,skifte radikalt mening i forhold til hvad man tidligere har ment
brænde sit lys i begge ender,2,2,C,abstract misinterpretation,vedligeholde en relation til to parter der har brudt med hinanden
vække den slumrende løve,2,1,B,concrete misinterpretation,vække en sovende løve
høre en knappenål falde til jorden,2,2,C,abstract misinterpretation,høre selv de svageste lyde
strø sand på,3,0,A,random definition,have visse fejl og mangler som ikke tidligere var der
strø sand på,3,2,C,abstract misinterpretation,skælde nogen ud; tale nedsættende om eller til en person
nogens eget kød og blod,2,3,D,concrete misinterpretation,nogens egen krop
vende på en tallerken,2,3,D,random definition,findes i et meget lille antal (fem eller færre)
være tredje hjul på vognen,2,2,C,concrete misinterpretation,"være et ekstra, tredje hjul på en vogn der kun har behov for to hjul for at køre"
være på tynd is,2,0,A,concrete misinterpretation,stå på et tyndt isdække der er i fare for at revne
kunne mere end sit fadervor,3,1,B,random definition,bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed
kunne mere end sit fadervor,3,2,C,abstract misinterpretation,være optaget af en åndelig side af tilværelsen som modsætning til end religion
få noget på halsen,3,0,A,concrete misinterpretation,få noget på sin hals
