talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
trykke på pauseknappen,3,1,B,abstract misinterpretation,være midlertidigt væk fra hinanden
få luft under vingerne,2,3,D,concrete misinterpretation,"flyve -- om fugle, insekter og andre dyr med vinger"
grave grøfter,2,0,A,concrete misinterpretation,grave lange render langs med veje
ramme hovedet på sømmet,3,0,A,concrete misinterpretation,ramme sømmet helt rigtigt (med en hammer eller lignende)
ramme hovedet på sømmet,3,1,B,abstract misinterpretation,udføre en opgave særdeles tilfredsstillende
binde på hænder og fødder,2,2,C,concrete misinterpretation,binde hænderne og fødderne sammen
binde på hænder og fødder,2,3,D,abstract misinterpretation,fratage modstanderen muligheden for at kæmpe videre; gøre ukampdygtig
der bliver ingen bukser ud af det skind,2,2,C,concrete misinterpretation,det her skind er uegnet til fremstilling af bukser
for lidt og for meget fordærver alting,3,2,C,abstract misinterpretation,man skal krydre maden med måde
for lidt og for meget fordærver alting,3,3,D,concrete misinterpretation,både en for stor og en for lille mængde af noget ødelægger et produkt
det stille vand har den dybe grund,2,3,D,concrete misinterpretation,en sø med stillestående vand er ofte meget dyb
man skal høre meget før ørerne falder af,2,1,B,concrete misinterpretation,ørerne kan holde til meget støj; ørerne går ikke i stykker af at lytte (intenst)
tomme tønder buldrer mest,2,0,A,concrete misinterpretation,tomme tønder larmer mere end fulde tønder
med skindet på næsen,2,1,B,abstract misinterpretation,lige netop klare sig igennem en umiddelbart umulig situation
"hvor der handles, der spildes",2,1,B,abstract misinterpretation,overforbrug belaster miljøet
med omvendt fortegn,2,1,B,concrete misinterpretation,"med det modsatte fortegn, fx i matematisk opgave"
ikke være til at styre på en hel tønde land,2,3,D,concrete misinterpretation,ikke være til at kontrollere på et specifikt område
have gode kort på hånden,2,0,A,concrete misinterpretation,have en sammensætning af spillekort i hånden der giver gunstige chancer for at vinde et igangværende kortspil
finde melodien,2,0,A,concrete misinterpretation,finde på en melodi til en sangtekst
en sund sjæl i et sundt legeme,2,0,A,concrete misinterpretation,en person er både mentalt og fysisk i god form
hverken se til højre eller venstre,3,1,B,concrete misinterpretation,se lige ud; undlade at dreje hovedet
hverken se til højre eller venstre,3,2,C,abstract misinterpretation,ikke lytte til indvendinger og gode råd fra andre
bo i en kuffert,2,1,B,abstract misinterpretation,bo på minimal plads og med minimalt forbrug af ressourcer
trække tænderne ud,2,3,D,concrete misinterpretation,fjerne tænder ved udtrækning
ved kasse ét,2,1,B,random definition,mennesket tænker først og fremmest på sin egen fordel når det skal vælge
ved kasse ét,2,3,D,concrete misinterpretation,ved kasse nr. 1 (i et supermarked eller lignende)
gnide salt i såret,2,3,D,concrete misinterpretation,gnubbe salt i et åbent sår
være livet om at gøre,2,3,D,abstract misinterpretation,være det vigtigste i nogens liv
"goddag mand, økseskaft",2,1,B,abstract misinterpretation,bruges for at udtrykke frustration
gå i nogens fodspor,2,0,A,abstract misinterpretation,"efterligne nogen, fx i forhold til udtalelse og påklædning"
"den der kommer først til mølle, får først malet",2,3,D,abstract misinterpretation,det kan betale sig at være i god tid
sætte ulven til at vogte får,2,3,D,abstract misinterpretation,udvise tillid til nogen der ikke har fortjent det
i mørke er alle katte grå,2,3,D,concrete misinterpretation,"i mørke fremstår katte grå, uanset hvilken farve de måtte have"
arbejde sin røv i laser,2,3,D,concrete misinterpretation,arbejde så meget at man får ondt i kroppen
skrive til skrivebordsskuffen,2,1,B,concrete misinterpretation,skrive et brev uden at sende det
toppen af kransekagen,2,2,C,concrete misinterpretation,den øverste del af en kransekage (med pynt)
mennesket lever ikke af brød alene,2,2,C,concrete misinterpretation,brød kan ikke alene udgøre en tilstrækkelig kost for mennesker
få noget med på vejen,2,3,D,concrete misinterpretation,få noget med når man tager afsted
være et hestehoved foran,3,1,B,abstract misinterpretation,have en fordel som andre ikke har
være et hestehoved foran,3,3,D,concrete misinterpretation,være foran med en afstand der svarer til længden på et hestehoved
have jord under neglene,2,3,D,concrete misinterpretation,have jord eller andet skidt under neglene
stikke hånden i en hvepserede,3,2,C,abstract misinterpretation,beskæftige sig med noget farligt på trods af advarsler
stikke hånden i en hvepserede,3,3,D,concrete misinterpretation,placere sin hånd i et hvepsebo
gå som varmt brød,2,3,D,abstract misinterpretation,"blive delt af mange brugere på internettet, fx via et socialt medie"
ikke kunne gøre en flue fortræd,2,1,B,concrete misinterpretation,ikke være i stand til at påføre en flue smerte
tale nogen efter munden,2,1,B,abstract misinterpretation,erklære sig helt enig med en anden person
bestemme hvor skabet skal stå,2,3,D,concrete misinterpretation,tage den endelige beslutning om hvor et skab skal placeres
man skal ikke skue hunden på hårene,2,3,D,concrete misinterpretation,man skal ikke vurdere en hund blot på dens pels
have en kage i ovnen,2,0,A,concrete misinterpretation,være ved at bage en kage
sådan spiller klaveret ikke,3,0,A,concrete misinterpretation,dette er en fejlagtig måde at spille klaverstemmen på
sådan spiller klaveret ikke,3,2,C,abstract misinterpretation,"bruges når nogen i et band, orkester ellerlign. spiller forkert"
tage ordet ud af munden på nogen,2,3,D,abstract misinterpretation,afbryde nogen der er ved at fortælle
den sne der faldt i fjor,2,1,B,concrete misinterpretation,den sne der faldt sidste år
trække noget ned over hovedet på nogen,2,2,C,concrete misinterpretation,trække noget (typisk af stof) ned over nogens hoved
sætte alle sejl til,2,2,C,concrete misinterpretation,sejle hurtigere end ellers (fordi alle sejl er oppe)
hår på brystet,2,1,B,concrete misinterpretation,med hårvækst på og omkring brystkassen
gøre kort proces,2,3,D,concrete misinterpretation,handle hurtigt og effektivt
dreje 180 grader,2,2,C,concrete misinterpretation,dreje en halv omgang
høre en lille fugl synge om noget,2,0,A,concrete misinterpretation,høre en (lille) fugl kvidre på en måde så det minder om tale eller sang
høre en lille fugl synge om noget,2,2,C,abstract misinterpretation,have en fornemmelse baseret på intuition
skrive noget på nogens konto,2,0,A,concrete misinterpretation,notere en udgift til senere betaling
ryge fredspibe,2,3,D,concrete misinterpretation,ryge pibe sammen som symbol på enighed
sætte en ny plade på grammofonen,2,3,D,concrete misinterpretation,afspille musik fra en ny plade på en grammofon
tage noget på sin kappe,2,3,D,abstract misinterpretation,sørge for at nogens problemer bliver taget hånd om
kaste et redningsbælte ud til nogen,2,2,C,concrete misinterpretation,hjælpe en druknende person ved at tilbyde vedkommende et hjælpemiddel der gør det nemmere at holde sig flydende i vandet
med bred pensel,2,3,D,concrete misinterpretation,med brede penselstrøg
hyppe sine egne kartofler,2,2,C,abstract misinterpretation,dyrke grøntsager i sin have til eget brug; være selvforsynende
smede mens jernet er varmt,2,0,A,concrete misinterpretation,bearbejde jern mens det er varmt nok
hellere lille og vågen end stor og doven,2,3,D,concrete misinterpretation,det er at foretrække at være lille og vågen fremfor stor og doven
langt mellem snapsene,2,2,C,concrete misinterpretation,lang tid mellem situationer hvor man drikker snaps
ligne udskidt æblegrød,2,3,D,concrete misinterpretation,have samme konsistens og udseende som afføring ved dårlig mave
mange bække små gør en stor å,2,0,A,concrete misinterpretation,der dannes en stor å når mange små vandløb løber sammen
glat som en ål,2,1,B,concrete misinterpretation,lige så glat som overfladen på en ål
mele sin egen kage,2,0,A,abstract misinterpretation,(være i stand til at) planlægge og udføre en svær opgave uden betydelig hjælp fra andre
kaste nogen for løverne,2,3,D,concrete misinterpretation,kaste nogen hen foran løver
ikke ane hvilket ben man skal stå på,2,3,D,concrete misinterpretation,ikke kunne afgøre hvilket ben man skal lægge sin vægt på
hellere ville brække en arm på langs end ..,2,0,A,abstract misinterpretation,bruges for at udtrykke modvilje og ubehag over nogens handlinger
hellere ville brække en arm på langs end ..,2,1,B,concrete misinterpretation,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation
åbne for sluserne,2,3,D,concrete misinterpretation,åbne for passage af vand et eller flere steder i et vandreguleringsanlæg
"operationen lykkedes, men patienten døde",3,2,C,abstract misinterpretation,"uanset hvor godt man udfører en opgave, forbereder sig på en situation eller lignende, er et godt resultat aldrig garanteret"
"operationen lykkedes, men patienten døde",3,3,D,concrete misinterpretation,"det kirurgiske indgreb forløb som ønsket, men patienten overlevede ikke på trods af indgrebet"
ude på dybt vand,2,1,B,concrete misinterpretation,i vand der er så dybt at man ikke kan bunde
sætte kroner og øre på noget,2,3,D,concrete misinterpretation,lægge sine penge et sted
underskrive sin egen dødsdom,2,1,B,concrete misinterpretation,underskrive en aftale der dømmer én selv til døden
drikke nogen under bordet,2,1,B,concrete misinterpretation,få nogen til at drikke så meget at de falder ned af deres stol og lander under bordet
kunne tælles på én hånd,2,2,C,concrete misinterpretation,være maksimalt fem
en streg i regningen,2,3,D,concrete misinterpretation,"en streg på en kvittering, bon eller lignende -- kan fx angive at en udgift er slettet"
surt løg,2,2,C,random definition,bortødsle noget værdifuldt på nogen der ikke forstår at værdsætte det
koste en bondegård,2,3,D,concrete misinterpretation,koste det samme som en gård med tilhørende land og evt. dyrehold
en tynd kop te,2,3,D,abstract misinterpretation,noget som ikke lever op til forventningerne
jeg vil æde min hat på ..,2,1,B,concrete misinterpretation,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer
én gang skal jo være den første,2,2,C,concrete misinterpretation,den første gang man udfører en specifik handling er præget af at man ikke har udført den før
trække en kanin op af hatten,2,1,B,concrete misinterpretation,trække en kanin op af en hat -- ofte i forbindelse med tryllekunst
ikke vide hvor man skal ende og begynde,2,2,C,concrete misinterpretation,være i tvivl om hvordan man starter og derefter også afslutter noget
i sit ansigts sved,2,2,C,concrete misinterpretation,med sved løbende ned ad ansigtet pga. voldsom varme eller anstrengelse
de tusind søers land,2,2,C,concrete misinterpretation,et land med tusind søer
slå nogen oven i hovedet med noget,2,2,C,concrete misinterpretation,slå nogen i hovedet med noget
nogen vender bøtten,2,0,A,concrete misinterpretation,"nogen vender en beholder på hovedet, typisk for at få al indholdet ud"
slå hovedet på sømmet,2,3,D,concrete misinterpretation,ramme et søm præcist med en hammer
rasle med sablen,2,1,B,concrete misinterpretation,gestikulere truende ved at vifte med et stikvåben i retning af en fjende
som en åben bog,2,2,C,abstract misinterpretation,uden overraskelser
som en åben bog,2,3,D,concrete misinterpretation,lige så nem at gå til som en bog der allerede er åben
holde gryden i kog,2,0,A,concrete misinterpretation,opretholde en så høj temperatur på en væske i en gryde at væsken fortsat er i kog
der er ikke nogen hjemme,2,3,D,concrete misinterpretation,en ellers beboet bolig er tom
til ingen verdens nytte,2,0,A,concrete misinterpretation,ikke til nytte for nogen eller noget i verden
mosekonen brygger,2,0,A,concrete misinterpretation,en mosekone fremstiller en drik ved opvarmning eller kogning
mosekonen brygger,2,2,C,abstract misinterpretation,noget ildevarslende er under opsejling; nogen smeder rænker
alle veje fører til Rom,2,2,C,concrete misinterpretation,følger man en bestemt vej længe nok ender man i Rom
helt nede i kælderen,2,1,B,concrete misinterpretation,"på nederste etage, typisk placeret helt eller delvis under jordniveau"
give faklen videre,3,0,A,abstract misinterpretation,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd
give faklen videre,3,1,B,concrete misinterpretation,give en (tændt) fakkel videre til nogen
give den en skalle,2,3,D,concrete misinterpretation,ramme noget med toppen af hovedet
kunne ligge på et meget lille sted,2,1,B,concrete misinterpretation,være tilstrækkelig lille til at befinde sig på et lille afgrænset område
kært barn har mange navne,2,1,B,concrete misinterpretation,de børn som man holder meget af får altid mange kælenavne
sætte sin hat som man vil,3,0,A,concrete misinterpretation,placere sin hat på den måde man selv ønsker
sætte sin hat som man vil,3,1,B,abstract misinterpretation,udføre noget uden at tage imod råd og vejledning fra andre
en kærlig hånd,2,1,B,concrete misinterpretation,en hånd placeret på nogen som udtryk for omsorg eller kærlighed
ikke kunne stikke en pind i en lort uden at ødelægge begge dele,2,3,D,concrete misinterpretation,ikke være i stand til at placere en pind i en hundelort uden både pind og hundelort går i stykker
blive taget med fingrene i kagedåsen,3,0,A,abstract misinterpretation,befinde sig i en ufordelagtig eller problematisk situation hvor man føler sig magtesløs
blive taget med fingrene i kagedåsen,3,3,D,concrete misinterpretation,blive opdaget i at være i færd med at stjæle kager fra en kagedåse
komme fra et hjem med klaver,2,1,B,concrete misinterpretation,være vokset op i et hjem hvor den ene eller begge forældre spillede klaver
stikke hovederne sammen,3,0,A,concrete misinterpretation,placere sine hoveder tæt ved hinanden
stikke hovederne sammen,3,1,B,abstract misinterpretation,forsøge at blive enige igen efter en diskussion eller et skænderi
ligne noget katten har slæbt ind,2,0,A,concrete misinterpretation,have et udseende tilsvarende noget en kat kunne bringe ind i et hus
en strid om kejserens skæg,2,0,A,abstract misinterpretation,en strid som ingen ved hvad handler om
koge suppe på noget,2,0,A,abstract misinterpretation,lave en (sladder)historie ud af noget småt eller betydningsløst
ballonen revner,2,2,C,concrete misinterpretation,der går hul på en ballon
bagsiden af medaljen,2,0,A,concrete misinterpretation,den side af en medalje som ikke er forsiden
stoppe mens legen er god,2,0,A,concrete misinterpretation,holde op med at lege mens legen er underholdende for alle involverede
vide hvad klokken er,2,1,B,concrete misinterpretation,være klar over hvad tid på døgnet det er
have ild i enden,2,2,C,abstract misinterpretation,"være i en overdrevent begejstret eller opstemt, evt. overspændt sindstilstand"
"ikke alt der glimter, er guld",2,1,B,concrete misinterpretation,"blot fordi noget glimter, er det ikke ensbetydende med at det er fremstillet af guld"
give sorteper videre,2,3,D,concrete misinterpretation,give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med
koge suppe på en pølsepind,2,0,A,concrete misinterpretation,(forsøge at) lave suppe ud af meget lidt
så slutter festen,2,2,C,concrete misinterpretation,nu er tidspunktet kommet hvor festen er forbi
have en aktie i,2,2,C,concrete misinterpretation,eje en andel af en virksomhed
spille fransk klovn,2,0,A,random definition,"bruges ofte (selv)ironisk for at udtrykke at selv en person uden de store forudsætninger, med lidt held, kan løse en bestemt opgave"
så let som at klø sig selv i nakken,2,3,D,concrete misinterpretation,uden større anstrengelse end den det kræver at klø sig i nakken
det er for sent at kaste brønden til når barnet er druknet,2,0,A,concrete misinterpretation,når et barn først er druknet kan det ikke reddes
alt lykkes i en gasovn,2,3,D,abstract misinterpretation,bruges som galgenhumoristisk kommentar til det at henrette mennesker ved at gasse dem
klappe hesten,2,3,D,concrete misinterpretation,klappe en hest
det pulveriserende liv,2,1,B,random definition,være i en meget vanskelig situation som påvirker én psykisk
lugten i bageriet,2,0,A,abstract misinterpretation,"positiv sideeffekt af en proces, handling eller lignende"
lugten i bageriet,2,2,C,concrete misinterpretation,den lugt der er i et bageri
brændt barn skyr ilden,2,1,B,concrete misinterpretation,"har et barn først brændt sig, omgås det ild med større forsigtighed"
"når krybben er tom, bides hestene",2,0,A,concrete misinterpretation,når der ikke er mere at spise kommer hestene op at slås
hovmod står for fald,2,2,C,concrete misinterpretation,"når man er arrogant, kan man nemt falde"
den sorte klap går ned,2,1,B,abstract misinterpretation,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri
sidste skud på stammen,2,1,B,abstract misinterpretation,sidste chance for at gøre noget
rydde nogen af vejen,2,1,B,concrete misinterpretation,"skubbe nogen eller på anden vis forårsage at nogen kommer væk fra en bestemt vej, bane eller lignende"
ryste som et espeløv,2,0,A,concrete misinterpretation,ryste lige så meget som et blad på et espetræ
vandene skilles,2,2,C,abstract misinterpretation,nogen går fra hinanden; nogen bliver skilt
skræve mere end bukserne kan holde,2,0,A,abstract misinterpretation,opføre sig vovet eller dumdristigt
hvor længe var Adam i Paradis,2,2,C,concrete misinterpretation,tidsangivelse svarende til den periode hvor Adam befandt sig i paradisets have
vide hvad vej vinden blæser,2,1,B,abstract misinterpretation,"kende til den nyeste udvikling inden for et felt, emne ellerlign."
i nøden skal man kende sine venner,2,0,A,concrete misinterpretation,i modgang er det vigtigt at være tæt på sine venner
"man ved hvad man har, men ikke hvad man får",2,3,D,concrete misinterpretation,man kender ikke fremtiden
ukrudt forgår ikke så let,2,0,A,concrete misinterpretation,det er svært at fjerne ukrudt
sidde med livet i hænderne,2,2,C,abstract misinterpretation,være i livsfare; befinde sig i en livstruende situation
lang som et ondt år,2,3,D,concrete misinterpretation,et langt år
"se sol, måne og stjerner",2,2,C,concrete misinterpretation,"kunne se både Solen, Månen og et udvalg af stjerner på himlen"
have foden under eget bord,2,0,A,abstract misinterpretation,have styr på sin økonomi
slag i ansigtet,2,2,C,concrete misinterpretation,et slag i nogens ansigt
slag i ansigtet,2,3,D,abstract misinterpretation,ubehagelig overraskelse
spænde livremmen ind,2,2,C,concrete misinterpretation,stramme sit bælte
den vej skal vi alle,2,0,A,concrete misinterpretation,bruges for at udpege en vej som alle skal gå på
være over alle bjerge,2,1,B,abstract misinterpretation,godt tilfreds med resultatet af noget
enhver er sig selv nærmest,2,1,B,abstract misinterpretation,det er bedre at ordne tingene selv end at vente på at andre gør det for en
slikke frimærker,2,0,A,concrete misinterpretation,slikke på bagsiden af frimærker
vende vrangen ud,3,0,A,concrete misinterpretation,vende et stykke tøj om sådan at sømmene vendes udad
vende vrangen ud,3,2,C,abstract misinterpretation,betro sig og vise sine inderste følelser
rive hovedet af nogen,2,0,A,concrete misinterpretation,adskille nogens hoved fra vedkommendes krop
tyv tror hvermand stjæler,2,0,A,concrete misinterpretation,en tyv har en forestilling om at alle mennesker stjæler
