talemaade_udtryk,yes_count,option_idx,option_letter,category,definition
for lidt og for meget fordærver alting,2,3,D,concrete misinterpretation,både en for stor og en for lille mængde af noget ødelægger et produkt
"ét spøg, et andet alvor",2,3,D,concrete misinterpretation,en vittighed og noget alvorligt
ikke ville røre noget med en ildtang,2,3,D,concrete misinterpretation,end ikke have lyst til at røre noget med en ildtang man holder i hånden
tomme tønder buldrer mest,2,0,A,concrete misinterpretation,tomme tønder larmer mere end fulde tønder
med skindet på næsen,2,1,B,abstract misinterpretation,lige netop klare sig igennem en umiddelbart umulig situation
slå til plukfisk,2,1,B,abstract misinterpretation,"udråbe en person til at have den aktive rolle i en leg, fx som den der skal fange de andre i tagfat"
få kærligheden at føle,2,1,B,concrete misinterpretation,"opleve kærlighed fra en forælder, en partner eller lignende"
asfaltere mens man kører,2,1,B,concrete misinterpretation,lægge asfalt for at skabe den vej man kører ad
med omvendt fortegn,2,1,B,concrete misinterpretation,"med det modsatte fortegn, fx i matematisk opgave"
ikke være til at styre på en hel tønde land,2,2,C,abstract misinterpretation,ikke have selvkontrol
man skal ikke give bagerbørn hvedebrød,2,0,A,concrete misinterpretation,børn af bagere har (formentlig) fri adgang til hvidt brød
have gode kort på hånden,2,0,A,concrete misinterpretation,have en sammensætning af spillekort i hånden der giver gunstige chancer for at vinde et igangværende kortspil
"hvad er højest, Rundetårn eller et tordenskrald?",2,1,B,concrete misinterpretation,bruges for at udtrykke at det nogen siger ikke giver mening
gennemgå med en tættekam,3,1,B,random definition,være på en hård prøve; være i centrum for nærgående opmærksomhed
gennemgå med en tættekam,3,2,C,abstract misinterpretation,lede efter noget der er meget småt og derfor svært at finde
en sund sjæl i et sundt legeme,2,0,A,concrete misinterpretation,en person er både mentalt og fysisk i god form
hverken se til højre eller venstre,2,1,B,concrete misinterpretation,se lige ud; undlade at dreje hovedet
bo i en kuffert,2,1,B,abstract misinterpretation,bo på minimal plads og med minimalt forbrug af ressourcer
hælde benzin på bålet,2,1,B,concrete misinterpretation,hælde benzin (eller anden brændbar væske) på et bål
trække tænderne ud,2,3,D,concrete misinterpretation,fjerne tænder ved udtrækning
ved kasse ét,4,1,B,random definition,mennesket tænker først og fremmest på sin egen fordel når det skal vælge
ved kasse ét,4,2,C,abstract misinterpretation,"ved en første, foreløbig bedømmelse"
ved kasse ét,4,3,D,concrete misinterpretation,ved kasse nr. 1 (i et supermarked eller lignende)
slag på tasken,2,2,C,abstract misinterpretation,indholdsløs snak; samtale uden vigtigt indhold
"når det regner på præsten, drypper det på degnen",2,0,A,abstract misinterpretation,ubehagelige situationer berører oftest flere mennesker på én gang
være livet om at gøre,2,3,D,abstract misinterpretation,være det vigtigste i nogens liv
dråben der får bægeret til at flyde over,2,2,C,concrete misinterpretation,den ekstra dråbe der gør at den samlede mængde væske netop ikke kan være i beholderen
"den der kommer først til mølle, får først malet",2,3,D,abstract misinterpretation,det kan betale sig at være i god tid
"når skidt kommer til ære, ved det ikke hvordan det skal være",3,1,B,concrete misinterpretation,"når noget dårligt ændrer sig til det bedre, går det alligevel ofte galt til sidst"
"når skidt kommer til ære, ved det ikke hvordan det skal være",3,3,D,abstract misinterpretation,man skal ikke pynte noget dårligt og forsøge at få det til at fremstå som noget godt
skrive til skrivebordsskuffen,2,1,B,concrete misinterpretation,skrive et brev uden at sende det
toppen af kransekagen,2,2,C,concrete misinterpretation,den øverste del af en kransekage (med pynt)
hellere se éns hæl end éns tå,2,3,D,random definition,"holde op mens man stadig har succes, inden det går galt"
skæg for sig og snot for sig,2,2,C,concrete misinterpretation,skæg og snot hører til to forskellige steder
tabe på gulvet,2,0,A,concrete misinterpretation,tabe en genstand på gulvet
slå knuder på sig selv,3,0,A,random definition,man bør ikke overdrive eller gå til yderligheder
slå knuder på sig selv,3,2,C,concrete misinterpretation,placere sine legemsdele så de krydser ind over hinanden
være et hestehoved foran,3,1,B,abstract misinterpretation,have en fordel som andre ikke har
være et hestehoved foran,3,3,D,concrete misinterpretation,være foran med en afstand der svarer til længden på et hestehoved
feje af bordet,3,0,A,abstract misinterpretation,tage alle stik hjem i kortspil
feje af bordet,3,3,D,concrete misinterpretation,feje noget væk fra et bord
"når nøden er størst, er hjælpen nærmest",2,0,A,concrete misinterpretation,når man har voldsomt brug for hjælp er den tæt på at ankomme
stikke hånden i en hvepserede,3,2,C,abstract misinterpretation,beskæftige sig med noget farligt på trods af advarsler
stikke hånden i en hvepserede,3,3,D,concrete misinterpretation,placere sin hånd i et hvepsebo
ikke kunne gøre en flue fortræd,2,1,B,concrete misinterpretation,ikke være i stand til at påføre en flue smerte
godt begyndt er halvt fuldendt,2,0,A,concrete misinterpretation,er man begyndt på noget er det det samme som at være halvvejs færdig med det
hr. og fru Danmark,2,3,D,random definition,"være indflydelsesrig, rig eller heldig og evt. opføre sig overlegent"
man skal ikke skue hunden på hårene,2,3,D,concrete misinterpretation,man skal ikke vurdere en hund blot på dens pels
sådan spiller klaveret ikke,2,2,C,abstract misinterpretation,"bruges når nogen i et band, orkester ellerlign. spiller forkert"
glansen går af Sankt Gertrud,2,0,A,abstract misinterpretation,"en person der tidligere har festet meget, får en roligere livsstil"
den sne der faldt i fjor,2,1,B,concrete misinterpretation,den sne der faldt sidste år
trække noget ned over hovedet på nogen,2,2,C,concrete misinterpretation,trække noget (typisk af stof) ned over nogens hoved
sætte alle sejl til,2,2,C,concrete misinterpretation,sejle hurtigere end ellers (fordi alle sejl er oppe)
hår på brystet,2,1,B,concrete misinterpretation,med hårvækst på og omkring brystkassen
gøre kort proces,2,3,D,concrete misinterpretation,handle hurtigt og effektivt
dreje 180 grader,2,2,C,concrete misinterpretation,dreje en halv omgang
skrive noget på nogens konto,2,0,A,concrete misinterpretation,notere en udgift til senere betaling
ryge fredspibe,2,3,D,concrete misinterpretation,ryge pibe sammen som symbol på enighed
sætte en ny plade på grammofonen,2,3,D,concrete misinterpretation,afspille musik fra en ny plade på en grammofon
kaste et redningsbælte ud til nogen,2,2,C,concrete misinterpretation,hjælpe en druknende person ved at tilbyde vedkommende et hjælpemiddel der gør det nemmere at holde sig flydende i vandet
leve på en sten,2,2,C,abstract misinterpretation,ikke følge med i nyhederne; ikke interessere sig for omverdenen
med bred pensel,2,3,D,concrete misinterpretation,med brede penselstrøg
hyppe sine egne kartofler,2,2,C,abstract misinterpretation,dyrke grøntsager i sin have til eget brug; være selvforsynende
hurtig i vendingen,2,2,C,concrete misinterpretation,"foretage et hurtigt skift i sin bevægelsesretning, evt. i et køretøj"
tjene ind på gyngerne hvad man har mistet på karrusellen,2,2,C,concrete misinterpretation,gå i nul hvad angår udgifter og indtægter på to forlystelser
hellere lille og vågen end stor og doven,2,3,D,concrete misinterpretation,det er at foretrække at være lille og vågen fremfor stor og doven
langt mellem snapsene,2,2,C,concrete misinterpretation,lang tid mellem situationer hvor man drikker snaps
ligne udskidt æblegrød,3,1,B,abstract misinterpretation,ikke gøre sig umage med sit udseende
ligne udskidt æblegrød,3,3,D,concrete misinterpretation,have samme konsistens og udseende som afføring ved dårlig mave
ikke lutter lagkage,3,0,A,abstract misinterpretation,sunde snacks (og ikke kun slik og søde sager)
ikke lutter lagkage,3,1,B,concrete misinterpretation,ikke blot lagkage (eller andre konditorkager)
mange bække små gør en stor å,2,0,A,concrete misinterpretation,der dannes en stor å når mange små vandløb løber sammen
gå op i sømmene,3,1,B,abstract misinterpretation,gå unødigt meget op i (ubetydelige) detaljer
gå op i sømmene,3,2,C,random definition,"opføre sig på en indbildsk, overlegen eller arrogant måde"
glat som en ål,2,1,B,concrete misinterpretation,lige så glat som overfladen på en ål
mele sin egen kage,2,0,A,abstract misinterpretation,(være i stand til at) planlægge og udføre en svær opgave uden betydelig hjælp fra andre
åbne for sluserne,2,3,D,concrete misinterpretation,åbne for passage af vand et eller flere steder i et vandreguleringsanlæg
"operationen lykkedes, men patienten døde",3,2,C,abstract misinterpretation,"uanset hvor godt man udfører en opgave, forbereder sig på en situation eller lignende, er et godt resultat aldrig garanteret"
"operationen lykkedes, men patienten døde",3,3,D,concrete misinterpretation,"det kirurgiske indgreb forløb som ønsket, men patienten overlevede ikke på trods af indgrebet"
efter alle kunstens regler,2,0,A,concrete misinterpretation,som følger en kunstarts regler
ude på dybt vand,2,3,D,abstract misinterpretation,om et emne man ikke ved noget om
sætte kroner og øre på noget,2,2,C,abstract misinterpretation,satse på at en bestemt begivenhed vil indtræffe
komme ud af fjerene,2,0,A,random definition,hellere begynde på noget ubehageligt eller vanskeligt straks og få det overstået end udskyde det
sætte kikkerten for det blinde øje,2,0,A,random definition,foretage sig noget som man godt ved kan blive farligt eller få uheldige konsekvenser
vippe af sadlen,2,3,D,abstract misinterpretation,(gøre tilnærmelser og) overtale en person til seksuelt samvær
riste over en sagte ild,2,3,D,abstract misinterpretation,fremstille eller udvikle over lang tid
kunne tælles på én hånd,2,2,C,concrete misinterpretation,være maksimalt fem
tage noget tungt,2,0,A,abstract misinterpretation,begynde på en stor og evt. besværlig opgave
tage noget tungt,2,3,D,concrete misinterpretation,løfte noget tungt
en tynd kop te,2,1,B,concrete misinterpretation,en kop te der ikke har trukket så længe
jeg vil æde min hat på ..,2,1,B,concrete misinterpretation,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer
én gang skal jo være den første,2,2,C,concrete misinterpretation,den første gang man udfører en specifik handling er præget af at man ikke har udført den før
trække en kanin op af hatten,2,1,B,concrete misinterpretation,trække en kanin op af en hat -- ofte i forbindelse med tryllekunst
ikke vide hvor man skal ende og begynde,2,2,C,concrete misinterpretation,være i tvivl om hvordan man starter og derefter også afslutter noget
i sit ansigts sved,2,2,C,concrete misinterpretation,med sved løbende ned ad ansigtet pga. voldsom varme eller anstrengelse
de tusind søers land,2,2,C,concrete misinterpretation,et land med tusind søer
sommerfuglestøv på vingerne,2,0,A,concrete misinterpretation,skæl på sommerfugles vinger
nogen vender bøtten,2,0,A,concrete misinterpretation,"nogen vender en beholder på hovedet, typisk for at få al indholdet ud"
være med på noderne,2,1,B,concrete misinterpretation,"kunne det man skal spille, udenad"
der falder brænde ned,3,0,A,random definition,"blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det"
der falder brænde ned,3,3,D,concrete misinterpretation,En bunke eller anden samling af brænde vælter og falder til jorden
holde gryden i kog,2,0,A,concrete misinterpretation,opretholde en så høj temperatur på en væske i en gryde at væsken fortsat er i kog
skyde over målet,2,2,C,concrete misinterpretation,ramme over et tiltænkt mål
der er ikke nogen hjemme,2,3,D,concrete misinterpretation,en ellers beboet bolig er tom
til ingen verdens nytte,2,0,A,concrete misinterpretation,ikke til nytte for nogen eller noget i verden
mosekonen brygger,2,2,C,abstract misinterpretation,noget ildevarslende er under opsejling; nogen smeder rænker
helt nede i kælderen,2,1,B,concrete misinterpretation,"på nederste etage, typisk placeret helt eller delvis under jordniveau"
der kom en mand med en slæde i vejen,3,1,B,concrete misinterpretation,en mand med en slæde spærrer vejen for videre færd
der kom en mand med en slæde i vejen,3,2,C,abstract misinterpretation,der dukkede hjælp op fra en uventet kant
give faklen videre,3,0,A,abstract misinterpretation,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd
give faklen videre,3,1,B,concrete misinterpretation,give en (tændt) fakkel videre til nogen
kunne ligge på et meget lille sted,2,1,B,concrete misinterpretation,være tilstrækkelig lille til at befinde sig på et lille afgrænset område
sætte sin hat som man vil,2,0,A,concrete misinterpretation,placere sin hat på den måde man selv ønsker
skulle bæres ud med fødderne først,2,0,A,concrete misinterpretation,være i en situation hvor det er nødvendigt at blive båret væk i en liggende stilling
en kærlig hånd,2,1,B,concrete misinterpretation,en hånd placeret på nogen som udtryk for omsorg eller kærlighed
ikke kunne stikke en pind i en lort uden at ødelægge begge dele,2,3,D,concrete misinterpretation,ikke være i stand til at placere en pind i en hundelort uden både pind og hundelort går i stykker
blive taget med fingrene i kagedåsen,2,3,D,concrete misinterpretation,blive opdaget i at være i færd med at stjæle kager fra en kagedåse
have et ben i hver lejr,2,0,A,abstract misinterpretation,være i tvivl; vakle mellem to modsatrettede holdninger
ligne noget katten har slæbt ind,2,0,A,concrete misinterpretation,have et udseende tilsvarende noget en kat kunne bringe ind i et hus
koge suppe på noget,2,0,A,abstract misinterpretation,lave en (sladder)historie ud af noget småt eller betydningsløst
ballonen revner,2,2,C,concrete misinterpretation,der går hul på en ballon
have ild i enden,2,2,C,abstract misinterpretation,"være i en overdrevent begejstret eller opstemt, evt. overspændt sindstilstand"
"ikke alt der glimter, er guld",2,1,B,concrete misinterpretation,"blot fordi noget glimter, er det ikke ensbetydende med at det er fremstillet af guld"
give sorteper videre,2,3,D,concrete misinterpretation,give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med
koge suppe på en pølsepind,3,0,A,concrete misinterpretation,(forsøge at) lave suppe ud af meget lidt
koge suppe på en pølsepind,3,3,D,abstract misinterpretation,"lave velsmagende mad ud af få, simple ingredienser"
så slutter festen,2,2,C,concrete misinterpretation,nu er tidspunktet kommet hvor festen er forbi
have en aktie i,3,1,B,abstract misinterpretation,"være involveret i en sag eller et foretagende, ofte uønsket eller uforskyldt"
have en aktie i,3,2,C,concrete misinterpretation,eje en andel af en virksomhed
træde op på den store klinge,3,0,A,random definition,komme i håndgemæng eller slåskamp med
træde op på den store klinge,3,1,B,concrete misinterpretation,skifte til højeste gear
spille fransk klovn,2,0,A,random definition,"bruges ofte (selv)ironisk for at udtrykke at selv en person uden de store forudsætninger, med lidt held, kan løse en bestemt opgave"
en ulykke kommer sjældent alene,2,0,A,concrete misinterpretation,en ulykke sker for det meste samtidig med flere andre ulykker
så let som at klø sig selv i nakken,2,3,D,concrete misinterpretation,uden større anstrengelse end den det kræver at klø sig i nakken
det er for sent at kaste brønden til når barnet er druknet,3,0,A,concrete misinterpretation,når et barn først er druknet kan det ikke reddes
det er for sent at kaste brønden til når barnet er druknet,3,3,D,abstract misinterpretation,man skal handle mens man har muligheden
alt lykkes i en gasovn,2,3,D,abstract misinterpretation,bruges som galgenhumoristisk kommentar til det at henrette mennesker ved at gasse dem
det pulveriserende liv,2,0,A,abstract misinterpretation,det liv som ødelægger en
brændt barn skyr ilden,2,1,B,concrete misinterpretation,"har et barn først brændt sig, omgås det ild med større forsigtighed"
"når krybben er tom, bides hestene",2,0,A,concrete misinterpretation,når der ikke er mere at spise kommer hestene op at slås
grave sin egen grav,2,3,D,concrete misinterpretation,selv grave det hul i jorden der skal udgøre ens grav
slå op i banen,2,0,A,random definition,ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave
ryste som et espeløv,2,0,A,concrete misinterpretation,ryste lige så meget som et blad på et espetræ
gå uden om noget som katten om den varme grød,2,0,A,concrete misinterpretation,gå uden om noget på samme måde som en kat der går udenom en skål med varm grød
føre til torvs,3,0,A,random definition,være i en situation hvor éns argumenter er utilstrækkelige eller uholdbare; være i en situation som man har svært ved at magte
føre til torvs,3,2,C,abstract misinterpretation,slippe op; løbe tør for
skræve mere end bukserne kan holde,2,0,A,abstract misinterpretation,opføre sig vovet eller dumdristigt
hvor længe var Adam i Paradis,2,2,C,concrete misinterpretation,tidsangivelse svarende til den periode hvor Adam befandt sig i paradisets have
vide hvad vej vinden blæser,2,1,B,abstract misinterpretation,"kende til den nyeste udvikling inden for et felt, emne ellerlign."
holde skindet på næsen,2,0,A,random definition,være overlegen eller arrogant; føle sig betydningsfuld
lige børn leger bedst,2,0,A,concrete misinterpretation,"børn der er lige gamle, har stor glæde af hinanden"
ukrudt forgår ikke så let,2,0,A,concrete misinterpretation,det er svært at fjerne ukrudt
have en heldig hånd,2,1,B,concrete misinterpretation,have gode kort på hånden i et kortspil
sidde med livet i hænderne,2,2,C,abstract misinterpretation,være i livsfare; befinde sig i en livstruende situation
"se sol, måne og stjerner",2,0,A,abstract misinterpretation,kunne overskue en kompleks sag eller situation
"se sol, måne og stjerner",2,2,C,concrete misinterpretation,"kunne se både Solen, Månen og et udvalg af stjerner på himlen"
gale katte får revne skind,2,0,A,abstract misinterpretation,man risikerer altid noget når man handler
slag i ansigtet,2,3,D,abstract misinterpretation,ubehagelig overraskelse
spænde livremmen ind,2,2,C,concrete misinterpretation,stramme sit bælte
på éns glatte ansigt,4,0,A,abstract misinterpretation,baseret på udseende og ydre fremtoning; uden at tage højde for indre liv
på éns glatte ansigt,4,1,B,concrete misinterpretation,"direkte på ansigtshud (især om kosmetik, cremer eller lignende)"
på éns glatte ansigt,4,2,C,random definition,"i en usikker, risikofyldt eller vanskelig situation; i knibe"
save den gren over man selv sidder på,2,3,D,concrete misinterpretation,sidde på en gren man er i færd med at save over
slikke frimærker,2,0,A,concrete misinterpretation,slikke på bagsiden af frimærker
træerne vokser ikke ind i himlen,2,2,C,concrete misinterpretation,der er en grænse for hvor høje træer kan blive
vende vrangen ud,3,0,A,concrete misinterpretation,vende et stykke tøj om sådan at sømmene vendes udad
vende vrangen ud,3,2,C,abstract misinterpretation,betro sig og vise sine inderste følelser
rive hovedet af nogen,2,0,A,concrete misinterpretation,adskille nogens hoved fra vedkommendes krop
tyv tror hvermand stjæler,2,0,A,concrete misinterpretation,en tyv har en forestilling om at alle mennesker stjæler
som skidt fra en spædekalv,2,0,A,concrete misinterpretation,som afføring fra en nyfødt kalv
