talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
nye koste fejer bedst,2,0,en ny kost fejer bedre end en gammel og slidt kost,nyt er altid bedre end gammelt blot fordi det er nyt,DISCREPANCY
lyse i kuld og køn,2,0,vække opsigt pga. sine smykker eller fine påklædning,anerkende officielt,DISCREPANCY
ål i strømperne,2,0,vittigheder; underholdende påfund,folder i strømper der er gledet ned ad benet,DISCREPANCY
få fingrene i fedtefadet,3,1,"(uventet) komme i en fordelagtig situation, fx fordi man kender de rette personer","rode sig ud i en vanskelig, ubehagelig eller tvivlsom situation",DISCREPANCY
rene ord for pengene,1,3,det bedste af sin art,udtalelse der ikke kan misforstås,DISCREPANCY
is i maven,2,3,"stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om","ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning",DISCREPANCY
ikke lade solen gå ned over sin vrede,0,3,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY
uden for lands lov og ret,2,1,uden de regler der ellers ville gælde,i et øde område fjernt fra større byer,DISCREPANCY
ikke fugls føde,0,3,"vanskelig eller uigennemskuelig opgave, aktivitet ellerlign.",ingenting; intet som helst,DISCREPANCY
bidt af en gal skuespiller,3,0,bruges om en meget uheldig eller ærgerlig situation,overordentlig begejstret for skuespil,DISCREPANCY
ramme hovedet på sømmet,1,3,udføre en opgave særdeles tilfredsstillende,udtrykke præcist; udtrykke det væsentlige,DISCREPANCY
træde af på naturens vegne,3,2,afholde sig fra materielle goder af miljømæssige hensyn,trække sig tilbage for at forrette sin nødtørft,DISCREPANCY
for lidt og for meget fordærver alting,3,0,både en for stor og en for lille mængde af noget ødelægger et produkt,man bør ikke overdrive eller gå til yderligheder,DISCREPANCY
"ét spøg, et andet alvor",3,0,en vittighed og noget alvorligt,man bør holde det morsomme og det alvorlige ved en sag adskilt,DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
gå op i en spids,0,2,"gå meget op i detaljer; lægge stor vægt på detaljer og nuancer, fx i forbindelse med løsningen af et problem",udvikle sig i en retning hvor ingen løsning er mulig,DISCREPANCY
der er løbet meget vand gennem åen siden ..,3,0,meget vand er løbet gennem en å i en specifik tidsperiode,"noget der passer godt med nogens ønsker, hensigter eller meninger",DISCREPANCY
varme nogens ører,0,3,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY
få kærligheden at føle,1,3,"opleve kærlighed fra en forælder, en partner eller lignende",blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,DISCREPANCY
som en brækket arm,3,1,nøjagtig lige så smertefuldt som at få et knoglebrud i armen,elendigt; talentløst,DISCREPANCY
tabe småkagerne,1,0,give efter for andres pres; lade sig overtale,miste forstanden eller besindelsen; gøre eller sige noget dumt,DISCREPANCY
ved kasse ét,2,0,"ved en første, foreløbig bedømmelse","bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",DISCREPANCY
slag på tasken,2,3,indholdsløs snak; samtale uden vigtigt indhold,"omtrentlig beregning af nogets størrelse, omfang eller antal",DISCREPANCY
"når det regner på præsten, drypper det på degnen",0,2,ubehagelige situationer berører oftest flere mennesker på én gang,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode",DISCREPANCY
komme ind med firetoget,1,3,så hurtigt eller kraftfuldt som muligt,"komme udefra, fx fra Provinsen til København, som ung og uerfaren og derfor lidt naiv",DISCREPANCY
det glatte lag,2,3,et lag med en glat overflade,sønderlemmende kritik; voldsomt verbalt angreb,DISCREPANCY
guds ord fra landet,1,2,håndskrevne noter i marginen på fx en bog,uerfaren og naiv ung pige,DISCREPANCY
feje af bordet,0,2,tage alle stik hjem i kortspil,forkaste; afvise,DISCREPANCY
"når nøden er størst, er hjælpen nærmest",0,1,når man har voldsomt brug for hjælp er den tæt på at ankomme,"når alting ser værst ud, er det lige før det begynder at blive bedre",DISCREPANCY
vise nogen vintervejen,0,2,bruge alt for stærke midler i forhold til situationen; overdrive; overreagere,afvise nogen; vende nogen ryggen,DISCREPANCY
krølle på halen,2,0,menneske der ved nytænkning eller utraditionel væremåde skaber røre omkring sig,overraskende eller finurlig (afsluttende) detalje i en historie eller lignende,DISCREPANCY
levende lig,1,3,person der snart vil dø,person der har det meget dårligt fysisk og psykisk,DISCREPANCY
ikke nå nogen til sokkeholderne,1,3,ikke have succes med at gøre tilnærmelser til nogen,have meget ringe evner i forhold til en anden,DISCREPANCY
med mand og mus,1,3,med alle i en husstand; med alle der bor på gården,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY
puste i nakken,1,0,altid være i nogens bevidsthed,overvåge; kontrollere,DISCREPANCY
gøre kort proces,3,2,handle hurtigt og effektivt,"handle hurtigt og uden omsvøb, ofte sådan at det går ud over andre",DISCREPANCY
i en snæver vending,2,0,sagt på en måde som er meget entydig,i en situation hvor man har lidt travlt og er i bekneb; når det skal gå lidt hurtigt og være lidt nemt,DISCREPANCY
havkat i hyttefadet,3,0,"der er rigeligt, og der bliver ikke sparet på noget",menneske der ved nytænkning eller utraditionel væremåde skaber røre omkring sig,DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
hyppe sine egne kartofler,2,3,dyrke grøntsager i sin have til eget brug; være selvforsynende,pleje sine egne interesser,DISCREPANCY
langt mellem snapsene,2,0,lang tid mellem situationer hvor man drikker snaps,få højdepunkter eller interessante begivenheder,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
frem og tilbage er lige langt,1,3,ruten ud og ruten hjem er den samme,bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser,DISCREPANCY
gå op i sømmene,1,0,gå unødigt meget op i (ubetydelige) detaljer,bryde psykisk sammen; gå amok,DISCREPANCY
mele sin egen kage,0,2,(være i stand til at) planlægge og udføre en svær opgave uden betydelig hjælp fra andre,pleje sine egne interesser uden at tage hensyn til andre; kun tænke på sig selv,DISCREPANCY
gå forkert i byen,1,0,"kede sig i samvær med andre, fx på en bytur",tage fejl,DISCREPANCY
hellere ville brække en arm på langs end ..,0,3,bruges for at udtrykke modvilje og ubehag over nogens handlinger,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY
"operationen lykkedes, men patienten døde",3,1,"det kirurgiske indgreb forløb som ønsket, men patienten overlevede ikke på trods af indgrebet",bruges for at udtrykke at der er blevet brugt mange resurser på at opnå et resultat der ikke er tilfredsstillende eller decideret strider mod det ønskede,DISCREPANCY
sætte kroner og øre på noget,2,0,satse på at en bestemt begivenhed vil indtræffe,fastsætte en pris på noget; præcisere et beløb,DISCREPANCY
ligeved og næsten slår ingen mand af hesten,2,1,hvis man gør tingene sjusket eller delvist kan man ikke forvente et godt resultat,"hvis man har ramt forbi eller lidt nederlag, er det ligegyldigt hvor meget eller lidt man har fejlet",DISCREPANCY
have flossede kanter,0,2,være flosset langs kanten -- fx om bog,have visse fejl og mangler som ikke tidligere var der,DISCREPANCY
komme ud af fjerene,1,2,(endelig) sige sin mening om nogen eller noget,(med besvær) stå ud af sin seng om morgenen,DISCREPANCY
smage som at række tungen ud ad vinduet,0,3,have en kølig og frisk smag; være forfriskende,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY
riste over en sagte ild,0,1,ihærdigt og vedholdende arbejde på at nå et mål man har sat sig for,udsætte for et langvarigt og ubehageligt pres,DISCREPANCY
tage noget tungt,0,1,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget,DISCREPANCY
hverken vådt eller tørt,3,1,være længe om at skride til konkret handling; være længe om at træffe en beslutning,hverken noget drikkeligt eller noget spiseligt,DISCREPANCY
jeg vil æde min hat på ..,1,2,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY
ikke vide hvor man skal ende og begynde,2,1,være i tvivl om hvordan man starter og derefter også afslutter noget,ikke vide hvordan man skal handle eller komme i gang med noget,DISCREPANCY
nogen vender bøtten,0,3,"nogen vender en beholder på hovedet, typisk for at få al indholdet ud",forholdet vendes om; noget tager en ny (og modsat) vending eller drejning,DISCREPANCY
rasle med sablen,1,3,gestikulere truende ved at vifte med et stikvåben i retning af en fjende,true med anvendelse af (militære eller politiske) magtmidler,DISCREPANCY
som en åben bog,3,1,lige så nem at gå til som en bog der allerede er åben,uden besvær,DISCREPANCY
mosekonen brygger,2,1,noget ildevarslende er under opsejling; nogen smeder rænker,det er tåget,DISCREPANCY
give faklen videre,0,2,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd,"overlade et hverv, fx en formands- eller ministerpost",DISCREPANCY
give den en skalle,3,2,ramme noget med toppen af hovedet,gøre en kraftig arbejdsindsats,DISCREPANCY
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
en kærlig hånd,1,0,en hånd placeret på nogen som udtryk for omsorg eller kærlighed,"bruges i udtryk om at nogen yder eller bør yde en engageret indsats for at hjælpe nogen, for at reparere noget, eller lignende",DISCREPANCY
koge suppe på noget,0,1,lave en (sladder)historie ud af noget småt eller betydningsløst,vedblivende og trættende behandle et velkendt og udtømt emne,DISCREPANCY
have ild i enden,0,1,tilbage til en oprindelig tilstand eller situation; tilbage til de (gode og enkle) egenskaber som noget oprindeligt havde,fare omkring; være meget foretagsom,DISCREPANCY
give sorteper videre,3,2,give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden,DISCREPANCY
råbe vagt i gevær,2,3,råbe advarende ordrer til en militærstyrke,"advare mod en bestemt, farlig eller uheldig udvikling",DISCREPANCY
koge suppe på en pølsepind,0,1,(forsøge at) lave suppe ud af meget lidt,beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne,DISCREPANCY
stikke næsen i sky,3,1,sætte sig høje mål; have høje ambitioner,optræde overlegent,DISCREPANCY
have en aktie i,2,3,eje en andel af en virksomhed,være aktiv deltager i; have indflydelse på,DISCREPANCY
træde op på den store klinge,1,3,skifte til højeste gear,anstrenge sig; arbejde hårdt,DISCREPANCY
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY
en køn plante,1,0,"person som er smuk, omsorgsfuld, god eller lignende",en uopdragen eller på anden måde ubehagelig person,DISCREPANCY
til at komme i papirmøllen,2,3,klar til at blive trykt (og publiceret),ubrugelig; kassabel,DISCREPANCY
lugten i bageriet,0,3,"positiv sideeffekt af en proces, handling eller lignende","reglerne, forholdene og atmosfæren et bestemt sted",DISCREPANCY
tage noget i stiv arm,1,3,acceptere såvel de ubehagelige som de behagelige sider ved en sag,bære modgang med styrke og sindsro,DISCREPANCY
sagen er bøf,0,2,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,sagen er i orden,DISCREPANCY
den sorte klap går ned,1,2,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY
rydde nogen af vejen,1,0,"skubbe nogen eller på anden vis forårsage at nogen kommer væk fra en bestemt vej, bane eller lignende",slå nogen ihjel,DISCREPANCY
vandene skilles,2,0,nogen går fra hinanden; nogen bliver skilt,meningerne bliver forskellige (pga. noget); der opstår uenighed (pga. noget),DISCREPANCY
blive lang i ansigtet,1,3,få folder og furer i ansigtet efterhånden som huden ældes,blive skuffet; føle sig snydt,DISCREPANCY
ligge lunt i svinget,0,3,finde sig i en krænkelse eller et overgreb uden at gøre gengæld,være i en fordelagtig position,DISCREPANCY
være på hælene,2,1,forholde sig afventende i forhold til en sag eller situation,have problemer; være meget træt og nedslidt,DISCREPANCY
sidde med livet i hænderne,2,3,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY
på éns glatte ansigt,0,3,baseret på udseende og ydre fremtoning; uden at tage højde for indre liv,med et tillidvækkende ydre som eneste garanti,DISCREPANCY
i sin visdom,3,0,ved anvendelse af ens fulde intellekt; vha. alle ens evner,"bruges ofte ironisk for at udtrykke at man mener at nogen har begået en fejl, opført sig tåbeligt eller lignende",DISCREPANCY
himmel og jord står i ét,3,1,bruges om en situation der er stærkt præget af uro og bekymring,det er et voldsomt uvejr med storm og regn eller sne,DISCREPANCY
hverken til at hugge eller stikke i,1,2,med så hård en overflade at den ikke kan gennemtrænges,umulig at overtale eller få til at skifte mening,DISCREPANCY
sur røv,2,1,det sidste stykke eller den sidste skive af noget spiseligt,bruges om en meget uheldig eller ærgerlig situation,DISCREPANCY
bukke begge ender sammen på,1,0,bøje en genstand så enderne mødes,give en omgang tæsk,DISCREPANCY
ride sin kæphest,1,3,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant,(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne,DISCREPANCY
tro som guld,1,2,meget sikker i sin overbevisning,meget trofast,DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
en fis i en hornlygte,2,1,forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft,"opblæst bagatel; flop, fiasko; en gang vrøvl",DISCREPANCY
surt show,0,3,et show med surhed som omdrejningspunkt,bruges som kommentar til en meget uheldig eller ærgerlig situation,DISCREPANCY
have nogen nede i sækken,0,3,"blive svag og eftergivende; blive overvældet af en følelse af ømhed, forelskelse eller lignende",være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander,DISCREPANCY
hælde ned ad brættet,1,3,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig,DISCREPANCY
erfaren mand er god at gæste,0,1,"det som man gør meget, bliver man god til",af erfarne folk får man gode råd,DISCREPANCY
jokke i spinaten,0,3,ikke være særlig begavet,utilsigtet sige eller gøre noget dumt,DISCREPANCY
oven i hatten,2,0,lagt eller kastet skødesløst og uden hensyn til at noget kan gå i stykker,uden at man har ydet en indsats eller betalt for noget bestemt; som supplement til det man har fået,DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
uden for pædagogisk rækkevidde,2,1,så besværet at man ikke kan hjælpes med pædagogiske metoder,i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én,DISCREPANCY
fyre kanonen af,2,1,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende",skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY
"mens græsset gror, dør horsemor",3,1,noget må slutte før noget andet kan begynde,noget tager så lang tid at man ikke når det mål man har sat sig,DISCREPANCY
smide over bord,3,0,kaste noget ud fra et fartøj og ned i vandet,sætte ud af kraft; kassere,DISCREPANCY
forslå som en skrædder i helvede,1,0,bryde sammen fysisk eller psykisk; ophøre (med at eksistere),være helt utilstrækkeligt i en bestemt henseende,DISCREPANCY
have fat i den lange ende,3,0,"have fat i den længste ende af noget, fx et tov",være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige,DISCREPANCY
sætte til vægs,1,0,passe på fordi noget (voldsomt) begynder eller finder sted,"besejre, overvinde; forhindre i at gøre sig gældende",DISCREPANCY
hu hej vilde dyr,3,0,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
støbe kuglerne,2,3,fremstille ammunition til skydevåben,"være den der udtænker, planlægger og styrer udførelsen af en idé",DISCREPANCY
vende og dreje hver femøre,0,3,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY
tale for sin syge moster,3,1,tale på en måde der er komplet uforståelig for andre; vrøvle,"snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende",DISCREPANCY
til den store guldmedalje,1,3,en præstation der kvalificerer til en stor medalje af guld,"energisk, dygtigt eller med held",DISCREPANCY
