talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
lyse i kuld og køn,2,0,vække opsigt pga. sine smykker eller fine påklædning,anerkende officielt,DISCREPANCY
ål i strømperne,2,0,vittigheder; underholdende påfund,folder i strømper der er gledet ned ad benet,DISCREPANCY
ligge med næsen i vejret,0,3,ligge på ryggen,være død og begravet,DISCREPANCY
have knive i ærmerne,3,2,medbringe noget overraskende eller overrumplende,vente på en lejlighed til at foretage et (uventet) angreb,DISCREPANCY
få fingrene i fedtefadet,3,1,"(uventet) komme i en fordelagtig situation, fx fordi man kender de rette personer","rode sig ud i en vanskelig, ubehagelig eller tvivlsom situation",DISCREPANCY
rene ord for pengene,1,3,det bedste af sin art,udtalelse der ikke kan misforstås,DISCREPANCY
ikke lade solen gå ned over sin vrede,0,3,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY
uden for lands lov og ret,2,1,uden de regler der ellers ville gælde,i et øde område fjernt fra større byer,DISCREPANCY
ikke fugls føde,0,3,"vanskelig eller uigennemskuelig opgave, aktivitet ellerlign.",ingenting; intet som helst,DISCREPANCY
træde af på naturens vegne,3,2,afholde sig fra materielle goder af miljømæssige hensyn,trække sig tilbage for at forrette sin nødtørft,DISCREPANCY
binde på hænder og fødder,3,0,fratage modstanderen muligheden for at kæmpe videre; gøre ukampdygtig,gøre fuldstændig afhængig,DISCREPANCY
for lidt og for meget fordærver alting,3,0,både en for stor og en for lille mængde af noget ødelægger et produkt,man bør ikke overdrive eller gå til yderligheder,DISCREPANCY
"ét spøg, et andet alvor",3,0,en vittighed og noget alvorligt,man bør holde det morsomme og det alvorlige ved en sag adskilt,DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
man skal høre meget før ørerne falder af,1,2,ørerne kan holde til meget støj; ørerne går ikke i stykker af at lytte (intenst),"bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende",DISCREPANCY
med skindet på næsen,1,3,lige netop klare sig igennem en umiddelbart umulig situation,"uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit",DISCREPANCY
der er løbet meget vand gennem åen siden ..,1,0,børn ændrer sig over tid,"noget der passer godt med nogens ønsker, hensigter eller meninger",DISCREPANCY
slå til plukfisk,0,2,"slække på sine ønsker, krav eller principper","tæske, gennembanke; ødelægge, nedbryde",DISCREPANCY
varme nogens ører,0,3,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY
få kærligheden at føle,1,3,"opleve kærlighed fra en forælder, en partner eller lignende",blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,DISCREPANCY
som en brækket arm,0,1,som gør en ked af det; sårende,elendigt; talentløst,DISCREPANCY
finde melodien,0,2,finde på en melodi til en sangtekst,"(atter) finde sammen i indbyrdes harmoni; (gen)finde indre glæde, ro, selvtillid eller lignende",DISCREPANCY
trække tænderne ud,2,1,pine sig selv eller andre,svække alvorligt; gøre uskadelig,DISCREPANCY
slag på tasken,2,3,indholdsløs snak; samtale uden vigtigt indhold,"omtrentlig beregning af nogets størrelse, omfang eller antal",DISCREPANCY
komme ind fra gaden,3,2,komme ind i et hus ad en gadedør,pludselig dukke op og gøre sig gældende i en bestemt sammenhæng uden forudgående erfaring,DISCREPANCY
tanker er toldfri,0,2,der er ingen toldafgift på tanker,ingen bliver straffet for sine tanker,DISCREPANCY
guds ord fra landet,0,2,religiøse udtryk der er populære i landområder,uerfaren og naiv ung pige,DISCREPANCY
vise nogen vintervejen,0,2,bruge alt for stærke midler i forhold til situationen; overdrive; overreagere,afvise nogen; vende nogen ryggen,DISCREPANCY
have rundsave på albuerne,0,1,"gøre noget der hjælper på kort sigt, men forværrer tingene på langt sigt",skubbe andre til side for at gavne sin egen karriere,DISCREPANCY
med mand og mus,1,3,med alle i en husstand; med alle der bor på gården,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY
lyve så stærkt som en hest kan rende,2,3,fortælle løgne i samme tempo som det hurtigste en hest kan løbe,lyve groft; fortælle mange løgne,DISCREPANCY
ikke have noget liv,0,2,være død; ikke længere være i live,aldrig mødes med andre mennesker i selskabeligt lag; være socialt udstødt,DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
med bred pensel,3,2,med brede penselstrøg,uden at gå i detaljer,DISCREPANCY
ligne udskidt æblegrød,3,2,have samme konsistens og udseende som afføring ved dårlig mave,se meget træt og sløj ud,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
frem og tilbage er lige langt,1,3,ruten ud og ruten hjem er den samme,bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser,DISCREPANCY
gå op i sømmene,1,0,gå unødigt meget op i (ubetydelige) detaljer,bryde psykisk sammen; gå amok,DISCREPANCY
hellere ville brække en arm på langs end ..,1,3,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY
skide grønne grise,0,2,bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier,"være meget bange, nervøs eller lignende",DISCREPANCY
have flossede kanter,1,2,"gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger",have visse fejl og mangler som ikke tidligere var der,DISCREPANCY
smage som at række tungen ud ad vinduet,0,3,have en kølig og frisk smag; være forfriskende,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY
riste over en sagte ild,3,1,fremstille eller udvikle over lang tid,udsætte for et langvarigt og ubehageligt pres,DISCREPANCY
tage noget tungt,0,1,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget,DISCREPANCY
jeg vil æde min hat på ..,1,2,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY
i sit ansigts sved,0,1,uden evne til at undertrykke symptomer på angst,under store anstrengelser,DISCREPANCY
som en åben bog,3,1,lige så nem at gå til som en bog der allerede er åben,uden besvær,DISCREPANCY
der kom en mand med en slæde i vejen,1,3,en mand med en slæde spærrer vejen for videre færd,der dukkede pludselige eller uforudsete forhindringer op,DISCREPANCY
give faklen videre,0,2,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd,"overlade et hverv, fx en formands- eller ministerpost",DISCREPANCY
give den en skalle,0,2,give klart udtryk for en holdning,gøre en kraftig arbejdsindsats,DISCREPANCY
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
koge suppe på noget,0,1,lave en (sladder)historie ud af noget småt eller betydningsløst,vedblivende og trættende behandle et velkendt og udtømt emne,DISCREPANCY
have ild i enden,3,1,brænde i den ene ende,fare omkring; være meget foretagsom,DISCREPANCY
give sorteper videre,3,2,give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden,DISCREPANCY
have rent mel i posen,0,1,ikke have andet end mel i posen,ikke have noget at skjule; være uskyldig,DISCREPANCY
koge suppe på en pølsepind,0,1,(forsøge at) lave suppe ud af meget lidt,beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne,DISCREPANCY
have en aktie i,2,3,eje en andel af en virksomhed,være aktiv deltager i; have indflydelse på,DISCREPANCY
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY
en køn plante,1,0,"person som er smuk, omsorgsfuld, god eller lignende",en uopdragen eller på anden måde ubehagelig person,DISCREPANCY
til at komme i papirmøllen,1,3,"klar til at blive makuleret, dvs. ødelagt",ubrugelig; kassabel,DISCREPANCY
det pulveriserende liv,0,2,det liv som ødelægger en,"samfundslivet eller erhvervslivet med den hektiske, opslidende aktivitet som det er forbundet med",DISCREPANCY
lugten i bageriet,0,3,"positiv sideeffekt af en proces, handling eller lignende","reglerne, forholdene og atmosfæren et bestemt sted",DISCREPANCY
sagen er bøf,0,2,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,sagen er i orden,DISCREPANCY
have bly i røven,0,1,noget forringes eller mister prestige fordi det bliver lettere tilgængeligt eller mere udbredt,være meget langsom,DISCREPANCY
den sorte klap går ned,1,2,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY
slå op i banen,0,2,ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave,(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre,DISCREPANCY
sidste skud på stammen,1,3,sidste chance for at gøre noget,person eller ting som er resultatet af den seneste udvikling inden for et område,DISCREPANCY
føre til torvs,0,1,være i en situation hvor éns argumenter er utilstrækkelige eller uholdbare; være i en situation som man har svært ved at magte,gøre bekendt i en større kreds; offentliggøre,DISCREPANCY
skræve mere end bukserne kan holde,0,2,opføre sig vovet eller dumdristigt,prøve på at gøre noget som det viser sig man ikke kan gennemføre,DISCREPANCY
sidde med livet i hænderne,2,3,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY
"se sol, måne og stjerner",0,1,kunne overskue en kompleks sag eller situation,være i en tilstand af stor nydelse eller stor smerte,DISCREPANCY
finde sine egne ben,1,3,blive dygtigere indenfor et specifikt (fagligt) emne,finde ud af hvad man mener om en bestemt sag,DISCREPANCY
på éns glatte ansigt,0,3,baseret på udseende og ydre fremtoning; uden at tage højde for indre liv,med et tillidvækkende ydre som eneste garanti,DISCREPANCY
himmel og jord står i ét,3,1,bruges om en situation der er stærkt præget af uro og bekymring,det er et voldsomt uvejr med storm og regn eller sne,DISCREPANCY
for nogens blå øjnes skyld,1,3,gøre noget for nogen fordi man synes godt om deres udseende,"bruges for at udtrykke at noget der ydes, udelukkende ydes af hensyn til modtageren uden fordel for giveren",DISCREPANCY
stege i sit eget fedt,0,3,"holde sig til sine egne; være del af en lille, lukket kreds af mennesker",tage de ubehagelige følger af sine handlinger eller udtalelser,DISCREPANCY
bukke begge ender sammen på,3,0,"ikke særlig god, klog eller dygtig",give en omgang tæsk,DISCREPANCY
rønnebærrene er sure,0,2,det er endnu ikke blevet (sen)sommer,bruges om det at man omtaler noget ellers attraktivt som værdiløst eller ligegyldigt når man ikke selv kan opnå det,DISCREPANCY
tro som guld,1,2,meget sikker i sin overbevisning,meget trofast,DISCREPANCY
så god som dagen er lang,2,3,meget hjælpsom og omsorgsfuld,ualmindelig sød og rar,DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
surt show,2,3,man skal ikke gøre sig til mere end man er; man skal ikke sætte sig større mål end man kan overkomme,bruges som kommentar til en meget uheldig eller ærgerlig situation,DISCREPANCY
have nogen nede i sækken,0,3,"blive svag og eftergivende; blive overvældet af en følelse af ømhed, forelskelse eller lignende",være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander,DISCREPANCY
give nogen horn i panden,3,0,udnytte sine muligheder; handle klogt,bedrage en mand ved at have et seksuelt forhold til hans kone,DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
tab og vind med samme sind,2,0,man skal være ligeglad med om man taber eller vinder,"man bør ikke tage et nederlag for tungt, lige så lidt som man bør hovere over en sejr",DISCREPANCY
uden for pædagogisk rækkevidde,2,1,så besværet at man ikke kan hjælpes med pædagogiske metoder,i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én,DISCREPANCY
fyre kanonen af,2,1,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende",skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY
det store dyr i åbenbaringen,3,2,en elefant i en religiøs betragtning,"noget som er nyt og anderledes, og som på kort tid har fået stor positiv eller negativ indflydelse inden for et bestemt (fagligt) område",DISCREPANCY
sætte nogen fluer i hovedet,1,0,irritere nogen over en længere periode,få nogen til at tro på en umulig plan eller fremtidsdrøm; give nogen falske forhåbninger,DISCREPANCY
kun en tåbe frygter ikke havet,1,2,dumme mennesker er ikke bange for havet,man skal være meget forsigtig når man har med havet at gøre,DISCREPANCY
hu hej vilde dyr,3,0,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
man har et standpunkt til man tager et nyt,2,0,man kan godt ændre mening,"omstændighederne kan gøre det nødvendigt, relevant eller praktisk (pludselig) at skifte mening eller holdning",DISCREPANCY
støbe kuglerne,0,3,udtænke måder at skade andre på,"være den der udtænker, planlægger og styrer udførelsen af en idé",DISCREPANCY
håbet er lysegrønt,2,0,håb associeres med farven lysegrøn,det er menneskets natur at bevare optimismen og se det positive,DISCREPANCY
vende og dreje hver femøre,0,3,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY
tale for sin syge moster,0,1,"være i en tilstand præget af forvirring, ophidselse, travlhed eller hektisk aktivitet","snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende",DISCREPANCY
til den store guldmedalje,0,3,i rigelige mængder; i overmål,"energisk, dygtigt eller med held",DISCREPANCY
stampe op af jorden,0,3,overhovedet ikke tro på hvad nogen siger,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser",DISCREPANCY
