talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
slå op i banen,0,2,ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave,(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre,DISCREPANCY
himmel og jord står i ét,3,1,bruges om en situation der er stærkt præget af uro og bekymring,det er et voldsomt uvejr med storm og regn eller sne,DISCREPANCY
stege i sit eget fedt,1,3,en begivenhed eller et fænomen bliver mindre spændende; nogen mister handlekraften eller interessen,tage de ubehagelige følger af sine handlinger eller udtalelser,DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
surt show,2,3,man skal ikke gøre sig til mere end man er; man skal ikke sætte sig større mål end man kan overkomme,bruges som kommentar til en meget uheldig eller ærgerlig situation,DISCREPANCY
hælde ned ad brættet,1,3,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig,DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
uden for pædagogisk rækkevidde,2,1,så besværet at man ikke kan hjælpes med pædagogiske metoder,i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én,DISCREPANCY
fyre kanonen af,2,1,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende",skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
hu hej vilde dyr,3,0,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
vende og dreje hver femøre,0,3,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY
til den store guldmedalje,0,3,i rigelige mængder; i overmål,"energisk, dygtigt eller med held",DISCREPANCY
