talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
holde på hat og briller,1,3,holde fast på sin hat og sine briller,passe på fordi noget (voldsomt) begynder eller finder sted,DISCREPANCY
andre boller på suppen,2,3,hjælpe nogen der befinder sig i en vanskelig situation,noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng,DISCREPANCY
ligne hinanden som to dråber vand,2,3,være ens på samme måde som to vanddråber er ens,ligne hinanden fuldstændig,DISCREPANCY
det fagreste træ i skoven,0,1,det største og mest levedygtige træ i skoven,det som er vigtigst og betyder mest,DISCREPANCY
tegn og underlige gerninger,3,1,mystiske tegn og handlinger som man ikke forstår,uforståelige eller forunderlige handlinger eller fænomener,DISCREPANCY
pakke ind i vat,2,0,beskytte noget mod fx slag ved at pakke det ind i vat,overbeskytte; forskåne for ubehagelige oplevelser,DISCREPANCY
få skovlen under,2,1,"lykkes med at få en skovl under det man gerne vil grave op, og dermed være tæt på at gennemføre sit foretagende",besejre eller få overtaget over,DISCREPANCY
grus i maskineriet,0,2,"grus, jord, sand ellerlign. i et maskineri","modgang, problemer, forhindringer eller lignende",DISCREPANCY
hele dynen,1,3,"en dyne i sin helhed, inkl. dun eller andet fyld, betræk mv.",alt det som er relevant i en bestemt sammenhæng,DISCREPANCY
have blod på hænderne,3,2,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse",have blodige eller grusomme handlinger på samvittigheden,DISCREPANCY
puste til gløderne,0,2,puste til en ild der er ved at dø ud,få en strid til at udvikle sig (igen),DISCREPANCY
skulle have skolepengene tilbage,2,1,være berettiget til erstatning af et undervisningsgebyr,være dum eller uvidende om et bestemt forhold,DISCREPANCY
skære ud i pap,0,1,forme en figur i materialet pap,forklare eller meddele på en meget grundig og letforståelig måde,DISCREPANCY
gå hjem og vug,3,1,gå hjem i seng,"forsvind; gå hjem, for der er ikke brug for dig",DISCREPANCY
krydse nogens vej,1,3,overskride nogens grænser,mødes med nogen undervejs,DISCREPANCY
være i stødet,0,2,"anstrenge sig for at formulere noget, fx fordi det er svært at udtale eller fordi man vil undvige et pågående spørgsmål",være oplagt (til noget),DISCREPANCY
det ene ord tager det andet,2,1,ord efterfølger ord i en talestrøm,bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed,DISCREPANCY
være ved sine sansers fulde brug,0,2,have kontrol med og udbytte af alle fem sanser,være i stand til at tænke klart; være tilregnelig,DISCREPANCY
have spidse albuer,3,2,have knogler der træder tydeligt frem på ens albuer,hævde sig på andres bekostning,DISCREPANCY
kaste med mudder,0,2,kaste med klumper af mudder,tale nedsættende og fornærmende om eller til nogen,DISCREPANCY
med arme og ben,2,3,hvor man gør brug af både sine arme og ben,af al magt; uhæmmet,DISCREPANCY
køre med klatten,0,1,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere,DISCREPANCY
den åbne dørs politik,1,0,den tilgang at gæster altid er velkomne,internationalt politisk princip om at lade flere stater i et bestemt område have lige vilkår mht. handel og skibsfart,DISCREPANCY
i den kolde sne,3,2,i en (større) bunke sne,i en tilstand af udelukkelse og forladthed,DISCREPANCY
et ord er et ord,3,1,en ubetydelighed; meget lidt,"det man med ord har lovet, er man forpligtet til at holde",DISCREPANCY
tampen brænder,2,0,der er ild i tovet,man er tæt ved at nå til en erkendelse,DISCREPANCY
en streg i luften,2,1,"en uventet og uønsket hændelse, handling eller lignende",en meget tynd person,DISCREPANCY
bide i græsset,2,0,spise græs og andre planter der ikke giver næring,lide nederlag; give op; give efter,DISCREPANCY
være solgt til stanglakrids,2,1,"være solgt for et (for) lavt beløb, svarende til prisen for et stykke lakrids",være ekstremt fascineret af eller forelsket i,DISCREPANCY
eneste hane i kurven,1,0,en kurv med flere høner men kun én hane,eneste hankønsvæsen i en gruppe eller forsamling,DISCREPANCY
rive nogen noget i næsen,1,3,under falske forudsætninger få nogen til at tro på at noget forholder sig på en bestemt måde,lade nogen høre for noget; kritisere nogen for noget,DISCREPANCY
"når solen går ned i en sæk, står den op i en bæk",3,1,i det tilfælde hvor solen går ned i en sæk vil den næste dag stå op i en bæk,"når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag",DISCREPANCY
tale samme sprog,3,0,beherske det samme sprog så man kan tale sammen uden tolk eller lign.,"have fælles opfattelse af en sag, hvilket gør det lettere at samarbejde og nå til enighed i sagen",DISCREPANCY
gå ud som et lys,1,2,forlade et rum eller en diskussion med ære og personlig værdighed,pludselig miste bevidstheden,DISCREPANCY
krybe langs panelerne,3,1,bevæge sig langsomt på alle fire i kanten af et rum så kroppen er i kontakt med træpaneler på væggen,"opføre sig meget tilbageholdende, fx af generthed eller skamfuldhed",DISCREPANCY
tage pungen frem,0,2,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse,(modvilligt) betale et stort beløb,DISCREPANCY
døden skal have en årsag,3,2,der skal altid anføres en dødsårsag,bruges for at udtrykke en almenmenneskelig tendens til at fremhæve én simpel og afgrænset årsagssammenhæng som forklaring på noget,DISCREPANCY
få enden på komedie,3,1,opleve slutningen af en komedie,få en endefuld; få prygl,DISCREPANCY
vride bananen,1,2,stimulere en penis med hånden,tisse,DISCREPANCY
gå rundt med noget i maven,2,0,være gravid,have (skjulte) ambitioner eller drømme om at blive noget bestemt,DISCREPANCY
tage hatten af for,0,3,skabe splid eller problemer for andre; forsøge at starte en konflikt (mellem andre) for derved at opnå noget selv,udtrykke respekt eller beundring for,DISCREPANCY
Lars Tyndskids mark,3,0,påtage sig en ubehagelig og evt. skæbnesvanger opgave sådan at en anden slipper for den,sted langt ude på landet,DISCREPANCY
"går den, så går den",1,0,noget er i gang og fortsætter med at være det,"man kan lige så godt prøve at udføre en ofte dristig, mistænkelig eller ufin handling, for hvis det lykkes, er det godt, og lykkes det ikke, er der sikkert ikke tabt noget ved det",DISCREPANCY
"højt at flyve, dybt at falde",3,2,"når man befinder sig højt oppe, er der også langt ned","jo større ambitioner eller succes man har, desto mere risikerer man at miste",DISCREPANCY
en pose blandede bolsjer,3,2,en pose med bolsjer af forskellig art,helhed bestående af indbyrdes meget forskelligartede elementer,DISCREPANCY
der må være en blonde,3,2,der må være en anden løsning på problemet,der er grænser for hvad man kan tillade sig,DISCREPANCY
gå op og ned som kong Volmers røv,3,2,bevæge sig på samme måde som kong Volmers bagdel når han går,"bruges om noget der er ujævnt, eller om et stykke arbejde der er dårligt udført",DISCREPANCY
nogens eget kød og blod,3,0,nogens egen krop,nogens (egen) blodsbeslægtede familie,DISCREPANCY
de ti bud,2,3,sidde usikkert i en stilling eller en position,"samling påbud, regler, forslag, løfter, ideer eller lignende med tilsigtet gennemslagskraft som om de kom fra en højere magt",DISCREPANCY
vide hvordan kagen skal skæres,3,1,være klar over hvordan man skal skære en kage ud,"vide hvordan et problem løses, eller hvordan noget gøres på den rigtige måde, fx hvordan samfundsgoder eller løn fordeles mest retfærdigt",DISCREPANCY
fyre godt op under kedlerne,3,0,tænde ild under mere end én kedel,forberede sig på eller yde en krævende eller voldsom præstation,DISCREPANCY
være femte hjul på vognen,1,0,"være et ekstra, femte hjul på en vogn der kun har behov for fire hjul for at køre",være malplaceret; være tilovers eller til besvær,DISCREPANCY
falde på et tørt sted,1,2,gå i stykker; blive ødelagt,være meget tiltrængt og velkommen,DISCREPANCY
ind til benet,3,1,(helt) ind til knoglen,til det centrale eller væsentlige af noget,DISCREPANCY
ligeud ad landevejen,2,3,kørselsretning uden sving og andre afvigelser fra ligeudkørsel,uden omsvøb; ukompliceret og ligetil,DISCREPANCY
der går inflation i noget,0,3,priserne stiger på en specifik vare eller varetype,noget forringes eller mister prestige fordi det bliver lettere tilgængeligt eller mere udbredt,DISCREPANCY
splitte mine bramsejl,3,0,i raseri ødelægge noget man har skabt,"bruges som mildt kraftudtryk for at understrege overraskelse, forskrækkelse, fortørnelse eller lignende",DISCREPANCY
nye koste fejer bedst,2,0,en ny kost fejer bedre end en gammel og slidt kost,nyt er altid bedre end gammelt blot fordi det er nyt,DISCREPANCY
der skal to til tango,3,2,det kræver to personer at danse dansen tango,en fælles aktivitet kræver indsats fra begge parter,DISCREPANCY
store ord og fedt flæsk,2,3,lange ord og fedtholdigt kød,tom snak eller tomme løfter,DISCREPANCY
lyse i kuld og køn,2,0,vække opsigt pga. sine smykker eller fine påklædning,anerkende officielt,DISCREPANCY
ligge med næsen i vejret,0,3,ligge på ryggen,være død og begravet,DISCREPANCY
bide nogen i haserne,2,3,bide nogen nederst i benet,komme lige efter nogen; være meget tæt på nogen; presse nogen,DISCREPANCY
tungen på vægtskålen,2,1,en tunge på en vægtskål,den afgørende stemme ved en afstemning eller lignende,DISCREPANCY
is i maven,2,3,"stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om","ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning",DISCREPANCY
ikke lade solen gå ned over sin vrede,1,3,ikke kunne glemme eller tilgive noget ubehageligt som en anden person har gjort mod én,glemme eller tilgive noget man er blevet vred over,DISCREPANCY
ikke større end tobak for en skilling,2,0,på størrelse med den mængde tobak man kan købe for en lille sum penge,meget lille af vækst eller størrelse,DISCREPANCY
stikke spaden i jorden,1,0,stikke en spade i jorden og begynde at grave,påbegynde et (stort) bygge- eller anlægsarbejde,DISCREPANCY
stå med håret ned ad nakken,0,3,stå med sit lange hår hængende løst,stå modløs og skuffet tilbage; være blevet svigtet eller narret,DISCREPANCY
uden for lands lov og ret,0,1,uden for et lands grænser og derfor ikke underlagt dets love,i et øde område fjernt fra større byer,DISCREPANCY
ligge og lure i vandskorpen,3,0,ligge på lur i vandoverfladen,være nært forestående eller snart bryde løs uden at ret mange venter det,DISCREPANCY
den ene tjeneste er den anden værd,1,2,en tjeneste har samme værdi som en anden tjeneste,"hvis man gør andre en tjeneste, kan man forvente at de gør gengæld en anden gang",DISCREPANCY
ikke fugls føde,1,3,man skal ikke beskylde eller kritisere nogen for noget som man selv (til en vis grad) kan beskyldes eller kritiseres for,ingenting; intet som helst,DISCREPANCY
have penge på kistebunden,0,2,have kontanter gemt nederst i en kiste (skjult under kistens øvrige indhold),have en (stor) opsparet sum penge,DISCREPANCY
trykke på pauseknappen,0,3,sætte noget på pause ved at trykke på en knap,midlertidigt sætte en udvikling i bero,DISCREPANCY
bidt af en gal skuespiller,2,0,bidt af en psykisk syg skuespiller,overordentlig begejstret for skuespil,DISCREPANCY
grave grøfter,0,1,grave lange render langs med veje,skabe splid og uenighed mellem to parter,DISCREPANCY
ramme hovedet på sømmet,2,3,bruges som kommentar til en meget uheldig eller ærgerlig situation,udtrykke præcist; udtrykke det væsentlige,DISCREPANCY
træde af på naturens vegne,3,2,afholde sig fra materielle goder af miljømæssige hensyn,trække sig tilbage for at forrette sin nødtørft,DISCREPANCY
få noget ud af systemet,2,0,fjerne noget uønsket fra et system,"slippe af med eller blive fri for en bestemt følelse, tanke, sygdom eller lignende",DISCREPANCY
vove det ene øje,2,0,vove at åbne et øje selvom man ikke vil afsløre at man er vågen,"risikere noget, fx penge eller troværdighed, ved at gøre eller sige noget bestemt; tage en chance",DISCREPANCY
for lidt og for meget fordærver alting,3,0,både en for stor og en for lille mængde af noget ødelægger et produkt,man bør ikke overdrive eller gå til yderligheder,DISCREPANCY
"ét spøg, et andet alvor",3,0,en vittighed og noget alvorligt,man bør holde det morsomme og det alvorlige ved en sag adskilt,DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
man skal høre meget før ørerne falder af,1,2,ørerne kan holde til meget støj; ørerne går ikke i stykker af at lytte (intenst),"bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende",DISCREPANCY
med skindet på næsen,1,3,lige netop klare sig igennem en umiddelbart umulig situation,"uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit",DISCREPANCY
der er løbet meget vand gennem åen siden ..,1,0,børn ændrer sig over tid,"noget der passer godt med nogens ønsker, hensigter eller meninger",DISCREPANCY
slå til plukfisk,3,2,tilberede en spisefisk (fx en torsk) ved at slå på den med en kødhammer,"tæske, gennembanke; ødelægge, nedbryde",DISCREPANCY
varme nogens ører,0,3,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY
få kærligheden at føle,1,3,"opleve kærlighed fra en forælder, en partner eller lignende",blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,DISCREPANCY
ben i næsen,1,0,mindske ambitionerne eller kravene; sænke standarden,"(være) dygtig, viljestærk og god til at klare sig",DISCREPANCY
som en brækket arm,3,1,nøjagtig lige så smertefuldt som at få et knoglebrud i armen,elendigt; talentløst,DISCREPANCY
man skal rejse sig ved det træ hvor man er faldet,3,1,man skal rejse sig der hvor man er faldet,"man skal kæmpe sig op med samme middel som var årsag til at man led nederlag, blev skadet eller lignende",DISCREPANCY
tabe småkagerne,2,0,tabe nogle småkager på gulvet,miste forstanden eller besindelsen; gøre eller sige noget dumt,DISCREPANCY
ikke være til at styre på en hel tønde land,2,1,ikke have selvkontrol,"være meget begejstret, engageret eller ustyrlig, fx i forbindelse med en leg eller en diskussion",DISCREPANCY
have nogen el. noget i kikkerten,2,1,se nogen eller noget gennem en kikkert,"have udset sig nogen eller noget til et bestemt formål, en bestemt opgave eller lignende",DISCREPANCY
hverken se til højre eller venstre,1,0,se lige ud; undlade at dreje hovedet,kun have tanke for én ting og ikke bekymre sig om andet,DISCREPANCY
bo i en kuffert,1,3,bo på minimal plads og med minimalt forbrug af ressourcer,"rejse eller flytte meget tit, fx fordi éns arbejde kræver det; ikke have et fast sted at bo",DISCREPANCY
ved kasse ét,2,0,"ved en første, foreløbig bedømmelse","bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",DISCREPANCY
slag på tasken,1,3,den ydre fremtoning af skønhed og storhed forsvinder,"omtrentlig beregning af nogets størrelse, omfang eller antal",DISCREPANCY
gnide salt i såret,3,1,gnubbe salt i et åbent sår,"forøge smerten og pinen, ofte den psykiske",DISCREPANCY
"når det regner på præsten, drypper det på degnen",0,2,ubehagelige situationer berører oftest flere mennesker på én gang,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode",DISCREPANCY
dråben der får bægeret til at flyde over,2,0,den ekstra dråbe der gør at den samlede mængde væske netop ikke kan være i beholderen,det der virker som den udløsende kraft; det der får tålmodigheden til at briste,DISCREPANCY
i mørke er alle katte grå,3,1,"i mørke fremstår katte grå, uanset hvilken farve de måtte have","den der ikke er synlig eller ikke skiller sig ud fra mængden, forbliver anonym",DISCREPANCY
skrive til skrivebordsskuffen,1,0,skrive et brev uden at sende det,"skrive (skøn)litterære tekster, men uden at have til hensigt at få dem udgivet",DISCREPANCY
toppen af kransekagen,2,3,den øverste del af en kransekage (med pynt),det bedste eller de dygtigste inden for et bestemt område,DISCREPANCY
det glatte lag,0,3,den bedste eller mest oplagte løsning på et problem,sønderlemmende kritik; voldsomt verbalt angreb,DISCREPANCY
gå i spagat over noget,3,2,kontrol med; styr på,blive stærkt følelsesmæssigt påvirket af noget,DISCREPANCY
fryse til is,0,2,nedkøle vand til is,bruges som udtryk for at man bliver overvældet af rædsel eller lignende,DISCREPANCY
penge lugter ikke,2,3,penge er blottet for menneskelige kvaliteter,"penge har deres værdi uanset hvorfra de stammer, eller hvordan de er tjent",DISCREPANCY
tabe på gulvet,0,1,tabe en genstand på gulvet,ødelægge eller forspilde nogens chancer eller muligheder for noget,DISCREPANCY
få noget med på vejen,3,0,få noget med når man tager afsted,få noget fortalt af andre som man evt. kan bruge fremover,DISCREPANCY
vifte nogen om næsen med noget,1,2,vifte med noget foran nogens næse,bruge noget som lokkemad over for nogen; stille nogen noget i udsigt,DISCREPANCY
den hellige grav er vel forvaret,2,1,en hellig grav overvåges og er i god stand,"alt er som det skal være, trods trusler og farer",DISCREPANCY
tanker er toldfri,1,2,have en (stor) opsparet sum penge,ingen bliver straffet for sine tanker,DISCREPANCY
satse alt på ét kort,0,2,satse alle sine penge på ét kort,satse alt på én gang,DISCREPANCY
parkere bussen,2,1,parkere en bus (der ikke længere er i drift),spille defensivt med mange markspillere i egen forsvarszone for at forhindre modstanderholdet i at score,DISCREPANCY
guds ord fra landet,0,2,religiøse udtryk der er populære i landområder,uerfaren og naiv ung pige,DISCREPANCY
blæse nogen en hatfuld,2,0,blæse hvad der svarer til en hatfuld pulver i hovedet på nogen,være helt ligeglad med nogen; ikke tage hensyn til nogen,DISCREPANCY
levende lig,1,3,person der snart vil dø,person der har det meget dårligt fysisk og psykisk,DISCREPANCY
tale nogen efter munden,2,0,sige det præcis samme som en anden; efterabe,være føjelig og give nogen ret selvom man ikke nødvendigvis er enig,DISCREPANCY
bestemme hvor skabet skal stå,3,2,tage den endelige beslutning om hvor et skab skal placeres,være den der bestemmer og har det sidste ord,DISCREPANCY
have rundsave på albuerne,3,1,være dygtig til gør-det-selv-arbejde,skubbe andre til side for at gavne sin egen karriere,DISCREPANCY
ikke nå nogen til sokkeholderne,1,3,ikke have succes med at gøre tilnærmelser til nogen,have meget ringe evner i forhold til en anden,DISCREPANCY
hr. og fru Danmark,1,0,Danmarks regent og dennes ægtefælle,den brede danske befolkning; danskere som de er flest,DISCREPANCY
vende hver en sten,1,0,vende fliser eller sten brugt som brolægning for at slide dem på den side der hidtil har vendt nedad,undersøge eller afprøve alle muligheder,DISCREPANCY
holde dampen oppe,3,2,fortsat engagere sig i noget som egentlig er forbi eller ikke længere findes,fortsætte på samme niveau med samme kraft og engagement,DISCREPANCY
med mand og mus,2,3,med en mand og en mus,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY
gå til makronerne,2,1,(begynde at) spise makroner der serveres ved et selskab,gå energisk i gang med noget og arbejde ihærdigt med det,DISCREPANCY
lyve så stærkt som en hest kan rende,2,3,fortælle løgne i samme tempo som det hurtigste en hest kan løbe,lyve groft; fortælle mange løgne,DISCREPANCY
den sne der faldt i fjor,1,0,den sne der faldt sidste år,"bruges om hvad der nu er forsvundet, glemt eller uden interesse",DISCREPANCY
puste i nakken,2,0,"stå så tæt på en anden person at den luft man udånder, rammer vedkommende i nakken",overvåge; kontrollere,DISCREPANCY
have nogen i sin hule hånd,3,0,"være i en problematisk situation hvor man føler sig magtesløs, evt. som følge af at man er blevet skuffet, svigtet eller narret",have nogens hele opmærksomhed; have fuld kontrol med nogen,DISCREPANCY
i en snæver vending,1,0,i en drejende bevægelse der er skarpvinklet,i en situation hvor man har lidt travlt og er i bekneb; når det skal gå lidt hurtigt og være lidt nemt,DISCREPANCY
vende den anden kind til,2,1,vende den modsatte kind til,finde sig i en krænkelse eller et overgreb uden at gøre gengæld,DISCREPANCY
ryge fredspibe,3,2,ryge pibe sammen som symbol på enighed,(forhandle med henblik på at) slutte fred eller indgå forlig,DISCREPANCY
stiv time,2,1,tidsrum hvor man er påvirket af rusmidler (og derfor ikke i stand til at handle forsvarligt),time betragtet som et langt (og krævende eller ubehageligt) tidsrum,DISCREPANCY
havkat i hyttefadet,2,0,en fisk af arten havkat i en kasse beregnet til opbevaring af fisk,menneske der ved nytænkning eller utraditionel væremåde skaber røre omkring sig,DISCREPANCY
lade fem og syv være lige,1,3,drømme stort uden hensyn til hvad der rent praktisk kan lade sig gøre,udvise ligegyldighed eller skødesløshed,DISCREPANCY
sætte en ny plade på grammofonen,3,2,afspille musik fra en ny plade på en grammofon,sige eller skrive noget andet end det man har sagt eller skrevet mange gange før,DISCREPANCY
kaste et redningsbælte ud til nogen,2,0,hjælpe en druknende person ved at tilbyde vedkommende et hjælpemiddel der gør det nemmere at holde sig flydende i vandet,hjælpe nogen der befinder sig i en vanskelig situation,DISCREPANCY
have ti tommelfingre,3,2,være god til at arbejde med hænderne; være dygtig til håndarbejde,være meget klodset; være fummelfingret,DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
med bred pensel,3,2,med brede penselstrøg,uden at gå i detaljer,DISCREPANCY
hyppe sine egne kartofler,2,3,dyrke grøntsager i sin have til eget brug; være selvforsynende,pleje sine egne interesser,DISCREPANCY
få fingeren ud,2,1,(endelig) give sin mening til kende i en diskussion,skynde sig at komme i gang med noget,DISCREPANCY
hellere lille og vågen end stor og doven,3,1,det er at foretrække at være lille og vågen fremfor stor og doven,det går udmærket an at være lille af vækst når man blot er kvik og energisk,DISCREPANCY
langt mellem snapsene,2,0,lang tid mellem situationer hvor man drikker snaps,få højdepunkter eller interessante begivenheder,DISCREPANCY
ligne udskidt æblegrød,3,2,have samme konsistens og udseende som afføring ved dårlig mave,se meget træt og sløj ud,DISCREPANCY
med hovedet under armen,0,3,med et hoved båret under den ene arm,uden at tænke sig om,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
frem og tilbage er lige langt,1,3,ruten ud og ruten hjem er den samme,bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser,DISCREPANCY
gå op i sømmene,3,0,gå i stykker på det sted hvor to dele er syet sammen,bryde psykisk sammen; gå amok,DISCREPANCY
gå forkert i byen,2,0,fare vild i en by,tage fejl,DISCREPANCY
slå hånden af nogen,2,1,slå nogen hårdt over fingrene,svigte nogen ved fx at afbryde kontakten med vedkommende,DISCREPANCY
hellere ville brække en arm på langs end ..,1,3,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY
"operationen lykkedes, men patienten døde",3,1,"det kirurgiske indgreb forløb som ønsket, men patienten overlevede ikke på trods af indgrebet",bruges for at udtrykke at der er blevet brugt mange resurser på at opnå et resultat der ikke er tilfredsstillende eller decideret strider mod det ønskede,DISCREPANCY
have flossede kanter,0,2,være flosset langs kanten -- fx om bog,have visse fejl og mangler som ikke tidligere var der,DISCREPANCY
smage som at række tungen ud ad vinduet,1,3,trække sig tilbage for at forrette sin nødtørft,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY
riste over en sagte ild,3,1,fremstille eller udvikle over lang tid,udsætte for et langvarigt og ubehageligt pres,DISCREPANCY
tage noget tungt,0,1,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget,DISCREPANCY
løvens gab,2,3,en løves mund,meget farligt eller ubehageligt sted,DISCREPANCY
jeg vil æde min hat på ..,1,2,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY
én gang skal jo være den første,2,0,den første gang man udfører en specifik handling er præget af at man ikke har udført den før,på et eller andet tidspunkt skal man gøre noget som man ikke har gjort før,DISCREPANCY
trække en kanin op af hatten,1,3,trække en kanin op af en hat -- ofte i forbindelse med tryllekunst,"gøre noget overraskende, fx komme med en ny og uventet oplysning i en debat for at skabe opmærksomhed",DISCREPANCY
vide hvordan landet ligger,1,0,vide hvordan et afgrænset landområde ser ud,være klar over den aktuelle situation,DISCREPANCY
ikke vide hvor man skal ende og begynde,2,1,være i tvivl om hvordan man starter og derefter også afslutter noget,ikke vide hvordan man skal handle eller komme i gang med noget,DISCREPANCY
i sit ansigts sved,2,1,med sved løbende ned ad ansigtet pga. voldsom varme eller anstrengelse,under store anstrengelser,DISCREPANCY
slå nogen oven i hovedet med noget,2,3,slå nogen i hovedet med noget,"argumentere (voldsomt) mod en andens mening, fx ved at fremhæve sin egen viden eller ved at fremføre indiskutable oplysninger",DISCREPANCY
sommerfuglestøv på vingerne,0,2,skæl på sommerfugles vinger,uskyldighed; uberørthed,DISCREPANCY
nogen vender bøtten,0,3,"nogen vender en beholder på hovedet, typisk for at få al indholdet ud",forholdet vendes om; noget tager en ny (og modsat) vending eller drejning,DISCREPANCY
der falder brænde ned,3,1,En bunke eller anden samling af brænde vælter og falder til jorden,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,DISCREPANCY
rasle med sablen,1,3,gestikulere truende ved at vifte med et stikvåben i retning af en fjende,true med anvendelse af (militære eller politiske) magtmidler,DISCREPANCY
som en åben bog,3,1,lige så nem at gå til som en bog der allerede er åben,uden besvær,DISCREPANCY
Rom blev ikke bygget på en dag,3,2,det tog mere end en dag at bygge den italienske hovedstad Rom,store projekter er meget tidskrævende,DISCREPANCY
gå på krum arm,2,1,gøre sig umage og lykkes med sit forehavende,gå tæt omslyngede; være kærester,DISCREPANCY
holde gryden i kog,0,2,opretholde en så høj temperatur på en væske i en gryde at væsken fortsat er i kog,gøre noget for at holde en interesse eller et engagement ved lige eller en aktivitet i gang,DISCREPANCY
skyde over målet,2,0,ramme over et tiltænkt mål,ikke være rammende i sine udtalelser; overdrive,DISCREPANCY
verdens tag,0,2,et tag som er fælles for alle i verden,"meget højtliggende bjergområde, især (land eller område i) Himalaya eller Pamir",DISCREPANCY
mosekonen brygger,2,1,noget ildevarslende er under opsejling; nogen smeder rænker,det er tåget,DISCREPANCY
give den en skalle,1,2,forhindre noget i at lykkes; ødelægge noget,gøre en kraftig arbejdsindsats,DISCREPANCY
