talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
kigge for dybt i flasken,3,1,kigge dybere ned i en flaske end hvad der er sundt for øjet,indtage større mængder af alkoholiske drikke,DISCREPANCY
stå på gloende pæle,3,0,befinde sig på et underlag af brændende træ,"være i en tilstand præget af forvirring, ophidselse, travlhed eller hektisk aktivitet",DISCREPANCY
på sine grædende knæ,3,1,på alle fire mens man græder,med tilkendegivelse af al tænkelig ydmyghed; meget indtrængende,DISCREPANCY
køre med klatten,0,1,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere,DISCREPANCY
den åbne dørs politik,1,0,den tilgang at gæster altid er velkomne,internationalt politisk princip om at lade flere stater i et bestemt område have lige vilkår mht. handel og skibsfart,DISCREPANCY
i den kolde sne,3,2,i en (større) bunke sne,i en tilstand af udelukkelse og forladthed,DISCREPANCY
en streg i luften,2,1,"en uventet og uønsket hændelse, handling eller lignende",en meget tynd person,DISCREPANCY
rive nogen noget i næsen,1,3,under falske forudsætninger få nogen til at tro på at noget forholder sig på en bestemt måde,lade nogen høre for noget; kritisere nogen for noget,DISCREPANCY
"når solen går ned i en sæk, står den op i en bæk",2,1,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,"når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag",DISCREPANCY
tale samme sprog,3,0,beherske det samme sprog så man kan tale sammen uden tolk eller lign.,"have fælles opfattelse af en sag, hvilket gør det lettere at samarbejde og nå til enighed i sagen",DISCREPANCY
munden står ikke stille på nogen,1,3,nogens mund er altid i bevægelse,nogen snakker hele tiden,DISCREPANCY
gøre rent bord,1,2,rydde op så bordpladen er fri og ren,bringe orden i tingene så man kan begynde på en frisk,DISCREPANCY
gå ud som et lys,0,2,blive slukket eller afbrudt brat,pludselig miste bevidstheden,DISCREPANCY
tabe både næse og mund,0,2,"vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv",blive meget forbavset eller benovet over noget,DISCREPANCY
tage pungen frem,0,2,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse,(modvilligt) betale et stort beløb,DISCREPANCY
få enden på komedie,3,1,opleve slutningen af en komedie,få en endefuld; få prygl,DISCREPANCY
bide sig fast,3,1,holde fast i noget ved at bide sammen om det,blive en fast bestanddel af noget; fastholde en erobret position,DISCREPANCY
stå malet i ansigtet på nogen,2,3,være skrevet i panden eller kinderne på nogen,fremgå klart af nogens ansigtsudtryk,DISCREPANCY
vride bananen,3,2,"bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",tisse,DISCREPANCY
helt ude i skoven,1,2,i et øde område langt fra byer; i den vilde natur,"uden fornuft, mening eller forbindelse med virkeligheden; helt gal",DISCREPANCY
klæder skaber folk,0,2,tøj er med til at forme en persons identitet,man vurderer folk (bl.a.) ud fra deres påklædning,DISCREPANCY
op ad bakke,2,1,i retning opad langs en stigning i landskabet,forbundet med modgang eller vanskeligheder der skal overvindes for at opnå et resultat,DISCREPANCY
Lars Tyndskids mark,2,0,en mark tilhørende en person ved navn Lars Tyndskid,sted langt ude på landet,DISCREPANCY
der må være en blonde,0,2,sørge for at fastholde nogens interesse eller indsats for noget,der er grænser for hvad man kan tillade sig,DISCREPANCY
have det hele i munden,0,2,have en hel skive brød (med pålæg) i munden,kun snakke om noget i stedet for at handle,DISCREPANCY
vække den slumrende løve,1,0,vække en sovende løve,fremkalde vrede hos en ellers fredsommelig person,DISCREPANCY
strø sand på,3,1,"kaste sand ud over et areal, fx et flisebelagt område",bringe en (ubehagelig) sag til afslutning eller ud af verden; undlade at gøre mere ved det,DISCREPANCY
nogens eget kød og blod,3,0,nogens egen krop,nogens (egen) blodsbeslægtede familie,DISCREPANCY
vende på en tallerken,0,1,benytte en tallerken til at vende noget omvendt -- om mad,vende rundt på meget begrænset plads; behøve meget lidt plads for at kunne manøvrere,DISCREPANCY
"hvor der er hjerterum, er der husrum",2,3,hvis der er gæstfrit er der også rart at bo,"gæstfrihed hører til almindelig venlighed; gode mennesker trives, selv hvor pladsen er trang",DISCREPANCY
målet helliger midlet,1,3,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler,DISCREPANCY
der gror ikke mos på en rullesten,0,1,"hvis en sten er i bevægelse, vil der ikke vokse mos på den","personer der lever et aktivt og energisk liv, sygner ikke hen (mentalt)",DISCREPANCY
ind til benet,3,1,(helt) ind til knoglen,til det centrale eller væsentlige af noget,DISCREPANCY
ligeud ad landevejen,2,3,kørselsretning uden sving og andre afvigelser fra ligeudkørsel,uden omsvøb; ukompliceret og ligetil,DISCREPANCY
der går inflation i noget,0,3,priserne stiger på en specifik vare eller varetype,noget forringes eller mister prestige fordi det bliver lettere tilgængeligt eller mere udbredt,DISCREPANCY
have store tanker om,0,1,tænke meget på,"værdsætte, beundre eller have store forventninger til",DISCREPANCY
nye koste fejer bedst,2,0,en ny kost fejer bedre end en gammel og slidt kost,nyt er altid bedre end gammelt blot fordi det er nyt,DISCREPANCY
store ord og fedt flæsk,2,3,lange ord og fedtholdigt kød,tom snak eller tomme løfter,DISCREPANCY
lyse i kuld og køn,2,0,vække opsigt pga. sine smykker eller fine påklædning,anerkende officielt,DISCREPANCY
spille kong Gulerod,0,3,lave ballade; lave et stort postyr,"opføre sig på en indbildsk, overlegen eller arrogant måde",DISCREPANCY
"har man sagt A, må man også sige B",0,3,være så optaget af enkeltdele og detaljer at man ikke kan se helheden,"er man først begyndt på noget, bør man også fuldføre det",DISCREPANCY
ål i strømperne,3,0,arbejde med eller koncentrere sig om én ting på bekostning af alle andre,folder i strømper der er gledet ned ad benet,DISCREPANCY
ligge med næsen i vejret,2,3,bruge noget som lokkemad over for nogen; stille nogen noget i udsigt,være død og begravet,DISCREPANCY
man kan stille uret efter ham,2,3,han er meget enerådig; han tager ikke hensyn til andre menneskers tid,han er yderst præcis,DISCREPANCY
dagens mand i skysovs,3,1,"person som smøres ind i sovs, typisk som et festligt indslag ved et svendegilde eller lignende",person som (for en dag) hyldes som en helt pga. en særlig bedrift,DISCREPANCY
smage sin egen medicin,0,3,(i en diskussion) blive personlig og dermed rette angreb mod personen frem for at beskæftige sig med dennes argumenter,blive udsat for en ubehagelig behandling svarende til den man udsætter andre for,DISCREPANCY
rene ord for pengene,1,3,det bedste af sin art,udtalelse der ikke kan misforstås,DISCREPANCY
is i maven,2,3,"stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om","ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning",DISCREPANCY
ikke lade solen gå ned over sin vrede,1,3,ikke kunne glemme eller tilgive noget ubehageligt som en anden person har gjort mod én,glemme eller tilgive noget man er blevet vred over,DISCREPANCY
ikke større end tobak for en skilling,2,0,på størrelse med den mængde tobak man kan købe for en lille sum penge,meget lille af vækst eller størrelse,DISCREPANCY
have kniven på struben,1,2,være tæt på at dø; befinde sig i en livstruende situation,"være presset til at gøre noget, fx under trusler eller med udsigt til et ubehageligt alternativ",DISCREPANCY
stå med håret ned ad nakken,0,3,stå med sit lange hår hængende løst,stå modløs og skuffet tilbage; være blevet svigtet eller narret,DISCREPANCY
uden for lands lov og ret,0,1,uden for et lands grænser og derfor ikke underlagt dets love,i et øde område fjernt fra større byer,DISCREPANCY
ligge og lure i vandskorpen,3,0,ligge på lur i vandoverfladen,være nært forestående eller snart bryde løs uden at ret mange venter det,DISCREPANCY
den ene tjeneste er den anden værd,1,2,en tjeneste har samme værdi som en anden tjeneste,"hvis man gør andre en tjeneste, kan man forvente at de gør gengæld en anden gang",DISCREPANCY
lige så godt springe som krybe i det,0,1,det er lige meget om man springer ned i et hul eller kravler ned i det,hellere begynde på noget ubehageligt eller vanskeligt straks og få det overstået end udskyde det,DISCREPANCY
ikke fugls føde,0,3,"vanskelig eller uigennemskuelig opgave, aktivitet ellerlign.",ingenting; intet som helst,DISCREPANCY
grave grøfter,0,1,grave lange render langs med veje,skabe splid og uenighed mellem to parter,DISCREPANCY
"ude af øje, ude af sind",2,3,hverken til at se eller vide,"det som ikke er synligt eller nærværende, bliver hurtigt glemt",DISCREPANCY
"ét spøg, et andet alvor",3,0,en vittighed og noget alvorligt,man bør holde det morsomme og det alvorlige ved en sag adskilt,DISCREPANCY
sætte skibe i søen,3,1,sætte flere skibe i vandet,"være eller gå i gang med flere ting, fx projekter",DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
man skal høre meget før ørerne falder af,1,2,ørerne kan holde til meget støj; ørerne går ikke i stykker af at lytte (intenst),"bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende",DISCREPANCY
tomme tønder buldrer mest,0,1,tomme tønder larmer mere end fulde tønder,"det er ofte de personer som ved mindst eller har mindst betydning, der råber mest op eller gør sig mest gældende",DISCREPANCY
med skindet på næsen,0,3,"som har undgået at blive solskoldet i ansigtet, fx ved at gå med hat eller smøre sig ind i solcreme","uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit",DISCREPANCY
gå op i en spids,0,2,"gå meget op i detaljer; lægge stor vægt på detaljer og nuancer, fx i forbindelse med løsningen af et problem",udvikle sig i en retning hvor ingen løsning er mulig,DISCREPANCY
der er løbet meget vand gennem åen siden ..,3,0,meget vand er løbet gennem en å i en specifik tidsperiode,"noget der passer godt med nogens ønsker, hensigter eller meninger",DISCREPANCY
varme nogens ører,0,3,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY
få kærligheden at føle,1,3,"opleve kærlighed fra en forælder, en partner eller lignende",blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,DISCREPANCY
være karl for sin hat,0,3,optræde selvsikker og kompetent selvom man ikke er det,være selvsikker og kompetent,DISCREPANCY
som en brækket arm,3,1,nøjagtig lige så smertefuldt som at få et knoglebrud i armen,elendigt; talentløst,DISCREPANCY
koste spidsen af en jetjager,1,3,koste det samme som de yderst placerede dele på en jetjager,være urimelig dyr,DISCREPANCY
med omvendt fortegn,1,3,"med det modsatte fortegn, fx i matematisk opgave",karakteriseret ved at være diametralt modsat af noget på forhånd kendt eller netop omtalt,DISCREPANCY
ikke være til at styre på en hel tønde land,3,1,ikke være til at kontrollere på et specifikt område,"være meget begejstret, engageret eller ustyrlig, fx i forbindelse med en leg eller en diskussion",DISCREPANCY
trække tænderne ud,2,1,pine sig selv eller andre,svække alvorligt; gøre uskadelig,DISCREPANCY
ved kasse ét,2,0,"ved en første, foreløbig bedømmelse","bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",DISCREPANCY
slag på tasken,2,3,indholdsløs snak; samtale uden vigtigt indhold,"omtrentlig beregning af nogets størrelse, omfang eller antal",DISCREPANCY
logik for burhøns,0,3,noget der ikke kan misforstås,noget der er yderst let at forstå,DISCREPANCY
hånd i hanke med,2,1,bruges for at udtrykke at nogen holder godt fast i noget; fast greb om,kontrol med; styr på,DISCREPANCY
det er ikke studenterhuen der trykker,0,2,ikke have den mindste chance for noget,"bruges for at udtrykke den vurdering at den pågældende person ikke er særlig begavet, klog eller godt uddannet",DISCREPANCY
"når det regner på præsten, drypper det på degnen",0,2,ubehagelige situationer berører oftest flere mennesker på én gang,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode",DISCREPANCY
"når skidt kommer til ære, ved det ikke hvordan det skal være",3,2,man skal ikke pynte noget dårligt og forsøge at få det til at fremstå som noget godt,"bruges hånligt og nedladende om en person der pludseligt eller nyligt har opnået høj social status, men som ikke formår at opføre sig på passende standsmæssig vis",DISCREPANCY
i mørke er alle katte grå,3,1,"i mørke fremstår katte grå, uanset hvilken farve de måtte have","den der ikke er synlig eller ikke skiller sig ud fra mængden, forbliver anonym",DISCREPANCY
være sulten som en ulv,1,3,være lige så sulten som en ulv,være meget sulten,DISCREPANCY
toppen af kransekagen,2,3,den øverste del af en kransekage (med pynt),det bedste eller de dygtigste inden for et bestemt område,DISCREPANCY
det glatte lag,0,3,den bedste eller mest oplagte løsning på et problem,sønderlemmende kritik; voldsomt verbalt angreb,DISCREPANCY
penge lugter ikke,0,3,pengesedler og mønter har ingen lugt,"penge har deres værdi uanset hvorfra de stammer, eller hvordan de er tjent",DISCREPANCY
få noget med på vejen,3,0,få noget med når man tager afsted,få noget fortalt af andre som man evt. kan bruge fremover,DISCREPANCY
den hellige grav er vel forvaret,2,1,en hellig grav overvåges og er i god stand,"alt er som det skal være, trods trusler og farer",DISCREPANCY
heldet følger de tossede,2,3,"held afhænger af tilfældigheder, ikke arbejdsomhed, status, forbindelser eller lignende","handlekraftige, (dum)dristige mennesker er ofte også heldige",DISCREPANCY
tanker er toldfri,0,2,der er ingen toldafgift på tanker,ingen bliver straffet for sine tanker,DISCREPANCY
guds ord fra landet,3,2,"alt er som det skal være, trods trusler og farer",uerfaren og naiv ung pige,DISCREPANCY
have jord under neglene,3,2,have jord eller andet skidt under neglene,have praktisk erfaring med landbrugs- eller havearbejde; udføre fysisk krævende arbejde,DISCREPANCY
vise nogen vintervejen,0,2,bruge alt for stærke midler i forhold til situationen; overdrive; overreagere,afvise nogen; vende nogen ryggen,DISCREPANCY
levende lig,1,3,person der snart vil dø,person der har det meget dårligt fysisk og psykisk,DISCREPANCY
sætte himmel og hav i bevægelse,2,3,agere så både himmel og hav begynder at bevæge sig,foretage sig alt muligt for at nå et bestemt mål,DISCREPANCY
have rundsave på albuerne,0,1,"gøre noget der hjælper på kort sigt, men forværrer tingene på langt sigt",skubbe andre til side for at gavne sin egen karriere,DISCREPANCY
ikke nå nogen til sokkeholderne,1,3,ikke have succes med at gøre tilnærmelser til nogen,have meget ringe evner i forhold til en anden,DISCREPANCY
med mand og mus,1,3,med alle i en husstand; med alle der bor på gården,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY
ikke kunne se ud over sin egen næsetip,3,1,være synshandicappet; være meget nærsynet,være egoistisk og snæversynet; kun tænke på sig selv,DISCREPANCY
have en kage i ovnen,2,1,forberede dessert til et måltid den efterfølgende dag,være gravid; vente barn,DISCREPANCY
lyve så stærkt som en hest kan rende,2,3,fortælle løgne i samme tempo som det hurtigste en hest kan løbe,lyve groft; fortælle mange løgne,DISCREPANCY
ikke være tabt bag en vogn,1,2,som ikke er umulig at løse eller gennemføre trods modstand,ikke være rådvild; være klog,DISCREPANCY
med åben mund og polypper,0,2,med ansigtet sådan at munden er åben og polypper i næsen kan skimtes,med et meget forbavset udtryk i ansigtet,DISCREPANCY
den sne der faldt i fjor,1,0,den sne der faldt sidste år,"bruges om hvad der nu er forsvundet, glemt eller uden interesse",DISCREPANCY
puste i nakken,1,0,altid være i nogens bevidsthed,overvåge; kontrollere,DISCREPANCY
trække noget ned over hovedet på nogen,2,3,trække noget (typisk af stof) ned over nogens hoved,gennemføre noget mod nogens vilje eller uden at spørge den eller de implicerede; gennemtvinge noget,DISCREPANCY
dreje 180 grader,2,3,dreje en halv omgang,ændre til det modsatte eller til noget helt andet,DISCREPANCY
høre en lille fugl synge om noget,0,1,høre en (lille) fugl kvidre på en måde så det minder om tale eller sang,høre et rygte om noget,DISCREPANCY
vende sig i sin grav,0,3,"lægge sig godt til rette -- om ræve, grævlinger eller lignende.",protestere (hvis det havde været muligt) mod forhold i nutiden som strider mod den pågældendes vilje eller holdninger,DISCREPANCY
sætte det lange ben foran,2,0,placere sit længste ben forrest,gå hurtigt; skynde sig,DISCREPANCY
ryge fredspibe,3,2,ryge pibe sammen som symbol på enighed,(forhandle med henblik på at) slutte fred eller indgå forlig,DISCREPANCY
lade fem og syv være lige,0,3,have et talsystem hvor fem og syv repræsenterer samme værdi,udvise ligegyldighed eller skødesløshed,DISCREPANCY
sætte en ny plade på grammofonen,3,2,afspille musik fra en ny plade på en grammofon,sige eller skrive noget andet end det man har sagt eller skrevet mange gange før,DISCREPANCY
leve på en sten,0,3,have sin bolig ovenpå en sten,leve meget nøjsomt,DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
med bred pensel,3,2,med brede penselstrøg,uden at gå i detaljer,DISCREPANCY
den blå luft,2,1,en blå luftart,det rene ingenting,DISCREPANCY
hyppe sine egne kartofler,2,3,dyrke grøntsager i sin have til eget brug; være selvforsynende,pleje sine egne interesser,DISCREPANCY
hellere lille og vågen end stor og doven,3,1,det er at foretrække at være lille og vågen fremfor stor og doven,det går udmærket an at være lille af vækst når man blot er kvik og energisk,DISCREPANCY
ligne udskidt æblegrød,3,2,have samme konsistens og udseende som afføring ved dårlig mave,se meget træt og sløj ud,DISCREPANCY
ikke lutter lagkage,1,3,ikke blot lagkage (eller andre konditorkager),ikke kun let og behageligt og uden fortrædeligheder; ikke den rene idyl,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
frem og tilbage er lige langt,1,3,ruten ud og ruten hjem er den samme,bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser,DISCREPANCY
gå op i sømmene,1,0,gå unødigt meget op i (ubetydelige) detaljer,bryde psykisk sammen; gå amok,DISCREPANCY
glat som en ål,1,2,lige så glat som overfladen på en ål,undvigende og svær at fastholde i en diskussion; upålidelig,DISCREPANCY
falde nogen for brystet,1,2,falde nogen om armene; kollapse lige foran nogen,virke oprørende eller stødende på nogen; vække nogens modvilje eller betænkelighed,DISCREPANCY
mele sin egen kage,0,2,(være i stand til at) planlægge og udføre en svær opgave uden betydelig hjælp fra andre,pleje sine egne interesser uden at tage hensyn til andre; kun tænke på sig selv,DISCREPANCY
gå forkert i byen,1,0,"kede sig i samvær med andre, fx på en bytur",tage fejl,DISCREPANCY
hellere ville brække en arm på langs end ..,1,3,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY
"operationen lykkedes, men patienten døde",3,1,"det kirurgiske indgreb forløb som ønsket, men patienten overlevede ikke på trods af indgrebet",bruges for at udtrykke at der er blevet brugt mange resurser på at opnå et resultat der ikke er tilfredsstillende eller decideret strider mod det ønskede,DISCREPANCY
det skal du længere ud på landet med,1,2,denne genstand hører til i et område længere væk fra byen end her,"bruges for at udtrykke at man ikke tror på det samtalepartneren siger, fordi det er for usandsynligt eller løgnagtigt",DISCREPANCY
underskrive sin egen dødsdom,0,2,give køb på egne holdninger og principper i en større sags tjeneste,"handle således at konsekvenserne for éns eksistens, anseelse eller lignende bliver meget alvorlige",DISCREPANCY
have et horn i siden på,2,1,foretage sig alt muligt for at nå et bestemt mål,være vred på; bære nag til,DISCREPANCY
få svesken på disken,0,3,uden virkning; forgæves,meddele noget åbent og uden omsvøb; få sandheden på bordet,DISCREPANCY
tone rent flag,1,2,"spille den tone der kaldes ""rent flag""",åbent og ærligt give udtryk for sine holdninger eller hensigter i stedet for at lægge skjul på dem,DISCREPANCY
smage som at række tungen ud ad vinduet,2,3,opleves grænseoverskridende og forkert,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY
riste over en sagte ild,3,1,fremstille eller udvikle over lang tid,udsætte for et langvarigt og ubehageligt pres,DISCREPANCY
tage noget tungt,0,1,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget,DISCREPANCY
løvens gab,2,3,en løves mund,meget farligt eller ubehageligt sted,DISCREPANCY
nære en slange ved sin barm,2,3,være ondsindet; have slette intentioner,være venlig over for eller lave aftaler med nogen som senere opfører sig fjendtligt over for én,DISCREPANCY
jeg vil æde min hat på ..,1,2,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY
ikke vide hvor man skal ende og begynde,2,1,være i tvivl om hvordan man starter og derefter også afslutter noget,ikke vide hvordan man skal handle eller komme i gang med noget,DISCREPANCY
i sit ansigts sved,2,1,med sved løbende ned ad ansigtet pga. voldsom varme eller anstrengelse,under store anstrengelser,DISCREPANCY
en gave fra himlen,3,1,en gave der er dumpet ned fra himlen,"en uventet, men yderst kærkommen begivenhed eller hændelse",DISCREPANCY
løbe åbne døre ind,0,1,ankomme på en måde der sætter fokus på ens person,overbevise nogen om noget vedkommende allerede mener; fortsætte en aktivitet efter den ikke længere er relevant; kæmpe en kamp der allerede er vundet,DISCREPANCY
de tusind søers land,1,3,et land præget af rigdom og overflod,Finland,DISCREPANCY
slå nogen oven i hovedet med noget,2,3,slå nogen i hovedet med noget,"argumentere (voldsomt) mod en andens mening, fx ved at fremhæve sin egen viden eller ved at fremføre indiskutable oplysninger",DISCREPANCY
der falder brænde ned,3,1,En bunke eller anden samling af brænde vælter og falder til jorden,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,DISCREPANCY
rasle med sablen,1,3,gestikulere truende ved at vifte med et stikvåben i retning af en fjende,true med anvendelse af (militære eller politiske) magtmidler,DISCREPANCY
som en åben bog,3,1,lige så nem at gå til som en bog der allerede er åben,uden besvær,DISCREPANCY
gå på krum arm,2,1,gøre sig umage og lykkes med sit forehavende,gå tæt omslyngede; være kærester,DISCREPANCY
skyde over målet,2,0,ramme over et tiltænkt mål,ikke være rammende i sine udtalelser; overdrive,DISCREPANCY
der er ikke nogen hjemme,3,2,en ellers beboet bolig er tom,nogen er ikke særlig smart eller intelligent; nogen er (lidt) dum,DISCREPANCY
mosekonen brygger,2,1,noget ildevarslende er under opsejling; nogen smeder rænker,det er tåget,DISCREPANCY
der kom en mand med en slæde i vejen,1,3,en mand med en slæde spærrer vejen for videre færd,der dukkede pludselige eller uforudsete forhindringer op,DISCREPANCY
ved sine fulde fem,1,2,ifølge samtlige fem sanser,i stand til at tænke klart; tilregnelig,DISCREPANCY
