talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
hele dynen,0,3,fare omkring; være meget foretagsom,alt det som er relevant i en bestemt sammenhæng,DISCREPANCY
have blod på hænderne,3,2,"have (andres) blod på sine hænder, typisk pga. en ulykke eller en forbrydelse",have blodige eller grusomme handlinger på samvittigheden,DISCREPANCY
de forhåndenværende søms princip,2,1,princip i byggeriet hvor man kun benytter søm der allerede har været i brug,fremgangsmåde hvor man nøjes med de begrænsede midler der umiddelbart er til rådighed,DISCREPANCY
skulle have skolepengene tilbage,2,1,være berettiget til erstatning af et undervisningsgebyr,være dum eller uvidende om et bestemt forhold,DISCREPANCY
være i stødet,1,2,føle sig dårlig eller utilpas; være begyndende syg,være oplagt (til noget),DISCREPANCY
det ene ord tager det andet,2,1,ord efterfølger ord i en talestrøm,bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed,DISCREPANCY
have spidse albuer,1,2,have ophobet vrede over længere tid,hævde sig på andres bekostning,DISCREPANCY
kigge nogen i kortene,3,2,snige sig til at kigge på en modstanders kort under et kortspil,aflure nogen deres hensigter eller fremgangsmåde,DISCREPANCY
tampen brænder,2,0,der er ild i tovet,man er tæt ved at nå til en erkendelse,DISCREPANCY
en streg i luften,2,1,"en uventet og uønsket hændelse, handling eller lignende",en meget tynd person,DISCREPANCY
være solgt til stanglakrids,2,1,"være solgt for et (for) lavt beløb, svarende til prisen for et stykke lakrids",være ekstremt fascineret af eller forelsket i,DISCREPANCY
tale samme sprog,3,0,beherske det samme sprog så man kan tale sammen uden tolk eller lign.,"have fælles opfattelse af en sag, hvilket gør det lettere at samarbejde og nå til enighed i sagen",DISCREPANCY
hvem har tisset på din sukkermad,1,2,bruges for at påpege at nogen er (meget) kræsen,hvorfor er du sur; er der nogen der har fornærmet dig,DISCREPANCY
gå ud som et lys,0,2,blive slukket eller afbrudt brat,pludselig miste bevidstheden,DISCREPANCY
døden skal have en årsag,3,2,der skal altid anføres en dødsårsag,bruges for at udtrykke en almenmenneskelig tendens til at fremhæve én simpel og afgrænset årsagssammenhæng som forklaring på noget,DISCREPANCY
bide sig fast,3,1,holde fast i noget ved at bide sammen om det,blive en fast bestanddel af noget; fastholde en erobret position,DISCREPANCY
vride bananen,1,2,stimulere en penis med hånden,tisse,DISCREPANCY
ikke lægge fingrene imellem,1,3,ikke blande sig i andres konflikt,"ikke være skånsom eller tilbageholdende, men direkte i ord eller handling",DISCREPANCY
åbne sit hjerte,0,1,udtrykke stærke og kærlige følelser; erklære sin kærlighed til en person,betro sig,DISCREPANCY
gå rundt med noget i maven,3,0,have dårlig samvittighed fordi man ikke har påtaget sig en vigtig opgave,have (skjulte) ambitioner eller drømme om at blive noget bestemt,DISCREPANCY
en pose blandede bolsjer,3,2,en pose med bolsjer af forskellig art,helhed bestående af indbyrdes meget forskelligartede elementer,DISCREPANCY
der må være en blonde,0,2,sørge for at fastholde nogens interesse eller indsats for noget,der er grænser for hvad man kan tillade sig,DISCREPANCY
det er lettere for en kamel at komme igennem et nåleøje end for en rig at komme ind i Guds rige,0,2,det er lettere at bevæge sig gennem en snæver passage end at komme ind i Paradis med penge eller andre værdigenstande,bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier,DISCREPANCY
målet helliger midlet,1,3,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler,DISCREPANCY
nye koste fejer bedst,2,0,en ny kost fejer bedre end en gammel og slidt kost,nyt er altid bedre end gammelt blot fordi det er nyt,DISCREPANCY
lyse i kuld og køn,2,0,vække opsigt pga. sine smykker eller fine påklædning,anerkende officielt,DISCREPANCY
spille kong Gulerod,0,3,lave ballade; lave et stort postyr,"opføre sig på en indbildsk, overlegen eller arrogant måde",DISCREPANCY
ål i strømperne,2,0,vittigheder; underholdende påfund,folder i strømper der er gledet ned ad benet,DISCREPANCY
ligge med næsen i vejret,0,3,ligge på ryggen,være død og begravet,DISCREPANCY
rene ord for pengene,1,3,det bedste af sin art,udtalelse der ikke kan misforstås,DISCREPANCY
is i maven,2,3,"stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om","ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning",DISCREPANCY
"hvad man ikke ved, har man ikke ondt af",0,2,man kan ikke være ked af noget man ikke kender til,det er ofte bedre at leve i uvidenhed end at kende den ubehagelige sandhed,DISCREPANCY
ikke lade solen gå ned over sin vrede,0,3,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY
ikke større end tobak for en skilling,2,0,på størrelse med den mængde tobak man kan købe for en lille sum penge,meget lille af vækst eller størrelse,DISCREPANCY
have kniven på struben,1,2,være tæt på at dø; befinde sig i en livstruende situation,"være presset til at gøre noget, fx under trusler eller med udsigt til et ubehageligt alternativ",DISCREPANCY
uden for lands lov og ret,2,1,uden de regler der ellers ville gælde,i et øde område fjernt fra større byer,DISCREPANCY
ligge og lure i vandskorpen,3,0,ligge på lur i vandoverfladen,være nært forestående eller snart bryde løs uden at ret mange venter det,DISCREPANCY
ikke fugls føde,2,3,føde der ikke indtages af fugle,ingenting; intet som helst,DISCREPANCY
bidt af en gal skuespiller,3,0,bruges om en meget uheldig eller ærgerlig situation,overordentlig begejstret for skuespil,DISCREPANCY
grave grøfter,0,1,grave lange render langs med veje,skabe splid og uenighed mellem to parter,DISCREPANCY
ramme hovedet på sømmet,2,3,bruges som kommentar til en meget uheldig eller ærgerlig situation,udtrykke præcist; udtrykke det væsentlige,DISCREPANCY
træde af på naturens vegne,3,2,afholde sig fra materielle goder af miljømæssige hensyn,trække sig tilbage for at forrette sin nødtørft,DISCREPANCY
binde på hænder og fødder,3,0,fratage modstanderen muligheden for at kæmpe videre; gøre ukampdygtig,gøre fuldstændig afhængig,DISCREPANCY
for lidt og for meget fordærver alting,3,0,både en for stor og en for lille mængde af noget ødelægger et produkt,man bør ikke overdrive eller gå til yderligheder,DISCREPANCY
"ét spøg, et andet alvor",3,0,en vittighed og noget alvorligt,man bør holde det morsomme og det alvorlige ved en sag adskilt,DISCREPANCY
en pæl i kødet,0,1,"det er uhyrligt, skandaløst og dybt rystende og kræver øjeblikkelig indgriben","en (medfødt) tilbøjelighed som anses for syndig, men som man ikke kan undslippe",DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
man skal høre meget før ørerne falder af,1,2,ørerne kan holde til meget støj; ørerne går ikke i stykker af at lytte (intenst),"bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende",DISCREPANCY
med skindet på næsen,1,3,lige netop klare sig igennem en umiddelbart umulig situation,"uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit",DISCREPANCY
der er løbet meget vand gennem åen siden ..,3,0,meget vand er løbet gennem en å i en specifik tidsperiode,"noget der passer godt med nogens ønsker, hensigter eller meninger",DISCREPANCY
slå til plukfisk,3,2,tilberede en spisefisk (fx en torsk) ved at slå på den med en kødhammer,"tæske, gennembanke; ødelægge, nedbryde",DISCREPANCY
varme nogens ører,0,3,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY
få kærligheden at føle,1,3,"opleve kærlighed fra en forælder, en partner eller lignende",blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,DISCREPANCY
ben i næsen,1,0,mindske ambitionerne eller kravene; sænke standarden,"(være) dygtig, viljestærk og god til at klare sig",DISCREPANCY
man skal rejse sig ved det træ hvor man er faldet,3,1,man skal rejse sig der hvor man er faldet,"man skal kæmpe sig op med samme middel som var årsag til at man led nederlag, blev skadet eller lignende",DISCREPANCY
tabe småkagerne,1,0,give efter for andres pres; lade sig overtale,miste forstanden eller besindelsen; gøre eller sige noget dumt,DISCREPANCY
være på den grønne gren,0,2,"være i begyndelsen af et projekt, et forløb ellerlign.","være i en gunstig, privilegeret situation, fx pga. held, flid eller dygtighed",DISCREPANCY
med omvendt fortegn,1,3,"med det modsatte fortegn, fx i matematisk opgave",karakteriseret ved at være diametralt modsat af noget på forhånd kendt eller netop omtalt,DISCREPANCY
ikke være til at styre på en hel tønde land,3,1,ikke være til at kontrollere på et specifikt område,"være meget begejstret, engageret eller ustyrlig, fx i forbindelse med en leg eller en diskussion",DISCREPANCY
hverken se til højre eller venstre,1,0,se lige ud; undlade at dreje hovedet,kun have tanke for én ting og ikke bekymre sig om andet,DISCREPANCY
bo i en kuffert,1,3,bo på minimal plads og med minimalt forbrug af ressourcer,"rejse eller flytte meget tit, fx fordi éns arbejde kræver det; ikke have et fast sted at bo",DISCREPANCY
slag på tasken,2,3,indholdsløs snak; samtale uden vigtigt indhold,"omtrentlig beregning af nogets størrelse, omfang eller antal",DISCREPANCY
logik for burhøns,1,3,selvforstærkende uheldig situation som man ikke umiddelbart kan komme ud af,noget der er yderst let at forstå,DISCREPANCY
komme ind fra gaden,3,2,komme ind i et hus ad en gadedør,pludselig dukke op og gøre sig gældende i en bestemt sammenhæng uden forudgående erfaring,DISCREPANCY
"når det regner på præsten, drypper det på degnen",0,2,ubehagelige situationer berører oftest flere mennesker på én gang,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode",DISCREPANCY
"den der kommer først til mølle, får først malet",3,0,det kan betale sig at være i god tid,folk bliver betjent i den rækkefølge de henvender sig,DISCREPANCY
komme ind med firetoget,1,3,så hurtigt eller kraftfuldt som muligt,"komme udefra, fx fra Provinsen til København, som ung og uerfaren og derfor lidt naiv",DISCREPANCY
"når skidt kommer til ære, ved det ikke hvordan det skal være",1,2,"når noget dårligt ændrer sig til det bedre, går det alligevel ofte galt til sidst","bruges hånligt og nedladende om en person der pludseligt eller nyligt har opnået høj social status, men som ikke formår at opføre sig på passende standsmæssig vis",DISCREPANCY
skrive til skrivebordsskuffen,1,0,skrive et brev uden at sende det,"skrive (skøn)litterære tekster, men uden at have til hensigt at få dem udgivet",DISCREPANCY
det glatte lag,0,3,den bedste eller mest oplagte løsning på et problem,sønderlemmende kritik; voldsomt verbalt angreb,DISCREPANCY
penge lugter ikke,2,3,penge er blottet for menneskelige kvaliteter,"penge har deres værdi uanset hvorfra de stammer, eller hvordan de er tjent",DISCREPANCY
få noget med på vejen,3,0,få noget med når man tager afsted,få noget fortalt af andre som man evt. kan bruge fremover,DISCREPANCY
den hellige grav er vel forvaret,2,1,en hellig grav overvåges og er i god stand,"alt er som det skal være, trods trusler og farer",DISCREPANCY
tanker er toldfri,1,2,have en (stor) opsparet sum penge,ingen bliver straffet for sine tanker,DISCREPANCY
satse alt på ét kort,0,2,satse alle sine penge på ét kort,satse alt på én gang,DISCREPANCY
guds ord fra landet,0,2,religiøse udtryk der er populære i landområder,uerfaren og naiv ung pige,DISCREPANCY
blæse nogen en hatfuld,1,0,hælde store mængder kanel ud over nogen -- bruges især ved traditionen at overhælde en ugift person med kanel på deres 25-års fødselsdag,være helt ligeglad med nogen; ikke tage hensyn til nogen,DISCREPANCY
"når nøden er størst, er hjælpen nærmest",0,1,når man har voldsomt brug for hjælp er den tæt på at ankomme,"når alting ser værst ud, er det lige før det begynder at blive bedre",DISCREPANCY
stikke hånden i en hvepserede,2,0,beskæftige sig med noget farligt på trods af advarsler,"(begynde at) beskæftige sig med en ømtålelig sag, med risiko for ballade",DISCREPANCY
vise nogen vintervejen,0,2,bruge alt for stærke midler i forhold til situationen; overdrive; overreagere,afvise nogen; vende nogen ryggen,DISCREPANCY
levende lig,1,3,person der snart vil dø,person der har det meget dårligt fysisk og psykisk,DISCREPANCY
ikke nå nogen til sokkeholderne,2,3,være meget lav i forhold til en anden person,have meget ringe evner i forhold til en anden,DISCREPANCY
med mand og mus,1,3,med alle i en husstand; med alle der bor på gården,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY
gå til makronerne,2,1,(begynde at) spise makroner der serveres ved et selskab,gå energisk i gang med noget og arbejde ihærdigt med det,DISCREPANCY
bide til bollen,3,0,indtage større mængder af alkoholiske drikke,modstræbende indvillige i noget,DISCREPANCY
puste i nakken,2,0,"stå så tæt på en anden person at den luft man udånder, rammer vedkommende i nakken",overvåge; kontrollere,DISCREPANCY
gøre kort proces,3,2,handle hurtigt og effektivt,"handle hurtigt og uden omsvøb, ofte sådan at det går ud over andre",DISCREPANCY
ikke have noget liv,0,2,være død; ikke længere være i live,aldrig mødes med andre mennesker i selskabeligt lag; være socialt udstødt,DISCREPANCY
sætte en ny plade på grammofonen,0,2,(forsøge at) ændre sine vaner til det bedre,sige eller skrive noget andet end det man har sagt eller skrevet mange gange før,DISCREPANCY
tabe hovedet,0,3,blive meget ked af det,blive forvirret; miste besindelsen,DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
med bred pensel,3,2,med brede penselstrøg,uden at gå i detaljer,DISCREPANCY
den blå luft,3,1,"et forløb, et foretagende eller lignende er gået i stå eller har udviklet sig uheldigt",det rene ingenting,DISCREPANCY
hellere lille og vågen end stor og doven,3,1,det er at foretrække at være lille og vågen fremfor stor og doven,det går udmærket an at være lille af vækst når man blot er kvik og energisk,DISCREPANCY
langt mellem snapsene,2,0,lang tid mellem situationer hvor man drikker snaps,få højdepunkter eller interessante begivenheder,DISCREPANCY
gammel i gårde,3,0,som har arbejdet på de samme gårde hele livet,"som længe har haft en nær tilknytning til fx en bestemt arbejdsplads eller en bestemt gruppe mennesker, og som derfor er særlig fortrolig med forholdene",DISCREPANCY
ligne udskidt æblegrød,3,2,have samme konsistens og udseende som afføring ved dårlig mave,se meget træt og sløj ud,DISCREPANCY
med hovedet under armen,0,3,med et hoved båret under den ene arm,uden at tænke sig om,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
frem og tilbage er lige langt,1,3,ruten ud og ruten hjem er den samme,bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser,DISCREPANCY
gå op i sømmene,3,0,gå i stykker på det sted hvor to dele er syet sammen,bryde psykisk sammen; gå amok,DISCREPANCY
glat som en ål,1,2,lige så glat som overfladen på en ål,undvigende og svær at fastholde i en diskussion; upålidelig,DISCREPANCY
hellere ville brække en arm på langs end ..,1,3,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY
skide grønne grise,0,2,bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier,"være meget bange, nervøs eller lignende",DISCREPANCY
"operationen lykkedes, men patienten døde",3,1,"det kirurgiske indgreb forløb som ønsket, men patienten overlevede ikke på trods af indgrebet",bruges for at udtrykke at der er blevet brugt mange resurser på at opnå et resultat der ikke er tilfredsstillende eller decideret strider mod det ønskede,DISCREPANCY
have flossede kanter,0,2,være flosset langs kanten -- fx om bog,have visse fejl og mangler som ikke tidligere var der,DISCREPANCY
smage som at række tungen ud ad vinduet,0,3,have en kølig og frisk smag; være forfriskende,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY
vippe af sadlen,2,1,skubbe af en saddel,"fjerne fra en post, en stilling eller lignende",DISCREPANCY
en streg i regningen,3,2,"en streg på en kvittering, bon eller lignende -- kan fx angive at en udgift er slettet","en uventet og uønsket hændelse, handling eller lignende",DISCREPANCY
tage noget tungt,0,1,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget,DISCREPANCY
jeg vil æde min hat på ..,1,2,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY
én gang skal jo være den første,2,0,den første gang man udfører en specifik handling er præget af at man ikke har udført den før,på et eller andet tidspunkt skal man gøre noget som man ikke har gjort før,DISCREPANCY
i sit ansigts sved,2,1,med sved løbende ned ad ansigtet pga. voldsom varme eller anstrengelse,under store anstrengelser,DISCREPANCY
have mange bolde i luften,1,2,gøre bekendt i en større kreds; offentliggøre,beskæftige sig med mange forskellige ting samtidig,DISCREPANCY
de tusind søers land,2,3,et land med tusind søer,Finland,DISCREPANCY
der falder brænde ned,3,1,En bunke eller anden samling af brænde vælter og falder til jorden,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,DISCREPANCY
rasle med sablen,1,3,gestikulere truende ved at vifte med et stikvåben i retning af en fjende,true med anvendelse af (militære eller politiske) magtmidler,DISCREPANCY
som en åben bog,2,1,uden overraskelser,uden besvær,DISCREPANCY
gå på krum arm,3,1,gå på hænder uden at have kontrol over det,gå tæt omslyngede; være kærester,DISCREPANCY
mosekonen brygger,2,1,noget ildevarslende er under opsejling; nogen smeder rænker,det er tåget,DISCREPANCY
give faklen videre,0,2,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd,"overlade et hverv, fx en formands- eller ministerpost",DISCREPANCY
give den en skalle,3,2,ramme noget med toppen af hovedet,gøre en kraftig arbejdsindsats,DISCREPANCY
bide skeer med,2,3,samles om et måltid der spises med ske,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
en kærlig hånd,1,0,en hånd placeret på nogen som udtryk for omsorg eller kærlighed,"bruges i udtryk om at nogen yder eller bør yde en engageret indsats for at hjælpe nogen, for at reparere noget, eller lignende",DISCREPANCY
ligne noget katten har slæbt ind,0,2,have et udseende tilsvarende noget en kat kunne bringe ind i et hus,se forfærdelig ud,DISCREPANCY
koge suppe på noget,0,1,lave en (sladder)historie ud af noget småt eller betydningsløst,vedblivende og trættende behandle et velkendt og udtømt emne,DISCREPANCY
vide hvad klokken er,1,0,være klar over hvad tid på døgnet det er,vide at noget alvorligt eller afgørende er sket; vide hvordan noget vil ende eller udvikle sig,DISCREPANCY
have ild i enden,3,1,brænde i den ene ende,fare omkring; være meget foretagsom,DISCREPANCY
give sorteper videre,3,2,give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden,DISCREPANCY
så slutter festen,2,1,nu er tidspunktet kommet hvor festen er forbi,på dette tidspunkt er det positive eller glædelige forbi,DISCREPANCY
have en aktie i,1,3,"være involveret i en sag eller et foretagende, ofte uønsket eller uforskyldt",være aktiv deltager i; have indflydelse på,DISCREPANCY
træde op på den store klinge,0,3,komme i håndgemæng eller slåskamp med,anstrenge sig; arbejde hårdt,DISCREPANCY
apostlenes heste,1,3,bruges i udtryk for at arbejde hårdt,"benene, brugt til at gå på",DISCREPANCY
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY
være som snydt ud af næsen på nogen,1,0,"bruges om hvad der nu er forsvundet, glemt eller uden interesse","ligne en anden meget, især mht. udseende",DISCREPANCY
en køn plante,1,0,"person som er smuk, omsorgsfuld, god eller lignende",en uopdragen eller på anden måde ubehagelig person,DISCREPANCY
lugten i bageriet,0,3,"positiv sideeffekt af en proces, handling eller lignende","reglerne, forholdene og atmosfæren et bestemt sted",DISCREPANCY
klædt af til skindet,2,0,afklædt; nøgen,uden flere penge eller andre værdier tilbage,DISCREPANCY
bryde isen,2,3,lave et hul i et isdække,nærme sig hinanden i ord eller handling; gøre stemningen uformel,DISCREPANCY
have bly i røven,2,1,have bly indlagt i ballerne,være meget langsom,DISCREPANCY
den sorte klap går ned,1,2,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY
slå op i banen,0,2,ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave,(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre,DISCREPANCY
sidste skud på stammen,1,3,sidste chance for at gøre noget,person eller ting som er resultatet af den seneste udvikling inden for et område,DISCREPANCY
rydde nogen af vejen,1,0,"skubbe nogen eller på anden vis forårsage at nogen kommer væk fra en bestemt vej, bane eller lignende",slå nogen ihjel,DISCREPANCY
kunne høre græsset gro,0,1,forholde sig tøvende til en bestemt sag med en blandet følelse af interesse og ubehag,have en meget god hørelse,DISCREPANCY
vandene skilles,2,0,nogen går fra hinanden; nogen bliver skilt,meningerne bliver forskellige (pga. noget); der opstår uenighed (pga. noget),DISCREPANCY
gå uden om noget som katten om den varme grød,0,1,gå uden om noget på samme måde som en kat der går udenom en skål med varm grød,forholde sig tøvende til en bestemt sag med en blandet følelse af interesse og ubehag,DISCREPANCY
føre til torvs,3,1,fragte en vare til det torv hvor den skal sælges,gøre bekendt i en større kreds; offentliggøre,DISCREPANCY
sidde med livet i hænderne,2,3,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY
"se sol, måne og stjerner",0,1,kunne overskue en kompleks sag eller situation,være i en tilstand af stor nydelse eller stor smerte,DISCREPANCY
finde sine egne ben,1,3,blive dygtigere indenfor et specifikt (fagligt) emne,finde ud af hvad man mener om en bestemt sag,DISCREPANCY
være over alle bjerge,1,3,godt tilfreds med resultatet af noget,være så langt væk allerede at det er håbløst at optage forfølgelsen,DISCREPANCY
have ordet i sin magt,3,0,bestemme hvad et ord betyder,være dygtig til at formulere sig,DISCREPANCY
på éns glatte ansigt,1,3,"direkte på ansigtshud (især om kosmetik, cremer eller lignende)",med et tillidvækkende ydre som eneste garanti,DISCREPANCY
save den gren over man selv sidder på,3,0,sidde på en gren man er i færd med at save over,handle til skade for sig selv; ødelægge sine muligheder for fortsat beskæftigelse,DISCREPANCY
træerne vokser ikke ind i himlen,2,1,der er en grænse for hvor høje træer kan blive,en enkelt succes er ingen garanti for fortsat fremgang,DISCREPANCY
som skidt fra en spædekalv,0,3,som afføring fra en nyfødt kalv,hurtigt og i en stor mængde,DISCREPANCY
himmel og jord står i ét,3,1,bruges om en situation der er stærkt præget af uro og bekymring,det er et voldsomt uvejr med storm og regn eller sne,DISCREPANCY
tage brødet ud af munden på nogen,2,3,forhindre at nogen får nok mad,forhindre nogen i at arbejde og tjene penge; gøre nogen arbejdsløs,DISCREPANCY
hverken til at hugge eller stikke i,3,2,se meget træt og sløj ud,umulig at overtale eller få til at skifte mening,DISCREPANCY
stege i sit eget fedt,0,3,"holde sig til sine egne; være del af en lille, lukket kreds af mennesker",tage de ubehagelige følger af sine handlinger eller udtalelser,DISCREPANCY
man kan også købe guld for dyrt,3,0,man kan risikere at betale mere for guld end hvad de aktuelle guldpriser foreskriver,"det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier",DISCREPANCY
tælle på knapperne,1,0,forsikre sig om at man har råd,være i tvivl om hvad man skal beslutte sig for; være i vildrede,DISCREPANCY
så god som dagen er lang,2,3,meget hjælpsom og omsorgsfuld,ualmindelig sød og rar,DISCREPANCY
"de gode græd, og de onde lo",2,0,de gode mennesker græder og de onde mennesker ler,bruges som ironisk kommentar i en situation hvor man beklager at de gode kræfter led nederlag,DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
surt show,0,3,et show med surhed som omdrejningspunkt,bruges som kommentar til en meget uheldig eller ærgerlig situation,DISCREPANCY
have nogen nede i sækken,0,3,"blive svag og eftergivende; blive overvældet af en følelse af ømhed, forelskelse eller lignende",være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander,DISCREPANCY
hælde ned ad brættet,1,3,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig,DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
uden for pædagogisk rækkevidde,2,1,så besværet at man ikke kan hjælpes med pædagogiske metoder,i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én,DISCREPANCY
fyre kanonen af,2,1,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende",skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY
"den der gemmer til natten, gemmer til katten",3,2,gemmer man mad natten over risikerer man at det bliver spist (fx af en huskat),"hvis man går og gemmer på sine værdier eller lignende til fremtiden, er der risiko for at man aldrig får gavn af dem",DISCREPANCY
"mens græsset gror, dør horsemor",3,1,noget må slutte før noget andet kan begynde,noget tager så lang tid at man ikke når det mål man har sat sig,DISCREPANCY
det store dyr i åbenbaringen,3,2,en elefant i en religiøs betragtning,"noget som er nyt og anderledes, og som på kort tid har fået stor positiv eller negativ indflydelse inden for et bestemt (fagligt) område",DISCREPANCY
