talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
med skindet på næsen,1,3,lige netop klare sig igennem en umiddelbart umulig situation,"uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit",DISCREPANCY
der er løbet meget vand gennem åen siden ..,1,0,børn ændrer sig over tid,"noget der passer godt med nogens ønsker, hensigter eller meninger",DISCREPANCY
varme nogens ører,0,3,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY
bo i en kuffert,1,3,bo på minimal plads og med minimalt forbrug af ressourcer,"rejse eller flytte meget tit, fx fordi éns arbejde kræver det; ikke have et fast sted at bo",DISCREPANCY
i mørke er alle katte grå,3,1,"i mørke fremstår katte grå, uanset hvilken farve de måtte have","den der ikke er synlig eller ikke skiller sig ud fra mængden, forbliver anonym",DISCREPANCY
gå i spagat over noget,0,2,være præget af en overdrevet trang til at udføre opgaver til perfektion,blive stærkt følelsesmæssigt påvirket af noget,DISCREPANCY
med mand og mus,1,3,med alle i en husstand; med alle der bor på gården,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY
bide til bollen,2,0,være udmattet efter hårde fysiske udfoldelser,modstræbende indvillige i noget,DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
hellere lille og vågen end stor og doven,3,1,det er at foretrække at være lille og vågen fremfor stor og doven,det går udmærket an at være lille af vækst når man blot er kvik og energisk,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
gå op i sømmene,3,0,gå i stykker på det sted hvor to dele er syet sammen,bryde psykisk sammen; gå amok,DISCREPANCY
hellere ville brække en arm på langs end ..,1,3,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY
tage noget tungt,0,1,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget,DISCREPANCY
jeg vil æde min hat på ..,1,2,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY
ikke vide hvor man skal ende og begynde,2,1,være i tvivl om hvordan man starter og derefter også afslutter noget,ikke vide hvordan man skal handle eller komme i gang med noget,DISCREPANCY
som en åben bog,3,1,lige så nem at gå til som en bog der allerede er åben,uden besvær,DISCREPANCY
gå på krum arm,0,1,"bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",gå tæt omslyngede; være kærester,DISCREPANCY
give den en skalle,3,2,ramme noget med toppen af hovedet,gøre en kraftig arbejdsindsats,DISCREPANCY
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
ligne noget katten har slæbt ind,0,2,have et udseende tilsvarende noget en kat kunne bringe ind i et hus,se forfærdelig ud,DISCREPANCY
koge suppe på noget,0,1,lave en (sladder)historie ud af noget småt eller betydningsløst,vedblivende og trættende behandle et velkendt og udtømt emne,DISCREPANCY
give sorteper videre,3,2,give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden,DISCREPANCY
have rent mel i posen,0,1,ikke have andet end mel i posen,ikke have noget at skjule; være uskyldig,DISCREPANCY
koge suppe på en pølsepind,0,1,(forsøge at) lave suppe ud af meget lidt,beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne,DISCREPANCY
have en aktie i,1,3,"være involveret i en sag eller et foretagende, ofte uønsket eller uforskyldt",være aktiv deltager i; have indflydelse på,DISCREPANCY
træde op på den store klinge,1,3,skifte til højeste gear,anstrenge sig; arbejde hårdt,DISCREPANCY
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY
spille fransk klovn,0,1,"bruges ofte (selv)ironisk for at udtrykke at selv en person uden de store forudsætninger, med lidt held, kan løse en bestemt opgave",opføre sig (ufrivilligt) komisk,DISCREPANCY
til at komme i papirmøllen,1,3,"klar til at blive makuleret, dvs. ødelagt",ubrugelig; kassabel,DISCREPANCY
sidde med livet i hænderne,2,3,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY
i sin visdom,2,0,alene; uden at indblande eller rådføre sig med andre mennesker,"bruges ofte ironisk for at udtrykke at man mener at nogen har begået en fejl, opført sig tåbeligt eller lignende",DISCREPANCY
himmel og jord står i ét,3,1,bruges om en situation der er stærkt præget af uro og bekymring,det er et voldsomt uvejr med storm og regn eller sne,DISCREPANCY
fare i blækhuset,1,2,klappe i; holde op med at tale,reagere vredt eller kritisk på noget ved at skrive et indlæg imod det (især i form af et læserbrev),DISCREPANCY
det hører man ikke når musikken spiller,2,0,man kan slippe afsted med meget,det gør ikke så meget; det vil ingen lægge mærke til,DISCREPANCY
bukke begge ender sammen på,1,0,bøje en genstand så enderne mødes,give en omgang tæsk,DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
en fis i en hornlygte,2,1,forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft,"opblæst bagatel; flop, fiasko; en gang vrøvl",DISCREPANCY
surt show,0,3,et show med surhed som omdrejningspunkt,bruges som kommentar til en meget uheldig eller ærgerlig situation,DISCREPANCY
hælde ned ad brættet,0,3,starte forfra,afvise fuldstændig,DISCREPANCY
fuglen er fløjet,2,1,en bestemt sag er lukket eller afsluttet,"en bestemt (kriminel, eftersøgt) person er forsvundet",DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
fyre kanonen af,2,1,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende",skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY
have fat i den lange ende,3,0,"have fat i den længste ende af noget, fx et tov",være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige,DISCREPANCY
hu hej vilde dyr,3,0,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
støbe kuglerne,0,3,udtænke måder at skade andre på,"være den der udtænker, planlægger og styrer udførelsen af en idé",DISCREPANCY
vende og dreje hver femøre,0,3,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY
til den store guldmedalje,0,3,i rigelige mængder; i overmål,"energisk, dygtigt eller med held",DISCREPANCY
