talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
behandle nogen som et råddent æg,3,1,kun nødigt omgås nogen fordi man finder dem frastødende,omgås en person på en meget diplomatisk og forsigtig måde fordi vedkommende er meget nærtagende og besværlig,DISCREPANCY
kigge nogen i kortene,3,2,snige sig til at kigge på en modstanders kort under et kortspil,aflure nogen deres hensigter eller fremgangsmåde,DISCREPANCY
tampen brænder,2,0,der er ild i tovet,man er tæt ved at nå til en erkendelse,DISCREPANCY
en streg i luften,2,1,"en uventet og uønsket hændelse, handling eller lignende",en meget tynd person,DISCREPANCY
rive nogen noget i næsen,1,3,under falske forudsætninger få nogen til at tro på at noget forholder sig på en bestemt måde,lade nogen høre for noget; kritisere nogen for noget,DISCREPANCY
munden står ikke stille på nogen,0,3,"nogen er dygtig til at skabe kontakter og netværk, især for at fremme egne interesser",nogen snakker hele tiden,DISCREPANCY
der er ingen smalle steder,1,2,blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,"der er rigeligt, og der bliver ikke sparet på noget",DISCREPANCY
gå på akkord,1,2,gå en vis distance alt afhængig af betaling,"slække på sine ønsker, krav eller principper",DISCREPANCY
gå ud som et lys,0,2,blive slukket eller afbrudt brat,pludselig miste bevidstheden,DISCREPANCY
krybe langs panelerne,3,1,bevæge sig langsomt på alle fire i kanten af et rum så kroppen er i kontakt med træpaneler på væggen,"opføre sig meget tilbageholdende, fx af generthed eller skamfuldhed",DISCREPANCY
tabe både næse og mund,1,2,skælde voldsomt ud; blive meget vred,blive meget forbavset eller benovet over noget,DISCREPANCY
få enden på komedie,2,1,"undlader man at holde opsyn, fører det til kåd opførsel og uorden",få en endefuld; få prygl,DISCREPANCY
vride bananen,3,2,"bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",tisse,DISCREPANCY
ikke lægge fingrene imellem,1,3,ikke blande sig i andres konflikt,"ikke være skånsom eller tilbageholdende, men direkte i ord eller handling",DISCREPANCY
op ad bakke,2,1,i retning opad langs en stigning i landskabet,forbundet med modgang eller vanskeligheder der skal overvindes for at opnå et resultat,DISCREPANCY
tage hatten af for,0,3,skabe splid eller problemer for andre; forsøge at starte en konflikt (mellem andre) for derved at opnå noget selv,udtrykke respekt eller beundring for,DISCREPANCY
Lars Tyndskids mark,3,0,påtage sig en ubehagelig og evt. skæbnesvanger opgave sådan at en anden slipper for den,sted langt ude på landet,DISCREPANCY
"går den, så går den",1,0,noget er i gang og fortsætter med at være det,"man kan lige så godt prøve at udføre en ofte dristig, mistænkelig eller ufin handling, for hvis det lykkes, er det godt, og lykkes det ikke, er der sikkert ikke tabt noget ved det",DISCREPANCY
der må være en blonde,1,2,her mangler en blonde,der er grænser for hvad man kan tillade sig,DISCREPANCY
gå op og ned som kong Volmers røv,1,2,der er både gode og dårlige dage,"bruges om noget der er ujævnt, eller om et stykke arbejde der er dårligt udført",DISCREPANCY
have det hele i munden,1,2,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser",kun snakke om noget i stedet for at handle,DISCREPANCY
nogens eget kød og blod,2,0,fortsætte på samme niveau med samme kraft og engagement,nogens (egen) blodsbeslægtede familie,DISCREPANCY
grave et par spadestik dybere,1,0,spørge ind til nogens følelsesliv; starte en seriøs og personlig samtale,være mere grundig; undersøge nærmere,DISCREPANCY
målet helliger midlet,1,3,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler,DISCREPANCY
være femte hjul på vognen,1,0,"være et ekstra, femte hjul på en vogn der kun har behov for fire hjul for at køre",være malplaceret; være tilovers eller til besvær,DISCREPANCY
nye koste fejer bedst,2,0,en ny kost fejer bedre end en gammel og slidt kost,nyt er altid bedre end gammelt blot fordi det er nyt,DISCREPANCY
lyse i kuld og køn,3,0,(i tankerne) skjule sig fordi man føler sig pinligt berørt,anerkende officielt,DISCREPANCY
ål i strømperne,2,0,vittigheder; underholdende påfund,folder i strømper der er gledet ned ad benet,DISCREPANCY
ligge med næsen i vejret,1,3,melde sig syg på sin arbejdsplads uden at være det,være død og begravet,DISCREPANCY
få fingrene i fedtefadet,3,1,"(uventet) komme i en fordelagtig situation, fx fordi man kender de rette personer","rode sig ud i en vanskelig, ubehagelig eller tvivlsom situation",DISCREPANCY
rene ord for pengene,1,3,det bedste af sin art,udtalelse der ikke kan misforstås,DISCREPANCY
is i maven,0,3,isterninger i mavesækken,"ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning",DISCREPANCY
ikke større end tobak for en skilling,2,0,på størrelse med den mængde tobak man kan købe for en lille sum penge,meget lille af vækst eller størrelse,DISCREPANCY
stå med håret ned ad nakken,2,3,komme af sted efter lang tids nølen; langt om længe tage sig sammen,stå modløs og skuffet tilbage; være blevet svigtet eller narret,DISCREPANCY
uden for lands lov og ret,0,1,uden for et lands grænser og derfor ikke underlagt dets love,i et øde område fjernt fra større byer,DISCREPANCY
ligge og lure i vandskorpen,3,0,ligge på lur i vandoverfladen,være nært forestående eller snart bryde løs uden at ret mange venter det,DISCREPANCY
ikke fugls føde,0,3,"vanskelig eller uigennemskuelig opgave, aktivitet ellerlign.",ingenting; intet som helst,DISCREPANCY
træde af på naturens vegne,3,2,afholde sig fra materielle goder af miljømæssige hensyn,trække sig tilbage for at forrette sin nødtørft,DISCREPANCY
få noget ud af systemet,2,0,fjerne noget uønsket fra et system,"slippe af med eller blive fri for en bestemt følelse, tanke, sygdom eller lignende",DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
man skal høre meget før ørerne falder af,1,2,ørerne kan holde til meget støj; ørerne går ikke i stykker af at lytte (intenst),"bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende",DISCREPANCY
med skindet på næsen,1,3,lige netop klare sig igennem en umiddelbart umulig situation,"uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit",DISCREPANCY
der er løbet meget vand gennem åen siden ..,3,0,meget vand er løbet gennem en å i en specifik tidsperiode,"noget der passer godt med nogens ønsker, hensigter eller meninger",DISCREPANCY
varme nogens ører,0,3,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY
få kærligheden at føle,1,3,"opleve kærlighed fra en forælder, en partner eller lignende",blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,DISCREPANCY
være karl for sin hat,0,3,optræde selvsikker og kompetent selvom man ikke er det,være selvsikker og kompetent,DISCREPANCY
hverken se til højre eller venstre,2,0,ikke lytte til indvendinger og gode råd fra andre,kun have tanke for én ting og ikke bekymre sig om andet,DISCREPANCY
ved kasse ét,2,0,"ved en første, foreløbig bedømmelse","bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",DISCREPANCY
slag på tasken,2,3,indholdsløs snak; samtale uden vigtigt indhold,"omtrentlig beregning af nogets størrelse, omfang eller antal",DISCREPANCY
logik for burhøns,1,3,selvforstærkende uheldig situation som man ikke umiddelbart kan komme ud af,noget der er yderst let at forstå,DISCREPANCY
"når det regner på præsten, drypper det på degnen",0,2,ubehagelige situationer berører oftest flere mennesker på én gang,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode",DISCREPANCY
dråben der får bægeret til at flyde over,2,0,den ekstra dråbe der gør at den samlede mængde væske netop ikke kan være i beholderen,det der virker som den udløsende kraft; det der får tålmodigheden til at briste,DISCREPANCY
"den der kommer først til mølle, får først malet",3,0,det kan betale sig at være i god tid,folk bliver betjent i den rækkefølge de henvender sig,DISCREPANCY
det glatte lag,0,3,den bedste eller mest oplagte løsning på et problem,sønderlemmende kritik; voldsomt verbalt angreb,DISCREPANCY
gå i spagat over noget,3,2,kontrol med; styr på,blive stærkt følelsesmæssigt påvirket af noget,DISCREPANCY
satse alt på ét kort,0,2,satse alle sine penge på ét kort,satse alt på én gang,DISCREPANCY
guds ord fra landet,0,2,religiøse udtryk der er populære i landområder,uerfaren og naiv ung pige,DISCREPANCY
"når nøden er størst, er hjælpen nærmest",0,1,når man har voldsomt brug for hjælp er den tæt på at ankomme,"når alting ser værst ud, er det lige før det begynder at blive bedre",DISCREPANCY
vise nogen vintervejen,0,2,bruge alt for stærke midler i forhold til situationen; overdrive; overreagere,afvise nogen; vende nogen ryggen,DISCREPANCY
levende lig,0,3,være føjelig og give nogen ret selvom man ikke nødvendigvis er enig,person der har det meget dårligt fysisk og psykisk,DISCREPANCY
ikke kunne gøre en flue fortræd,1,0,ikke være i stand til at påføre en flue smerte,være fredsommelig og utilbøjelig til at gøre noget der kan skade andre,DISCREPANCY
tale nogen efter munden,2,0,sige det præcis samme som en anden; efterabe,være føjelig og give nogen ret selvom man ikke nødvendigvis er enig,DISCREPANCY
have rundsave på albuerne,0,1,"gøre noget der hjælper på kort sigt, men forværrer tingene på langt sigt",skubbe andre til side for at gavne sin egen karriere,DISCREPANCY
ikke nå nogen til sokkeholderne,1,3,ikke have succes med at gøre tilnærmelser til nogen,have meget ringe evner i forhold til en anden,DISCREPANCY
med mand og mus,1,3,med alle i en husstand; med alle der bor på gården,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY
et vink med en vognstang,0,1,blive udsat for eller udsætte nogen for problemer eller besværligheder,"et indirekte, men tydeligt tegn til nogen om at forholde sig på en bestemt måde eller om hvordan noget forholder sig; et tydeligt praj",DISCREPANCY
lyve så stærkt som en hest kan rende,2,3,fortælle løgne i samme tempo som det hurtigste en hest kan løbe,lyve groft; fortælle mange løgne,DISCREPANCY
ikke være tabt bag en vogn,0,2,"fortsætte med at bruge penge på et foretagende som er usikkert, eller som hidtil er mislykkedes",ikke være rådvild; være klog,DISCREPANCY
æren er det fejreste træ i skoven,1,3,god opførsel er lige så smukt som et meget smukt træ,hæder og anerkendelse er vigtigst og går forud for andet,DISCREPANCY
puste i nakken,2,0,"stå så tæt på en anden person at den luft man udånder, rammer vedkommende i nakken",overvåge; kontrollere,DISCREPANCY
høre en lille fugl synge om noget,2,1,have en fornemmelse baseret på intuition,høre et rygte om noget,DISCREPANCY
vende den anden kind til,2,1,vende den modsatte kind til,finde sig i en krænkelse eller et overgreb uden at gøre gengæld,DISCREPANCY
ryge fredspibe,3,2,ryge pibe sammen som symbol på enighed,(forhandle med henblik på at) slutte fred eller indgå forlig,DISCREPANCY
lade fem og syv være lige,1,3,drømme stort uden hensyn til hvad der rent praktisk kan lade sig gøre,udvise ligegyldighed eller skødesløshed,DISCREPANCY
have ti tommelfingre,3,2,være god til at arbejde med hænderne; være dygtig til håndarbejde,være meget klodset; være fummelfingret,DISCREPANCY
leve på en sten,1,3,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,leve meget nøjsomt,DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
den blå luft,3,1,"et forløb, et foretagende eller lignende er gået i stå eller har udviklet sig uheldigt",det rene ingenting,DISCREPANCY
få fingeren ud,2,1,(endelig) give sin mening til kende i en diskussion,skynde sig at komme i gang med noget,DISCREPANCY
hellere lille og vågen end stor og doven,3,1,det er at foretrække at være lille og vågen fremfor stor og doven,det går udmærket an at være lille af vækst når man blot er kvik og energisk,DISCREPANCY
langt mellem snapsene,2,0,lang tid mellem situationer hvor man drikker snaps,få højdepunkter eller interessante begivenheder,DISCREPANCY
med hovedet under armen,0,3,med et hoved båret under den ene arm,uden at tænke sig om,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
gå op i sømmene,1,0,gå unødigt meget op i (ubetydelige) detaljer,bryde psykisk sammen; gå amok,DISCREPANCY
slå hånden af nogen,0,1,presse nogen til at afsløre noget som vedkommende forsøger at skjule,svigte nogen ved fx at afbryde kontakten med vedkommende,DISCREPANCY
hellere ville brække en arm på langs end ..,1,3,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY
"operationen lykkedes, men patienten døde",3,1,"det kirurgiske indgreb forløb som ønsket, men patienten overlevede ikke på trods af indgrebet",bruges for at udtrykke at der er blevet brugt mange resurser på at opnå et resultat der ikke er tilfredsstillende eller decideret strider mod det ønskede,DISCREPANCY
have flossede kanter,1,2,"gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger",have visse fejl og mangler som ikke tidligere var der,DISCREPANCY
komme ud af fjerene,1,2,(endelig) sige sin mening om nogen eller noget,(med besvær) stå ud af sin seng om morgenen,DISCREPANCY
smage som at række tungen ud ad vinduet,0,3,have en kølig og frisk smag; være forfriskende,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY
vippe af sadlen,2,1,skubbe af en saddel,"fjerne fra en post, en stilling eller lignende",DISCREPANCY
riste over en sagte ild,3,1,fremstille eller udvikle over lang tid,udsætte for et langvarigt og ubehageligt pres,DISCREPANCY
en streg i regningen,3,2,"en streg på en kvittering, bon eller lignende -- kan fx angive at en udgift er slettet","en uventet og uønsket hændelse, handling eller lignende",DISCREPANCY
tage noget tungt,0,1,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget,DISCREPANCY
løvens gab,2,3,en løves mund,meget farligt eller ubehageligt sted,DISCREPANCY
hverken vådt eller tørt,2,1,bruges i udtryk om at mangle den rette påklædning i en bestemt situation,hverken noget drikkeligt eller noget spiseligt,DISCREPANCY
jeg vil æde min hat på ..,1,2,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY
i sit ansigts sved,2,1,med sved løbende ned ad ansigtet pga. voldsom varme eller anstrengelse,under store anstrengelser,DISCREPANCY
rasle med sablen,1,3,gestikulere truende ved at vifte med et stikvåben i retning af en fjende,true med anvendelse af (militære eller politiske) magtmidler,DISCREPANCY
som en åben bog,3,1,lige så nem at gå til som en bog der allerede er åben,uden besvær,DISCREPANCY
skyde over målet,2,0,ramme over et tiltænkt mål,ikke være rammende i sine udtalelser; overdrive,DISCREPANCY
der er ikke nogen hjemme,3,2,en ellers beboet bolig er tom,nogen er ikke særlig smart eller intelligent; nogen er (lidt) dum,DISCREPANCY
verdens tag,0,2,et tag som er fælles for alle i verden,"meget højtliggende bjergområde, især (land eller område i) Himalaya eller Pamir",DISCREPANCY
mosekonen brygger,2,1,noget ildevarslende er under opsejling; nogen smeder rænker,det er tåget,DISCREPANCY
give den en skalle,1,2,forhindre noget i at lykkes; ødelægge noget,gøre en kraftig arbejdsindsats,DISCREPANCY
kunne ligge på et meget lille sted,1,2,være tilstrækkelig lille til at befinde sig på et lille afgrænset område,have et meget begrænset omfang,DISCREPANCY
en orm gnaver,0,3,noget går endelig bedre efter længere tids modgang,noget nager én i længere tid,DISCREPANCY
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
en kærlig hånd,1,0,en hånd placeret på nogen som udtryk for omsorg eller kærlighed,"bruges i udtryk om at nogen yder eller bør yde en engageret indsats for at hjælpe nogen, for at reparere noget, eller lignende",DISCREPANCY
krumme et hår på nogens hoved,0,3,krølle eller bøje et hårstrå der sidder fast på nogens hovedbund,gøre nogen fortræd; genere nogen,DISCREPANCY
gå på med krum hals,1,0,"bruges for at udtrykke at man ikke tror på det samtalepartneren siger, fordi det er for usandsynligt eller løgnagtigt",ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave,DISCREPANCY
ligne noget katten har slæbt ind,0,2,have et udseende tilsvarende noget en kat kunne bringe ind i et hus,se forfærdelig ud,DISCREPANCY
koge suppe på noget,0,1,lave en (sladder)historie ud af noget småt eller betydningsløst,vedblivende og trættende behandle et velkendt og udtømt emne,DISCREPANCY
vide hvad klokken er,1,0,være klar over hvad tid på døgnet det er,vide at noget alvorligt eller afgørende er sket; vide hvordan noget vil ende eller udvikle sig,DISCREPANCY
have ild i enden,0,1,tilbage til en oprindelig tilstand eller situation; tilbage til de (gode og enkle) egenskaber som noget oprindeligt havde,fare omkring; være meget foretagsom,DISCREPANCY
have rent mel i posen,0,1,ikke have andet end mel i posen,ikke have noget at skjule; være uskyldig,DISCREPANCY
koge suppe på en pølsepind,0,1,(forsøge at) lave suppe ud af meget lidt,beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne,DISCREPANCY
have en aktie i,1,3,"være involveret i en sag eller et foretagende, ofte uønsket eller uforskyldt",være aktiv deltager i; have indflydelse på,DISCREPANCY
apostlenes heste,0,3,heste som apostlene red på,"benene, brugt til at gå på",DISCREPANCY
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY
være som snydt ud af næsen på nogen,1,0,"bruges om hvad der nu er forsvundet, glemt eller uden interesse","ligne en anden meget, især mht. udseende",DISCREPANCY
klappe hesten,2,0,gøre en kraftanstrengelse og redde sig ud af en ubehagelig situation,tage det roligt; slappe af; se tiden an,DISCREPANCY
til at komme i papirmøllen,2,3,klar til at blive trykt (og publiceret),ubrugelig; kassabel,DISCREPANCY
have snuden i sporet,1,3,dæmpe ophidselse og strid,ihærdigt og vedholdende arbejde på at nå et mål man har sat sig for,DISCREPANCY
bryde isen,0,3,bruges som udtryk for at man bliver overvældet af rædsel eller lignende,nærme sig hinanden i ord eller handling; gøre stemningen uformel,DISCREPANCY
tage noget i stiv arm,1,3,acceptere såvel de ubehagelige som de behagelige sider ved en sag,bære modgang med styrke og sindsro,DISCREPANCY
få en appelsin i turbanen,1,2,pludselig skulle have større ansvar for noget end man havde regnet med,pludselig og uventet opnå noget fordelagtigt; have heldet med sig,DISCREPANCY
sagen er bøf,0,2,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,sagen er i orden,DISCREPANCY
have bly i røven,3,1,være øm i endeballernes muskler pga. træning,være meget langsom,DISCREPANCY
den sorte klap går ned,1,2,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY
sidste skud på stammen,1,3,sidste chance for at gøre noget,person eller ting som er resultatet af den seneste udvikling inden for et område,DISCREPANCY
rydde nogen af vejen,1,0,"skubbe nogen eller på anden vis forårsage at nogen kommer væk fra en bestemt vej, bane eller lignende",slå nogen ihjel,DISCREPANCY
kunne høre græsset gro,2,1,være i stand til at arbejde fokuseret; have en god koncentrationsevne,have en meget god hørelse,DISCREPANCY
føre til torvs,0,1,være i en situation hvor éns argumenter er utilstrækkelige eller uholdbare; være i en situation som man har svært ved at magte,gøre bekendt i en større kreds; offentliggøre,DISCREPANCY
blive lang i ansigtet,0,3,mærke begyndende træthed pga. mangel på søvn,blive skuffet; føle sig snydt,DISCREPANCY
ligge lunt i svinget,2,3,komme hurtigt og sikkert igennem et sving i fx et cykel- eller racerløb,være i en fordelagtig position,DISCREPANCY
hvor længe var Adam i Paradis,2,3,tidsangivelse svarende til den periode hvor Adam befandt sig i paradisets have,bruges for at udtrykke at en god og lykkelig tilstand desværre kun var kortvarig,DISCREPANCY
skyde en hvid pind efter,1,0,investere kræfter eller penge i noget,opgive ønsket eller drømmen om,DISCREPANCY
sidde med livet i hænderne,2,3,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY
"se sol, måne og stjerner",0,1,kunne overskue en kompleks sag eller situation,være i en tilstand af stor nydelse eller stor smerte,DISCREPANCY
have foden under eget bord,0,2,have styr på sin økonomi,have sit eget hjem eller sin egen virksomhed,DISCREPANCY
finde sine egne ben,1,3,blive dygtigere indenfor et specifikt (fagligt) emne,finde ud af hvad man mener om en bestemt sag,DISCREPANCY
slå til søren,1,0,"samfundslivet eller erhvervslivet med den hektiske, opslidende aktivitet som det er forbundet med",bruge (mange) penge,DISCREPANCY
spænde livremmen ind,2,1,stramme sit bælte,spare; indskrænke forbruget,DISCREPANCY
være over alle bjerge,1,3,godt tilfreds med resultatet af noget,være så langt væk allerede at det er håbløst at optage forfølgelsen,DISCREPANCY
på éns glatte ansigt,0,3,baseret på udseende og ydre fremtoning; uden at tage højde for indre liv,med et tillidvækkende ydre som eneste garanti,DISCREPANCY
save den gren over man selv sidder på,3,0,sidde på en gren man er i færd med at save over,handle til skade for sig selv; ødelægge sine muligheder for fortsat beskæftigelse,DISCREPANCY
enhver er sig selv nærmest,1,2,det er bedre at ordne tingene selv end at vente på at andre gør det for en,mennesket tænker først og fremmest på sin egen fordel når det skal vælge,DISCREPANCY
ikke ride den dag man sadler,1,3,det vedrører ikke den sag; det er ikke relevant i den sammenhæng,være længe om at skride til konkret handling; være længe om at træffe en beslutning,DISCREPANCY
træerne vokser ikke ind i himlen,2,1,der er en grænse for hvor høje træer kan blive,en enkelt succes er ingen garanti for fortsat fremgang,DISCREPANCY
som skidt fra en spædekalv,0,3,som afføring fra en nyfødt kalv,hurtigt og i en stor mængde,DISCREPANCY
slå en streg over noget,2,0,strege noget ud,se bort fra noget; lade som om noget ikke er sket,DISCREPANCY
stege i sit eget fedt,0,3,"holde sig til sine egne; være del af en lille, lukket kreds af mennesker",tage de ubehagelige følger af sine handlinger eller udtalelser,DISCREPANCY
bukke begge ender sammen på,2,0,skabe sig en fordel ud af andres ulempe,give en omgang tæsk,DISCREPANCY
ride sin kæphest,1,3,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant,(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne,DISCREPANCY
man kan også købe guld for dyrt,2,0,det er ikke besværet værd,"det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier",DISCREPANCY
tro som guld,1,2,meget sikker i sin overbevisning,meget trofast,DISCREPANCY
tælle på knapperne,1,0,forsikre sig om at man har råd,være i tvivl om hvad man skal beslutte sig for; være i vildrede,DISCREPANCY
så god som dagen er lang,2,3,meget hjælpsom og omsorgsfuld,ualmindelig sød og rar,DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
en fis i en hornlygte,2,1,forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft,"opblæst bagatel; flop, fiasko; en gang vrøvl",DISCREPANCY
se gennem fingrene med noget,2,3,opføre sig i strid med fastsatte regler; snyde,"lade være med at påtale en forsyndelse, fejl, mangel eller anden uregelmæssighed og på den måde vise overbærenhed",DISCREPANCY
hælde ned ad brættet,1,3,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig,DISCREPANCY
erfaren mand er god at gæste,2,1,"en mand der er vant til at få besøg, er også god til at have gæster",af erfarne folk får man gode råd,DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
ondt i håret,0,3,satse på flere forskellige muligheder samtidig,ondt i hovedet; tømmermænd,DISCREPANCY
uden for pædagogisk rækkevidde,2,1,så besværet at man ikke kan hjælpes med pædagogiske metoder,i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én,DISCREPANCY
fyre kanonen af,2,1,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende",skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY
