talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
skide grønne grise,3,2,være bragt ud af psykisk ligevægt i kraft af forargelse eller chok,"være meget bange, nervøs eller lignende",DISCREPANCY
smage som at række tungen ud ad vinduet,0,3,have en kølig og frisk smag; være forfriskende,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY
som en åben bog,3,1,lige så nem at gå til som en bog der allerede er åben,uden besvær,DISCREPANCY
give faklen videre,0,2,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd,"overlade et hverv, fx en formands- eller ministerpost",DISCREPANCY
give den en skalle,3,2,ramme noget med toppen af hovedet,gøre en kraftig arbejdsindsats,DISCREPANCY
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
det tager en krig,0,1,noget er svært og ulykkeligt,det tager meget lang tid,DISCREPANCY
have ild i enden,2,1,"være i en overdrevent begejstret eller opstemt, evt. overspændt sindstilstand",fare omkring; være meget foretagsom,DISCREPANCY
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY
en køn plante,1,0,"person som er smuk, omsorgsfuld, god eller lignende",en uopdragen eller på anden måde ubehagelig person,DISCREPANCY
så let som at klø sig selv i nakken,3,1,uden større anstrengelse end den det kræver at klø sig i nakken,uhyre nemt,DISCREPANCY
klædt af til skindet,2,0,afklædt; nøgen,uden flere penge eller andre værdier tilbage,DISCREPANCY
tage noget i stiv arm,1,3,acceptere såvel de ubehagelige som de behagelige sider ved en sag,bære modgang med styrke og sindsro,DISCREPANCY
den sorte klap går ned,1,2,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY
slå til søren,2,0,deltage i et slagsmål mellem to eller flere personer,bruge (mange) penge,DISCREPANCY
eneste høne i kurven,1,0,eneste høne til stede i en kurv,eneste kvinde i en gruppe eller forsamling,DISCREPANCY
som skidt fra en spædekalv,0,3,som afføring fra en nyfødt kalv,hurtigt og i en stor mængde,DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
surt show,2,3,man skal ikke gøre sig til mere end man er; man skal ikke sætte sig større mål end man kan overkomme,bruges som kommentar til en meget uheldig eller ærgerlig situation,DISCREPANCY
hælde ned ad brættet,1,3,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig,DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
uden for pædagogisk rækkevidde,2,1,så besværet at man ikke kan hjælpes med pædagogiske metoder,i en tilstand hvor ingen former for henvendelser eller sanktioner gør indtryk på én,DISCREPANCY
fyre kanonen af,2,1,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende",skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY
gå hen over hovedet på nogen,3,1,"et område virker kaotisk eller modsætningsfyldt, idet de enkelte dele ikke er koordinerede eller logisk sammenhængende",ikke blive forstået af nogen,DISCREPANCY
kun en tåbe frygter ikke havet,1,2,dumme mennesker er ikke bange for havet,man skal være meget forsigtig når man har med havet at gøre,DISCREPANCY
have fat i den lange ende,3,0,"have fat i den længste ende af noget, fx et tov",være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige,DISCREPANCY
hu hej vilde dyr,3,0,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
vende og dreje hver femøre,0,3,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY
tale for sin syge moster,2,1,fortælle (for) detaljeret om et familiemedlems sygdomsforløb,"snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende",DISCREPANCY
til den store guldmedalje,0,3,i rigelige mængder; i overmål,"energisk, dygtigt eller med held",DISCREPANCY
